model,observation_scale,n,mean_y,std_y,rmse_y_vs_ref_cell,rmse_y_vs_previous_cell
LTE,x12,10,0.37700638473033904,0.2006162464618683,0.00716636823490262,0.0027631389151792974
LTE,x16,10,0.3767350763082504,0.20054387599229812,0.008328988519497215,0.001638624450424686
LTE,x24,10,0.3764271169900894,0.20043654590845109,0.009656816907227039,0.0017896744015160949
LTE,x30,10,0.37629289031028745,0.20038332790136337,0.010233004204928875,0.000761826167581603
LTE,x4,10,0.37804395258426665,0.20016368627548217,0.0,nan
LTE,x6,10,0.37773474454879763,0.20057533606886863,0.003662151552271098,0.003662151552271098
LTE,x8,10,0.377437961101532,0.2006554938852787,0.005267443088814616,0.002192731265677139
SC-INR,x12,10,0.3787427872419357,0.2006223052740097,0.0032610654598101974,0.0004808119992958382
SC-INR,x16,10,0.37874563336372374,0.20063638240098952,0.003395013732369989,0.0001672330283327028
SC-INR,x24,10,0.3787482470273972,0.20064563155174256,0.003488175384700298,0.00011925524777325335
SC-INR,x30,10,0.3787491053342819,0.20064819008111953,0.0035146439797244964,3.440535820118384e-05
SC-INR,x4,10,0.37876761257648467,0.20021248757839202,0.0,nan
SC-INR,x6,10,0.3787403851747513,0.20050200670957566,0.0022213435149751604,0.0022213435149751604
SC-INR,x8,10,0.3787387847900391,0.2005771927535534,0.0028541567735373974,0.0006998372351517901
SC-INR-NoPhi,x12,10,0.3794193297624588,0.20036725476384162,0.003311790630687028,0.0005158185405889526
SC-INR-NoPhi,x16,10,0.37942453026771544,0.2003810591995716,0.0034622302162460985,0.00017933645285665988
SC-INR-NoPhi,x24,10,0.37942815124988555,0.20039070919156074,0.0035680538159795104,0.00012737991783069448
SC-INR-NoPhi,x30,10,0.3794291943311691,0.2003934897482395,0.0035982988541945816,3.6676547370007026e-05
SC-INR-NoPhi,x4,10,0.3792863517999649,0.2000056155025959,0.0,nan
SC-INR-NoPhi,x6,10,0.3793750286102295,0.20025379434227944,0.002186032186727971,0.002186032186727971
SC-INR-NoPhi,x8,10,0.3794026404619217,0.2003243647515774,0.0028624028607737275,0.0007359540235484019
SC-INR-NoPhi-Signed,x12,10,0.37839917540550233,0.20009976029396057,0.0030598990386351945,0.00044917036721017214
SC-INR-NoPhi-Signed,x16,10,0.3783880591392517,0.20011476650834084,0.003191988880280405,0.000153987641169806
SC-INR-NoPhi-Signed,x24,10,0.3783799886703491,0.20012516304850578,0.0032839596620760857,0.00010904689552262425
SC-INR-NoPhi-Signed,x30,10,0.37837764620780945,0.20012810900807382,0.003310090734157711,3.1319659774453613e-05
SC-INR-NoPhi-Signed,x4,10,0.3785677194595337,0.19974069893360138,0.0,nan
SC-INR-NoPhi-Signed,x6,10,0.3784658402204514,0.19997914358973504,0.002051472332095727,0.002051472332095727
SC-INR-NoPhi-Signed,x8,10,0.3784284472465515,0.2000536486506462,0.0026623304991517218,0.0006578121319762431
SC-INR-NoSinc,x12,10,0.37895571291446684,0.19966478198766707,0.0,0.0
SC-INR-NoSinc,x16,10,0.37895571291446684,0.19966478198766707,0.0,0.0
SC-INR-NoSinc,x24,10,0.37895571291446684,0.19966478198766707,0.0,0.0
SC-INR-NoSinc,x30,10,0.37895571291446684,0.19966478198766707,0.0,0.0
SC-INR-NoSinc,x4,10,0.37895571291446684,0.19966478198766707,0.0,nan
SC-INR-NoSinc,x6,10,0.37895571291446684,0.19966478198766707,0.0,0.0
SC-INR-NoSinc,x8,10,0.37895571291446684,0.19966478198766707,0.0,0.0
