model,observation_scale,n,omega_mag_mean,omega_mag_q95,omega_neg_frac,omega_near_bound_frac,response_mean,response_q05,response_q50,response_q95,active_response_mean,active_response_q05,active_response_q50,active_response_q95,analytic_attenuation_mean,active_attenuation_mean
SC-INR,x16,10,0.45897534787654876,1.4108703494071961,0.3951313436031342,8.433122930000536e-05,0.9973282754421234,0.987256121635437,0.9993757963180542,0.9999965369701386,0.9973282754421234,0.987256121635437,0.9993757963180542,0.9999965369701386,0.00267170371953398,0.00267170371953398
SC-INR,x30,10,0.45897534787654876,1.4108703494071961,0.3951313436031342,8.433122930000536e-05,0.9992380499839782,0.9963647365570069,0.9998224198818206,0.9999990165233612,0.9992380499839782,0.9963647365570069,0.9998224198818206,0.9999990165233612,0.0007619470590725542,0.0007619470590725542
SC-INR,x4,10,0.45897534787654876,1.4108703494071961,0.3951313436031342,8.433122930000536e-05,0.9595050394535065,0.8077054738998413,0.9900443494319916,0.9999444603919982,0.9595050394535065,0.8077054738998413,0.9900443494319916,0.9999444603919982,0.040494945272803305,0.040494945272803305
SC-INR,x8,10,0.45897534787654876,1.4108703494071961,0.3951313436031342,8.433122930000536e-05,0.9894296407699585,0.949617475271225,0.9975048184394837,0.9999861359596253,0.9894296407699585,0.949617475271225,0.9975048184394837,0.9999861359596253,0.010570363607257605,0.010570363607257605
SC-INR-NoPhi,x16,10,0.4723079264163971,1.2759397745132446,0.0,nan,0.9975845277309418,0.9895674109458923,0.9990949034690857,0.9999593496322632,0.9975845277309418,0.9895674109458923,0.9990949034690857,0.9999593496322632,0.002415477391332388,0.002415477391332388
SC-INR-NoPhi,x30,10,0.4723079264163971,1.2759397745132446,0.0,nan,0.9993115782737731,0.9970257103443145,0.9997424900531768,0.9999884247779847,0.9993115782737731,0.9970257103443145,0.9997424900531768,0.9999884247779847,0.000688419712241739,0.000688419712241739
SC-INR-NoPhi,x4,10,0.4723079264163971,1.2759397745132446,0.0,nan,0.9628941357135773,0.8408911764621735,0.9855827927589417,0.9993499398231507,0.9628941357135773,0.8408911764621735,0.9855827927589417,0.9993499398231507,0.037105868384242055,0.037105868384242055
SC-INR-NoPhi,x8,10,0.4723079264163971,1.2759397745132446,0.0,nan,0.9904171049594879,0.9586656749248504,0.9963827848434448,0.999837440252304,0.9904171049594879,0.9586656749248504,0.9963827848434448,0.999837440252304,0.00958287613466382,0.00958287613466382
SC-INR-NoPhi-Signed,x16,10,0.4665258198976517,1.3217116236686706,0.36480680406093596,6.824723890019869e-07,0.9976084351539611,0.9887779831886292,0.9991526246070862,0.9999921500682831,0.9976084351539611,0.9887779831886292,0.9991526246070862,0.9999921500682831,0.0023915577912703156,0.0023915577912703156
SC-INR-NoPhi-Signed,x30,10,0.4665258198976517,1.3217116236686706,0.36480680406093596,6.824723890019869e-07,0.9993185222148895,0.9967995643615722,0.9997588992118835,0.9999977707862854,0.9993185222148895,0.9967995643615722,0.9997588992118835,0.9999977707862854,0.0006814951077103615,0.0006814951077103615
SC-INR-NoPhi-Signed,x4,10,0.4665258198976517,1.3217116236686706,0.36480680406093596,6.824723890019869e-07,0.9631465971469879,0.8298570990562439,0.9865007102489471,0.9998744070529938,0.9631465971469879,0.8298570990562439,0.9865007102489471,0.9998744070529938,0.03685337416827679,0.03685337416827679
SC-INR-NoPhi-Signed,x8,10,0.4665258198976517,1.3217116236686706,0.36480680406093596,6.824723890019869e-07,0.9905057966709137,0.9555943548679352,0.9966133594512939,0.9999686062335968,0.9905057966709137,0.9555943548679352,0.9966133594512939,0.9999686062335968,0.00949421599507332,0.00949421599507332
SC-INR-NoSinc,x16,10,0.40633503496646883,1.3631924510002136,0.3960009962320328,0.013525585550814867,0.9974320411682129,0.9878361105918885,0.9995411455631256,0.9999980568885803,1.0,1.0,1.0,1.0,0.0025679655373096466,0.0
SC-INR-NoSinc,x30,10,0.40633503496646883,1.3631924510002136,0.3960009962320328,0.013525585550814867,0.9992662668228149,0.9965298295021057,0.9998694658279419,0.9999994575977326,1.0,1.0,1.0,1.0,0.0007337241841014475,0.0
SC-INR-NoSinc,x4,10,0.40633503496646883,1.3631924510002136,0.3960009962320328,0.013525585550814867,0.9624595701694488,0.8170089423656464,0.9926768243312836,0.9999688386917114,1.0,1.0,1.0,1.0,0.037540408223867415,0.0
SC-INR-NoSinc,x8,10,0.40633503496646883,1.3631924510002136,0.3960009962320328,0.013525585550814867,0.9899175882339477,0.951942241191864,0.998165512084961,0.9999922096729279,1.0,1.0,1.0,1.0,0.010082413256168366,0.0
