model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LTE,bsd100,101085.png,x8,x4,45.16018322542081,0.005520657935474538,0.009545614942908287,0.009660813957452774,0.001793390023522079
SC-INR-NoPhi,bsd100,101085.png,x8,x4,50.46429035758965,0.0029976814614544336,0.005770375020802021,0.006033377721905708,0.0005212185787968338
SC-INR-NoPhi-Signed,bsd100,101085.png,x8,x4,51.10245704044289,0.002785333149839217,0.005440067034214735,0.005659223068505526,0.0005177553975954652
SC-INR,bsd100,101085.png,x8,x4,50.733928016936815,0.002906053458664601,0.005479717161506414,0.005746467504650354,0.0005415625055320561
LTE,bsd100,101085.png,x16,x4,38.588967239468474,0.011763908503594236,0.0173606239259243,0.016083471477031708,0.006726154591888189
SC-INR-NoPhi,bsd100,101085.png,x16,x4,47.601280793799354,0.004168079177621213,0.007571239024400711,0.007737075909972191,0.000968601496424526
SC-INR-NoPhi-Signed,bsd100,101085.png,x16,x4,47.121895066831534,0.004404587547745129,0.008380227722227573,0.00835438072681427,0.0011030243476852775
SC-INR,bsd100,101085.png,x16,x4,46.47841491271087,0.004743285375385384,0.008654367178678513,0.008745557628571987,0.001326038152910769
LTE,bsd100,101085.png,x30,x4,36.45711420315256,0.01503641452405862,0.019894970580935478,0.01898590661585331,0.012295872904360294
SC-INR-NoPhi,bsd100,101085.png,x30,x4,46.94358604059995,0.004495941979279946,0.007445981726050377,0.007503898814320564,0.002301594242453575
SC-INR-NoPhi-Signed,bsd100,101085.png,x30,x4,47.74028520713233,0.004101906338752086,0.006831006146967411,0.006901681423187256,0.0019695262890309095
SC-INR,bsd100,101085.png,x30,x4,46.70408448374266,0.004621636408124735,0.007832149975001812,0.007668624632060528,0.002289784839376807
LTE,bsd100,101087.png,x8,x4,48.02980190934153,0.003967435769743439,0.007897797971963882,0.0079423813149333,0.00016015888832043856
SC-INR-NoPhi,bsd100,101087.png,x8,x4,51.132380759548475,0.002775753921355604,0.005793814081698656,0.00598819088190794,5.0464575906516984e-05
SC-INR-NoPhi-Signed,bsd100,101087.png,x8,x4,52.132421342961635,0.00247388172759773,0.005165248177945614,0.005308047868311405,5.881621109438129e-05
SC-INR,bsd100,101087.png,x8,x4,51.32752233681862,0.002714087739381113,0.005698844324797392,0.005761947017163038,3.563354039215483e-05
LTE,bsd100,101087.png,x16,x4,41.91945955348654,0.00801727946314094,0.014816442504525185,0.013807314448058605,0.0013479215558618307
SC-INR-NoPhi,bsd100,101087.png,x16,x4,47.703567580250386,0.004119282918626908,0.008433361537754536,0.007785332389175892,0.00031301219132728875
SC-INR-NoPhi-Signed,bsd100,101087.png,x16,x4,48.0900156945097,0.003940027157216969,0.008081436157226562,0.007481399457901716,0.00032906592241488397
SC-INR,bsd100,101087.png,x16,x4,46.52313269610396,0.004718928153612639,0.009689544327557087,0.0090125547721982,0.00026936965878121555
LTE,bsd100,101087.png,x30,x4,37.912937473072546,0.012716076335368611,0.020694784820079803,0.02090460993349552,0.0042755682952702045
SC-INR-NoPhi,bsd100,101087.png,x30,x4,46.35511527948286,0.004811098361597077,0.0091251190751791,0.008969336748123169,0.0008696651202626526
SC-INR-NoPhi-Signed,bsd100,101087.png,x30,x4,47.47311662735559,0.00423003702415965,0.008032510988414288,0.00795156043022871,0.0008072633645497262
SC-INR,bsd100,101087.png,x30,x4,46.660015134440826,0.004645144658441926,0.008789388462901115,0.008979548700153828,0.0009673635940998793
LTE,bsd100,102061.png,x8,x4,47.320927453607794,0.004304806425876894,0.008547046221792698,0.008516197092831135,0.0004943405510857701
SC-INR-NoPhi,bsd100,102061.png,x8,x4,51.96105229893462,0.0025231750703140973,0.005142619367688894,0.00520679634064436,0.00028917830786667764
SC-INR-NoPhi-Signed,bsd100,102061.png,x8,x4,53.05501306024232,0.0022245867542158345,0.004569347482174635,0.004655159078538418,0.0003015093971043825
SC-INR,bsd100,102061.png,x8,x4,51.884923149007385,0.002545387122100598,0.0051126438193023205,0.005139905959367752,0.00032688258215785027
LTE,bsd100,102061.png,x16,x4,44.713453919652395,0.005812022728978858,0.01078494917601347,0.010392678901553154,0.0009711800958029926
SC-INR-NoPhi,bsd100,102061.png,x16,x4,54.198280783378905,0.0019502305748464465,0.003756304970011115,0.003769989823922515,0.00024667856632731855
SC-INR-NoPhi-Signed,bsd100,102061.png,x16,x4,54.8821400430987,0.0018025735652440677,0.0034696501679718494,0.0034188921563327312,0.0003273818292655051
SC-INR,bsd100,102061.png,x16,x4,53.05487059238659,0.0022246232426720728,0.00421086885035038,0.004338822327554226,0.00033920156420208514
LTE,bsd100,102061.png,x30,x4,40.391590671120824,0.009559176191376821,0.013923239894211292,0.01396427396684885,0.003960699308663607
SC-INR-NoPhi,bsd100,102061.png,x30,x4,52.24063840719459,0.0024432509687498083,0.004021308850497007,0.0032763471826910973,0.0006173453293740749
SC-INR-NoPhi-Signed,bsd100,102061.png,x30,x4,51.59867390990071,0.002630669590206999,0.004490531049668789,0.0034127424005419016,0.0007114899926818907
SC-INR,bsd100,102061.png,x30,x4,51.48308162345353,0.0026659126708621183,0.004190261010080576,0.0032886068802326918,0.0006041789310984313
LTE,bsd100,103070.png,x8,x4,52.588954703489904,0.0023472117190256898,0.003914764616638422,0.004054706078022718,0.0008769282139837742
SC-INR-NoPhi,bsd100,103070.png,x8,x4,56.75501952196187,0.0014529444952995389,0.0028230680618435144,0.0029732149560004473,0.0002887373848352581
SC-INR-NoPhi-Signed,bsd100,103070.png,x8,x4,57.914776345910404,0.0012713384524475852,0.0024303849786520004,0.002524531912058592,0.0003718098741956055
SC-INR,bsd100,103070.png,x8,x4,56.41775939508455,0.001510469743440113,0.0028111895080655813,0.0028551786672323942,0.00042952652438543737
LTE,bsd100,103070.png,x16,x4,46.45546848023783,0.004755832780177643,0.006946490611881018,0.006283682305365801,0.002819380257278681
SC-INR-NoPhi,bsd100,103070.png,x16,x4,55.515031622496295,0.0016759012267941007,0.0029830096755176783,0.002998731564730406,0.0005678965826518834
SC-INR-NoPhi-Signed,bsd100,103070.png,x16,x4,55.20590183318019,0.0017366204399353903,0.0031071642879396677,0.0030220437329262495,0.000742565665859729
SC-INR,bsd100,103070.png,x16,x4,54.57787841398779,0.0018668356221024588,0.003091893857344985,0.003002563491463661,0.000901749066542834
LTE,bsd100,103070.png,x30,x4,43.20784786605711,0.006912061708147314,0.009514574892818928,0.008932298049330711,0.005468664690852165
SC-INR-NoPhi,bsd100,103070.png,x30,x4,53.9904431930653,0.0019974588465289764,0.003396698972210288,0.003604262601584196,0.0009180853958241642
SC-INR-NoPhi-Signed,bsd100,103070.png,x30,x4,54.38953345797047,0.001907758191959704,0.0032906271517276764,0.003334184642881155,0.0009709354490041733
SC-INR,bsd100,103070.png,x30,x4,52.64735317654578,0.0023314834725692854,0.0037060740869492292,0.003877801587805152,0.0010909272823482752
LTE,bsd100,105025.png,x8,x4,52.94019794873053,0.0022541878393254255,0.0038111682515591383,0.00392994424328208,0.0005135879036970437
SC-INR-NoPhi,bsd100,105025.png,x8,x4,56.80063505739454,0.001445334093181862,0.002825067611411214,0.0028041270561516285,0.0002286131784785539
SC-INR-NoPhi-Signed,bsd100,105025.png,x8,x4,57.657835110026625,0.0013095082670092101,0.0025019708555191755,0.0024608720559626818,0.00022643228294327855
SC-INR,bsd100,105025.png,x8,x4,56.476183501924496,0.0015003439276791125,0.0027596703730523586,0.002720889635384083,0.0002991132205352187
LTE,bsd100,105025.png,x16,x4,43.41237638113928,0.006751203218889294,0.010624830611050129,0.00886382907629013,0.0022092622239142656
SC-INR-NoPhi,bsd100,105025.png,x16,x4,51.050657550068536,0.002801993493625514,0.005074439570307732,0.004517630208283663,0.0005883955745957792
SC-INR-NoPhi-Signed,bsd100,105025.png,x16,x4,51.975739624743575,0.002518912135658477,0.004659123718738556,0.004173221532255411,0.0005588484345935285
SC-INR,bsd100,105025.png,x16,x4,51.19837346359904,0.0027547445137972434,0.004995383787900209,0.004313632845878601,0.0008439542725682259
LTE,bsd100,105025.png,x30,x4,41.518026906215255,0.008396507005961618,0.011683833785355091,0.006590567994862795,0.005772043019533157
SC-INR-NoPhi,bsd100,105025.png,x30,x4,51.56092669585446,0.002642126854290512,0.004767244681715965,0.0020728078670799732,0.0010694211814552546
SC-INR-NoPhi-Signed,bsd100,105025.png,x30,x4,51.47651880975303,0.002667927720591657,0.00455445284023881,0.0024223150685429573,0.0010100997751578689
