model,dataset,scale,n,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
Bicubic,bsd100,x16,10,21.98982353811509,0.46423805531670326,0.08123855678925967,0.12207782343029976,0.14152550846338272,0.028373721800744534,0.13394956476986408,4.888325152213651e-07,4.548340269293639e-08,6.980041028445836e-09
Bicubic,bsd100,x30,10,20.019201498446513,0.38710987953761977,0.1011701026764791,0.1389135606586933,0.1617610350251198,0.05627886429429054,0.13709204606711864,1.1192042093910672e-06,6.222930104525218e-08,9.500590269046875e-09
Bicubic,bsd100,x4,10,26.37361478451218,0.7685158816712563,0.05017066485394837,0.08644044026732445,0.0932725265622139,0.008885649711010047,0.12974297367036342,4.490138957558187e-08,3.732191620047085e-08,5.853610827718888e-09
Bicubic,bsd100,x8,10,24.057507658712503,0.605547517204365,0.064824953050291,0.10564053580164909,0.1196387879550457,0.01342775421217084,0.13170123919844628,2.1383005044982389e-07,4.0321044961637876e-08,6.1949815989552735e-09
Bicubic,urban100,x16,10,19.40001576266377,0.3948188222100517,0.11247911014177367,0.16523706093430518,0.19072453081607818,0.0440907699521631,0.18044766187667846,1.9503285986634706e-07,1.5922149436009534e-08,2.454793381523687e-09
Bicubic,urban100,x30,10,18.077111120253523,0.3249326755249197,0.13050653577156673,0.17603251859545707,0.2028975583612919,0.07764401286840439,0.18255907520651818,3.130675185663364e-07,1.7692282274740623e-08,2.750454002552046e-09
Bicubic,urban100,x4,10,23.765680903168867,0.750152237382796,0.06862462762330368,0.11976274400949478,0.12999024465680123,0.010871243197470903,0.17716924101114273,1.9196423605839973e-08,1.4195715260063715e-08,2.214176493869558e-09
Bicubic,urban100,x8,10,21.25820364017821,0.5548934006628335,0.09104418760190039,0.14710906371474267,0.1674545168876648,0.018915130128152668,0.1792951636016369,9.457132757969715e-08,1.4989654066525282e-08,2.2902073070679966e-09
LTE,bsd100,x16,10,22.76746354619548,0.5093332828881115,0.07500407561936126,0.1183887965977192,0.1338248185813427,0.02019508632365614,0.13386631347239017,3.8753052070286387e-07,4.540616319655672e-08,6.973713654678636e-09
LTE,bsd100,x30,10,20.6857710895601,0.41699358941466186,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.0386381215415895,0.1370385240763426,9.340732109472026e-07,6.208464670667303e-08,9.47352407685572e-09
LTE,bsd100,x4,10,27.668285851689014,0.8194916469556712,0.04382543066913265,0.07488763369619847,0.07857083193957806,0.008135157873039135,0.12532462999224664,1.7555383274464037e-08,3.0812798056253974e-08,5.699842487960068e-09
LTE,bsd100,x8,10,24.966310703521547,0.6642750593071541,0.05901044612160532,0.09882091358304024,0.10762063525617123,0.011335928263724782,0.13085285387933254,1.491457177811952e-07,3.9038096476068515e-08,6.183000301169624e-09
LTE,urban100,x16,10,20.240702209195025,0.47617258971600984,0.10280205166650011,0.1595786429941654,0.18102722316980363,0.030044917296618224,0.18034852668642998,1.5204681056706213e-07,1.5911940286093416e-08,2.453273068835505e-09
LTE,urban100,x30,10,18.574503851054565,0.35750025227947535,0.12377419140331809,0.17608929052948952,0.20197343751788138,0.058611170016229154,0.18253147080540658,2.734710024944912e-07,1.768495909513336e-08,2.748921244961881e-09
LTE,urban100,x4,10,26.56862075962659,0.8558878803802239,0.05082501159038033,0.08718584030866623,0.09099680706858634,0.008609358919784427,0.16015822999179363,3.3073795366601543e-09,8.591308556873759e-09,2.0097477344375184e-09
LTE,urban100,x8,10,22.720297248157884,0.6812100064327535,0.0777027701180363,0.1313487283885479,0.1430825337767601,0.0136674479348585,0.17774805501103402,5.184921613150317e-08,1.433479131529913e-08,2.287488185949995e-09
