model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LIIF,bsd100,101085.png,x8,x4,48.187335498803876,0.0038961280779212393,0.007723942399024963,0.007477112114429474,0.0008806641562841833
LIIF-EQ,bsd100,101085.png,x8,x4,46.169457251368016,0.004915040914850476,0.009749277494847775,0.009584136307239532,0.000928883149754256
LTE,bsd100,101085.png,x8,x4,45.16018270702346,0.005520658264962322,0.009545614942908287,0.009660813957452774,0.0017933901399374008
LTE-EQ,bsd100,101085.png,x8,x4,46.95868370694328,0.004488133996851402,0.008129364810883999,0.008393751457333565,0.0010256282985210419
LTE-NoCell,bsd100,101085.png,x8,x4,62.26311752620464,0.0007706268272210164,0.001411831472069025,0.0014701718464493752,0.00015884429740253836
LTE-FeaturePhase,bsd100,101085.png,x8,x4,62.20151464993209,0.0007761117660561964,0.001442419015802443,0.001500815968029201,0.0001546536950627342
SC-INR-Fixed,bsd100,101085.png,x8,x4,49.711304331645096,0.0032691495139886948,0.006279470399022102,0.006332891993224621,0.0007094761822372675
SC-INR-Adaptive,bsd100,101085.png,x8,x4,50.46428991803437,0.0029976816131541207,0.005770375020802021,0.006033377721905708,0.0005212184623815119
LIIF,bsd100,101085.png,x16,x4,44.26524368141281,0.006119808266643404,0.011706682853400707,0.010729395784437656,0.0019703926518559456
LIIF-EQ,bsd100,101085.png,x16,x4,43.14309588076743,0.006963782622430783,0.0130697600543499,0.011845091357827187,0.0018583801575005054
LTE,bsd100,101085.png,x16,x4,38.588967239468474,0.011763908503594236,0.0173606239259243,0.01608346961438656,0.006726154591888189
LTE-EQ,bsd100,101085.png,x16,x4,39.912443468938044,0.01010131295713989,0.015965893864631653,0.014863618649542332,0.003783291205763817
LTE-NoCell,bsd100,101085.png,x16,x4,70.87227742071227,0.00028601323420426227,0.0005342655931599438,0.0005210530944168568,5.5823071306804195e-05
LTE-FeaturePhase,bsd100,101085.png,x16,x4,72.13182292010107,0.0002474052173970036,0.00046242724056355655,0.00045036920346319675,5.642699034069665e-05
SC-INR-Fixed,bsd100,101085.png,x16,x4,46.29647323608127,0.004843689977991167,0.00839413981884718,0.008220406249165535,0.0017291638068854809
SC-INR-Adaptive,bsd100,101085.png,x16,x4,47.60128170323632,0.004168078741211677,0.007571239490061998,0.0077370754443109035,0.0009686015546321869
LIIF,bsd100,101085.png,x30,x4,41.875326612574035,0.008058118865196097,0.013401885516941547,0.012770324945449829,0.00471101189032197
LIIF-EQ,bsd100,101085.png,x30,x4,40.80571951315673,0.009114104931415772,0.01547922007739544,0.014800171367824078,0.0032240331638604403
LTE,bsd100,101085.png,x30,x4,36.45711420315256,0.01503641452405862,0.019894970580935478,0.01898590661585331,0.01229587197303772
LTE-EQ,bsd100,101085.png,x30,x4,37.89814947879117,0.012737744286410838,0.019015679135918617,0.018036285415291786,0.007011728826910257
LTE-NoCell,bsd100,101085.png,x30,x4,66.62344646738721,0.0004664742516330463,0.0008460045210085809,0.0008092538337223232,0.00013518144260160625
LTE-FeaturePhase,bsd100,101085.png,x30,x4,66.02798310109264,0.0004995751701277907,0.0009378093527629972,0.0008743900107219815,0.00013238766405265778
SC-INR-Fixed,bsd100,101085.png,x30,x4,45.96663681093753,0.005031160353989147,0.0074228751473128796,0.007239230442792177,0.003533803392201662
SC-INR-Adaptive,bsd100,101085.png,x30,x4,46.94358525896668,0.0044959423838646425,0.007445983123034239,0.007503900211304426,0.002301593776792288
LIIF,bsd100,101087.png,x8,x4,50.335978475129394,0.0030422932667072797,0.0063520255498588085,0.006341396830976009,0.00014618277782574296
LIIF-EQ,bsd100,101087.png,x8,x4,47.219982121469485,0.0043551277011882545,0.009093153290450573,0.009155676700174809,0.00026470539160072803
LTE,bsd100,101087.png,x8,x4,48.02980140746758,0.003967435998983364,0.007897797971963882,0.0079423813149333,0.0001601588592166081
LTE-EQ,bsd100,101087.png,x8,x4,48.88423878149898,0.003595738175209405,0.007208019960671663,0.007265935651957989,0.0002853752812370658
LTE-NoCell,bsd100,101087.png,x8,x4,61.668713291159456,0.0008252097212019148,0.0017107471358031034,0.0017253353726118803,2.0973420760128647e-05
LTE-FeaturePhase,bsd100,101087.png,x8,x4,61.84128664014466,0.0008089760567432159,0.0016643820563331246,0.0016807368956506252,2.4567691070842557e-05
SC-INR-Fixed,bsd100,101087.png,x8,x4,50.90977991569766,0.0028478099574717787,0.005966183729469776,0.006038133520632982,5.6746725022094324e-05
SC-INR-Adaptive,bsd100,101087.png,x8,x4,51.132381784852384,0.002775753593698765,0.005793813616037369,0.00598819088190794,5.046457954449579e-05
