model,dataset,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse,consistency_psnr_y_lte,consistency_rmse_y_lte,edge_consistency_rmse_lte,texture_consistency_rmse_lte,flat_consistency_rmse_lte,delta_consistency_psnr_y_vs_lte,delta_consistency_rmse_y_vs_lte,delta_edge_consistency_rmse_vs_lte,delta_texture_consistency_rmse_vs_lte,delta_flat_consistency_rmse_vs_lte
LIIF,bsd100,47.94851321082559,0.004321889654492234,0.007621564785949834,0.0070126735993350335,0.0016888545408922332,44.19135983877754,0.007107223659858101,0.0109327980782836,0.010242723642537933,0.0033947832324580335,3.7571533720480517,-0.002785334005365867,-0.003311233292333767,-0.0032300500432028995,-0.0017059286915658003
LIIF,urban100,44.12955420934787,0.0065863841288448,0.012188509417076866,0.011441784196843668,0.0015561794287350334,39.29826255381767,0.012372735882443267,0.020274224644526766,0.0192828558851033,0.0029691975592868003,4.831291655530201,-0.005786351753598467,-0.0080857152274499,-0.007841071688259633,-0.001413018130551767
LIIF-EQ,bsd100,46.36408042767855,0.005288807910448567,0.009421390326072733,0.008595903799869067,0.0017484928888733665,44.19135983877754,0.007107223659858101,0.0109327980782836,0.010242723642537933,0.0033947832324580335,2.172720588901015,-0.0018184157494095339,-0.0015114077522108676,-0.001646819842668866,-0.001646290343584667
LIIF-EQ,urban100,41.538967572306206,0.009163609072232968,0.016132126950348335,0.015546666411682933,0.0021027669688919,39.29826255381767,0.012372735882443267,0.020274224644526766,0.0192828558851033,0.0029691975592868003,2.2407050184885335,-0.0032091268102102995,-0.004142097694178431,-0.003736189473420368,-0.0008664305903949001
LTE,bsd100,44.19135983877754,0.007107223659858101,0.0109327980782836,0.010242723642537933,0.0033947832324580335,44.19135983877754,0.007107223659858101,0.0109327980782836,0.010242723642537933,0.0033947832324580335,0.0,0.0,0.0,0.0,0.0
LTE,urban100,39.29826255381767,0.012372735882443267,0.020274224644526766,0.0192828558851033,0.0029691975592868003,39.29826255381767,0.012372735882443267,0.020274224644526766,0.0192828558851033,0.0029691975592868003,0.0,0.0,0.0,0.0,0.0
LTE-EQ,bsd100,45.57421263552981,0.006061262814037166,0.009945580751324666,0.009130724822170967,0.0022215103943987,44.19135983877754,0.007107223659858101,0.0109327980782836,0.010242723642537933,0.0033947832324580335,1.3828527967522746,-0.0010459608458209344,-0.0009872173269589342,-0.0011119988203669665,-0.0011732728380593337
LTE-EQ,urban100,41.370691508220226,0.009530826143025866,0.016471763979643533,0.0162265924115975,0.0020496746011000335,39.29826255381767,0.012372735882443267,0.020274224644526766,0.0192828558851033,0.0029691975592868003,2.072428954402554,-0.0028419097394174007,-0.0038024606648832324,-0.0030562634735058006,-0.0009195229581867668
LTE-NoCell,bsd100,69.23407079363442,0.0003911683764097,0.0007290458248461999,0.0006906119063690335,9.863348035040992e-05,44.19135983877754,0.007107223659858101,0.0109327980782836,0.010242723642537933,0.0033947832324580335,25.04271095485688,-0.0067160552834484005,-0.010203752253437401,-0.009552111736168899,-0.0032961497521076235
LTE-NoCell,urban100,65.27757434624486,0.0006686031962404667,0.0012601624611609666,0.0012602331301119335,9.611146967168783e-05,39.29826255381767,0.012372735882443267,0.020274224644526766,0.0192828558851033,0.0029691975592868003,25.97931179242719,-0.0117041326862028,-0.0190140621833658,-0.018022622754991367,-0.0028730860896151126
LTE-FeaturePhase,bsd100,69.46261175287235,0.00038773201839873334,0.0007229895408575334,0.0006866461519772334,0.00010442147401283127,44.19135983877754,0.007107223659858101,0.0109327980782836,0.010242723642537933,0.0033947832324580335,25.27125191409481,-0.006719491641459368,-0.010209808537426068,-0.0095560774905607,-0.0032903617584452024
LTE-FeaturePhase,urban100,65.4729017262457,0.0006566523906323334,0.0012320258577043334,0.0012324475857894332,0.00010559331888845942,39.29826255381767,0.012372735882443267,0.020274224644526766,0.0192828558851033,0.0029691975592868003,26.174639172428023,-0.011716083491810934,-0.019042198786822433,-0.01805040829931387,-0.002863604240398341
SC-INR-Fixed,bsd100,51.33856849906326,0.0028653309389003335,0.0048775296968718,0.004583920103808167,0.0010484988773289666,44.19135983877754,0.007107223659858101,0.0109327980782836,0.010242723642537933,0.0033947832324580335,7.14720866028572,-0.004241892720957767,-0.0060552683814118005,-0.005658803538729766,-0.002346284355129067
SC-INR-Fixed,urban100,46.76688901347588,0.0048818138911370336,0.008866023334364032,0.008703842425408401,0.0008660812629386334,39.29826255381767,0.012372735882443267,0.020274224644526766,0.0192828558851033,0.0029691975592868003,7.468626459658211,-0.0074909219913062335,-0.011408201310162734,-0.0105790134596949,-0.002103116296348167
SC-INR,bsd100,52.80534615847703,0.0024722048699854335,0.004482439540637,0.00434171865539,0.0006656956584871333,44.19135983877754,0.007107223659858101,0.0109327980782836,0.010242723642537933,0.0033947832324580335,8.613986319699492,-0.004635018789872667,-0.006450358537646601,-0.005901004987147933,-0.0027290875739709
SC-INR,urban100,47.06944343809601,0.0047825182241545,0.008641289275449967,0.0088096639839932,0.0007062121556372668,39.29826255381767,0.012372735882443267,0.020274224644526766,0.0192828558851033,0.0029691975592868003,7.771180884278337,-0.007590217658288767,-0.0116329353690768,-0.010473191901110101,-0.0022629854036495334
