model,dataset,source_scale,observation_scale,n,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse,source_scale_num,consistency_psnr_y_lte,consistency_rmse_y_lte,edge_consistency_rmse_lte,texture_consistency_rmse_lte,flat_consistency_rmse_lte,delta_consistency_psnr_y_vs_lte,delta_consistency_rmse_y_vs_lte,delta_edge_consistency_rmse_vs_lte,delta_texture_consistency_rmse_vs_lte,delta_flat_consistency_rmse_vs_lte
LIIF,bsd100,x16,x4,10,47.70859291471281,0.0042700821395874,0.0078760967124253,0.0072310593444854,0.0014201232115738,16,43.43128372245256,0.0070819342642366,0.0116172360721975,0.0108287248760461,0.0027006703137885,4.2773091922602475,-0.0028118521246492,-0.003741139359772199,-0.0035976655315607,-0.0012805471022147
LIIF,bsd100,x30,x4,10,44.92151513865764,0.0058591353131428,0.009518038900569,0.0083947122795507,0.0029799572192132,30,39.87299665203857,0.010584743256989,0.0148050347808748,0.0134859860409051,0.0065392902120947,5.048518486619066,-0.004725607943846201,-0.0052869958803058,-0.0050912737613544,-0.0035593329928815
LIIF,bsd100,x8,x4,10,51.21543157910632,0.0028364515107465,0.0054705587448552,0.005412249173969,0.0006664831918897,8,49.26979914184147,0.0036549934583487,0.0063761233817785,0.0064134600106626,0.0009443891714909,1.9456324372648552,-0.0008185419476022002,-0.0009055646369233008,-0.0010012108366936005,-0.0002779059796012
LIIF,urban100,x16,x4,10,43.70167767390271,0.0068650637847147,0.0126738916151225,0.0118679485749453,0.0015674611655413,16,38.42576284111514,0.0130136669665439,0.0215395374223589,0.0202676185406744,0.0025552696984959,5.275914832787571,-0.006148603181829201,-0.0088656458072364,-0.0083996699657291,-0.0009878085329546001
LIIF,urban100,x30,x4,10,43.081822849997,0.0073732693488622,0.0131138144060969,0.0119764931965619,0.0021384480583947,30,36.811641888276384,0.0161914933245582,0.0253751791082322,0.0239238647744059,0.0048343899019528,6.2701809617206195,-0.008818223975696,-0.012261364702135298,-0.011947371577844,-0.0026959418435581004
LIIF,urban100,x8,x4,10,45.6051621041439,0.0055208192529575,0.0107778222300112,0.0104809108190238,0.0009626290622691,8,42.6573829320615,0.0079130473562277,0.0139079574029892,0.0136570843402296,0.0015179330774117,2.9477791720823987,-0.0023922281032701994,-0.003130135172977999,-0.0031761735212058,-0.0005553040151426
LIIF-EQ,bsd100,x16,x4,10,46.14602900945295,0.0051786229316777,0.0096054744906723,0.0086499044205993,0.0014909755729604,16,43.43128372245256,0.0070819342642366,0.0116172360721975,0.0108287248760461,0.0027006703137885,2.7147452870003903,-0.0019033113325589,-0.0020117615815251986,-0.0021788204554467998,-0.0012096947408281001
LIIF-EQ,bsd100,x30,x4,10,43.318796618700375,0.0072625423513731,0.0120016459841281,0.0105244336416944,0.0030372404609806,30,39.87299665203857,0.010584743256989,0.0148050347808748,0.0134859860409051,0.0065392902120947,3.445799966661802,-0.0033222009056159,-0.0028033887967467003,-0.0029615523992107,-0.0035020497511141
LIIF-EQ,bsd100,x8,x4,10,49.62741565488235,0.0034252584482949,0.0066570505034178,0.0066133733373135,0.0007172626326791,8,49.26979914184147,0.0036549934583487,0.0063761233817785,0.0064134600106626,0.0009443891714909,0.35761651304088105,-0.00022973501005380025,0.0002809271216392996,0.00019991332665089939,-0.0002271265388118001
LIIF-EQ,urban100,x16,x4,10,40.84742045055156,0.0096918452477782,0.0173871078528463,0.01683030705899,0.0019306354282889,16,38.42576284111514,0.0130136669665439,0.0215395374223589,0.0202676185406744,0.0025552696984959,2.421657609436423,-0.0033218217187657006,-0.004152429569512599,-0.003437311481684399,-0.0006246342702070002
LIIF-EQ,urban100,x30,x4,10,40.29008787875555,0.0106754197030211,0.01747926059179,0.0164808813016861,0.0031194926123134,30,36.811641888276384,0.0161914933245582,0.0253751791082322,0.0239238647744059,0.0048343899019528,3.478445990479166,-0.005516073621537101,-0.0078959185164422,-0.007442983472719801,-0.0017148972896394005
LIIF-EQ,urban100,x8,x4,10,43.47939438761151,0.0071235622658996,0.0135300124064087,0.0133288108743727,0.0012581728660734,8,42.6573829320615,0.0079130473562277,0.0139079574029892,0.0136570843402296,0.0015179330774117,0.8220114555500047,-0.0007894850903280995,-0.00037794499658050026,-0.0003282734658569004,-0.0002597602113383001
LTE,bsd100,x16,x4,10,43.43128372245256,0.0070819342642366,0.0116172360721975,0.0108287248760461,0.0027006703137885,16,43.43128372245256,0.0070819342642366,0.0116172360721975,0.0108287248760461,0.0027006703137885,0.0,0.0,0.0,0.0,0.0
LTE,bsd100,x30,x4,10,39.87299665203857,0.010584743256989,0.0148050347808748,0.0134859860409051,0.0065392902120947,30,39.87299665203857,0.010584743256989,0.0148050347808748,0.0134859860409051,0.0065392902120947,0.0,0.0,0.0,0.0,0.0
LTE,bsd100,x8,x4,10,49.26979914184147,0.0036549934583487,0.0063761233817785,0.0064134600106626,0.0009443891714909,8,49.26979914184147,0.0036549934583487,0.0063761233817785,0.0064134600106626,0.0009443891714909,0.0,0.0,0.0,0.0,0.0
