model,observation_scale,frequency_bin,n_rows,omega_mag_mean,coef_pair_mag_mean,response_mean,response_abs_mean,active_response_mean,active_response_abs_mean,effective_pair_mag_mean,response_neg_frac,active_response_neg_frac,effective_over_coef_mag_mean,effective_energy_ratio
SC-INR,x16,all,1,0.45765209197998047,0.3268249034881592,0.9973527789115906,0.9973527789115906,0.9973527789115906,0.9973527789115906,0.32578161358833313,0.0,0.0,0.9973528385162354,0.9913522601127625
SC-INR,x16,high,1,0.9738116264343262,0.37933847308158875,0.9928336143493652,0.9928336143493652,0.9928336143493652,0.9928336143493652,0.37642478942871094,0.0,0.0,0.9928336143493652,0.9838294386863708
SC-INR,x16,low,1,0.07453800737857819,0.33004340529441833,0.999950647354126,0.999950647354126,0.999950647354126,0.999950647354126,0.33002999424934387,0.0,0.0,0.999950647354126,0.9999336004257202
SC-INR,x16,mid,1,0.32467666268348694,0.2710922062397003,0.9992735385894775,0.9992735385894775,0.9992735385894775,0.9992735385894775,0.27088937163352966,0.0,0.0,0.9992735981941223,0.9984356164932251
SC-INR,x30,all,1,0.45765209197998047,0.3268249034881592,0.9992450475692749,0.9992450475692749,0.9992450475692749,0.9992450475692749,0.3265273869037628,0.0,0.0,0.9992450475692749,0.9975246787071228
SC-INR,x30,high,1,0.9738116264343262,0.37933847308158875,0.9979557394981384,0.9979557394981384,0.9979557394981384,0.9979557394981384,0.37850746512413025,0.0,0.0,0.9979557394981384,0.9953701496124268
SC-INR,x30,low,1,0.07453800737857819,0.33004340529441833,0.9999859929084778,0.9999859929084778,0.9999859929084778,0.9999859929084778,0.3300395905971527,0.0,0.0,0.9999860525131226,0.999981164932251
SC-INR,x30,mid,1,0.32467666268348694,0.2710922062397003,0.9997933506965637,0.9997933506965637,0.9997933506965637,0.9997933506965637,0.27103450894355774,0.0,0.0,0.999793291091919,0.9995547533035278
SC-INR,x4,all,1,0.45765209197998047,0.3268249034881592,0.9598484039306641,0.9598484039306641,0.9598484039306641,0.9598484039306641,0.3109779953956604,0.0,0.0,0.9598482847213745,0.8782875537872314
SC-INR,x4,high,1,0.9738116264343262,0.37933847308158875,0.8918936848640442,0.8918936848640442,0.8918936848640442,0.8918936848640442,0.33524054288864136,0.0,0.0,0.8918935656547546,0.7735165357589722
SC-INR,x4,low,1,0.07453800737857819,0.33004340529441833,0.9992111921310425,0.9992111921310425,0.9992111921310425,0.9992111921310425,0.32982850074768066,0.0,0.0,0.9992111325263977,0.998937726020813
SC-INR,x4,mid,1,0.32467666268348694,0.2710922062397003,0.9884328842163086,0.9884328842163086,0.9884328842163086,0.9884328842163086,0.2678614854812622,0.0,0.0,0.9884328842163086,0.9752628803253174
SC-INR,x8,all,1,0.45765209197998047,0.3268249034881592,0.9895248413085938,0.9895248413085938,0.9895248413085938,0.9895248413085938,0.3226952850818634,0.0,0.0,0.9895248413085938,0.9663068056106567
SC-INR,x8,high,1,0.9738116264343262,0.37933847308158875,0.971672773361206,0.971672773361206,0.971672773361206,0.971672773361206,0.36781343817710876,0.0,0.0,0.9716728925704956,0.9370562434196472
SC-INR,x8,low,1,0.07453800737857819,0.33004340529441833,0.9998025894165039,0.9998025894165039,0.9998025894165039,0.9998025894165039,0.3299896717071533,0.0,0.0,0.9998027086257935,0.9997342228889465
SC-INR,x8,mid,1,0.32467666268348694,0.2710922062397003,0.9970972537994385,0.9970972537994385,0.9970972537994385,0.9970972537994385,0.27028149366378784,0.0,0.0,0.9970971941947937,0.9937569499015808
SC-INR-NoPhi,x16,all,1,0.4535354971885681,0.6853945255279541,0.9977061748504639,0.9977061748504639,0.9977061748504639,0.9977061748504639,0.6837014555931091,0.0,0.0,0.9977061748504639,0.993802547454834
SC-INR-NoPhi,x16,high,1,0.8928353786468506,0.7154260277748108,0.9940247535705566,0.9940247535705566,0.9940247535705566,0.9940247535705566,0.7108750343322754,0.0,0.0,0.9940247535705566,0.98614102602005
SC-INR-NoPhi,x16,low,1,0.12715138494968414,0.7648419141769409,0.9998824596405029,0.9998824596405029,0.9998824596405029,0.9998824596405029,0.7647571563720703,0.0,0.0,0.9998823404312134,0.999790608882904
SC-INR-NoPhi,x16,mid,1,0.34067967534065247,0.5759009122848511,0.9992110133171082,0.9992110133171082,0.9992110133171082,0.9992110133171082,0.5754572153091431,0.0,0.0,0.9992110133171082,0.9984889626502991
SC-INR-NoPhi,x30,all,1,0.4535354971885681,0.6853945255279541,0.9993462562561035,0.9993462562561035,0.9993462562561035,0.9993462562561035,0.6849119663238525,0.0,0.0,0.9993462562561035,0.998227596282959
SC-INR-NoPhi,x30,high,1,0.8928353786468506,0.7154260277748108,0.9982966780662537,0.9982966780662537,0.9982966780662537,0.9982966780662537,0.7141287326812744,0.0,0.0,0.9982966780662537,0.9960351586341858
SC-INR-NoPhi,x30,low,1,0.12715138494968414,0.7648419141769409,0.999966561794281,0.999966561794281,0.999966561794281,0.999966561794281,0.7648177742958069,0.0,0.0,0.999966561794281,0.9999405741691589
SC-INR-NoPhi,x30,mid,1,0.34067967534065247,0.5759009122848511,0.9997755885124207,0.9997755885124207,0.9997755885124207,0.9997755885124207,0.5757747292518616,0.0,0.0,0.9997754693031311,0.9995699524879456
SC-INR-NoPhi,x4,all,1,0.4535354971885681,0.6853945255279541,0.9647313952445984,0.9647313952445984,0.9647313952445984,0.9647313952445984,0.6593934297561646,0.0,0.0,0.9647313952445984,0.9111295342445374
SC-INR-NoPhi,x4,high,1,0.8928353786468506,0.7154260277748108,0.9086338877677917,0.9086338877677917,0.9086338877677917,0.9086338877677917,0.6458432674407959,0.0,0.0,0.9086338877677917,0.8026858568191528
SC-INR-NoPhi,x4,low,1,0.12715138494968414,0.7648419141769409,0.9981191754341125,0.9981191754341125,0.9981191754341125,0.9981191754341125,0.7634857296943665,0.0,0.0,0.9981191754341125,0.99665766954422
SC-INR-NoPhi,x4,mid,1,0.34067967534065247,0.5759009122848511,0.9874348044395447,0.9874348044395447,0.9874348044395447,0.9874348044395447,0.5688321590423584,0.0,0.0,0.9874346852302551,0.9760942459106445
SC-INR-NoPhi,x8,all,1,0.4535354971885681,0.6853945255279541,0.9908980131149292,0.9908980131149292,0.9908980131149292,0.9908980131149292,0.6786778569221497,0.0,0.0,0.9908980131149292,0.975762128829956
SC-INR-NoPhi,x8,high,1,0.8928353786468506,0.7154260277748108,0.976315975189209,0.976315975189209,0.976315975189209,0.976315975189209,0.6973878741264343,0.0,0.0,0.976315975189209,0.945873498916626
SC-INR-NoPhi,x8,low,1,0.12715138494968414,0.7648419141769409,0.9995294809341431,0.9995294809341431,0.9995294809341431,0.9995294809341431,0.7645026445388794,0.0,0.0,0.9995294809341431,0.9991631507873535
SC-INR-NoPhi,x8,mid,1,0.34067967534065247,0.5759009122848511,0.9968469738960266,0.9968469738960266,0.9968469738960266,0.9968469738960266,0.5741274356842041,0.0,0.0,0.9968470335006714,0.9939695596694946
SC-INR-NoSinc,x16,all,1,0.39060699939727783,0.33875179290771484,0.9977009892463684,0.9977009892463684,1.0,1.0,0.33875179290771484,0.0,0.0,1.0,1.0
