model,dataset,image,base_scale,cell_multiplier,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,weak_oracle,valid_shave
LTE,bsd100,101085.png,x4,1,24.0695213414414,0.06259273563273465,0.0,0.0,0.0,False,4
LTE,bsd100,101085.png,x4,2,29.93979629969492,0.03184272197969941,0.04055213928222656,0.009932155720889568,0.04164779186248779,False,4
LTE,bsd100,101085.png,x4,4,31.865637929016223,0.025510449059632817,0.06148947402834892,0.029811322689056396,0.0624304860830307,False,4
LTE-NoCellPhase,bsd100,101085.png,x4,1,23.96996882820583,0.06331426339197978,0.0,0.0,0.0,False,4
LTE-NoCellPhase,bsd100,101085.png,x4,2,29.933198521106043,0.03186691881509827,0.04164779186248779,0.0,0.04164779186248779,False,4
LTE-NoCellPhase,bsd100,101085.png,x4,4,32.3713030148993,0.024067714398267482,0.0624304860830307,0.0,0.0624304860830307,False,4
SC-INR-NoPhi,bsd100,101085.png,x4,1,24.028379078384198,0.06288992055060076,0.0,0.0,0.0,False,4
SC-INR-NoPhi,bsd100,101085.png,x4,2,29.921414550649086,0.03191018135816035,0.040658097714185715,0.009029422886669636,0.04164779186248779,False,4
SC-INR-NoPhi,bsd100,101085.png,x4,4,32.82593494405664,0.0228403761985791,0.06064192205667496,0.025596220046281815,0.0624304860830307,False,4
SC-INR,bsd100,101085.png,x4,1,24.070917333876615,0.06258267656363485,0.0,0.0,0.0,False,4
SC-INR,bsd100,101085.png,x4,2,29.967295086642743,0.031742070045272665,0.0404885932803154,0.008783494122326374,0.04164779186248779,False,4
SC-INR,bsd100,101085.png,x4,4,32.287527327973606,0.0243009713604985,0.06084136292338371,0.02682879939675331,0.0624304860830307,False,4
SC-INR-NoSinc,bsd100,101085.png,x4,1,24.008781025739083,0.06303197986112132,0.0,0.0,0.0,False,4
SC-INR-NoSinc,bsd100,101085.png,x4,2,29.900804862499662,0.031985987035042976,0.04164779186248779,0.0,0.04164779186248779,False,4
SC-INR-NoSinc,bsd100,101085.png,x4,4,31.988209539003147,0.02515298449197371,0.0624304860830307,0.0,0.0624304860830307,False,4
LTE,bsd100,101087.png,x4,1,28.75713469642328,0.03648742919029531,0.0,0.0,0.0,False,4
LTE,bsd100,101087.png,x4,2,34.19792337255203,0.019503108254474235,0.02324727363884449,0.007687079254537821,0.02427739091217518,False,4
LTE,bsd100,101087.png,x4,4,35.66359140528567,0.016474810571069472,0.036152809858322144,0.022052070125937462,0.038037627935409546,False,4
LTE-NoCellPhase,bsd100,101087.png,x4,1,28.693625632806146,0.036755193914507746,0.0,0.0,0.0,False,4
LTE-NoCellPhase,bsd100,101087.png,x4,2,33.79376695371833,0.020432036338438753,0.02427739091217518,0.0,0.02427739091217518,False,4
LTE-NoCellPhase,bsd100,101087.png,x4,4,34.07603145780189,0.01977873114640096,0.038037627935409546,0.0,0.038037627935409546,False,4
SC-INR-NoPhi,bsd100,101087.png,x4,1,28.778675927036446,0.03639705153940194,0.0,0.0,0.0,False,4
SC-INR-NoPhi,bsd100,101087.png,x4,2,34.25764991705965,0.019369459595419032,0.02320636436343193,0.007195283193141222,0.02427739091217518,False,4
SC-INR-NoPhi,bsd100,101087.png,x4,4,36.44178379891669,0.015062976899198843,0.03547242283821106,0.019183190539479256,0.038037627935409546,False,4
SC-INR,bsd100,101087.png,x4,1,28.767708652533575,0.03644303745322016,0.0,0.0,0.0,False,4
SC-INR,bsd100,101087.png,x4,2,34.271087003458746,0.01933951817337474,0.02326166443526745,0.006664834450930357,0.02427739091217518,False,4
SC-INR,bsd100,101087.png,x4,4,36.05446659254957,0.015749859008484402,0.03575952351093292,0.01936783827841282,0.038037627935409546,False,4
SC-INR-NoSinc,bsd100,101087.png,x4,1,28.756021765794433,0.03649210465600866,0.0,0.0,0.0,False,4
SC-INR-NoSinc,bsd100,101087.png,x4,2,33.85404037119261,0.020290744460413863,0.02427739091217518,0.0,0.02427739091217518,False,4
SC-INR-NoSinc,bsd100,101087.png,x4,4,34.00810084100395,0.01993402313461994,0.038037627935409546,0.0,0.038037627935409546,False,4
LTE,bsd100,102061.png,x4,1,26.659550458489445,0.04645393170090309,0.0,0.0,0.0,False,4
LTE,bsd100,102061.png,x4,2,32.60312241891435,0.023433862592649648,0.030539026483893394,0.010639535263180733,0.03192896023392677,False,4
LTE,bsd100,102061.png,x4,4,34.16513111421456,0.01957687844676198,0.04635574296116829,0.0283455029129982,0.04925534874200821,False,4
LTE-NoCellPhase,bsd100,102061.png,x4,1,26.513599508167623,0.04724110250928792,0.0,0.0,0.0,False,4
LTE-NoCellPhase,bsd100,102061.png,x4,2,32.25846662556792,0.024382412183516406,0.03192896023392677,0.0,0.03192896023392677,False,4
LTE-NoCellPhase,bsd100,102061.png,x4,4,33.040443979636066,0.02228321245619426,0.04925534874200821,0.0,0.04925534874200821,False,4
SC-INR-NoPhi,bsd100,102061.png,x4,1,26.599970246957287,0.04677367434912385,0.0,0.0,0.0,False,4
SC-INR-NoPhi,bsd100,102061.png,x4,2,32.58025147609758,0.023495647946628923,0.030757974833250046,0.00990237481892109,0.03192896023392677,False,4
SC-INR-NoPhi,bsd100,102061.png,x4,4,35.20024280031411,0.01737752251953284,0.04582821577787399,0.0248324703425169,0.04925534874200821,False,4
SC-INR,bsd100,102061.png,x4,1,26.676575736473353,0.04636296617820465,0.0,0.0,0.0,False,4
SC-INR,bsd100,102061.png,x4,2,32.64723802003242,0.02331514383310571,0.030475495383143425,0.009891672991216183,0.03192896023392677,False,4
SC-INR,bsd100,102061.png,x4,4,34.7807357414657,0.01823741215108644,0.04577372595667839,0.025562845170497894,0.04925534874200821,False,4
SC-INR-NoSinc,bsd100,102061.png,x4,1,26.593568538181135,0.04680816037476342,0.0,0.0,0.0,False,4
SC-INR-NoSinc,bsd100,102061.png,x4,2,32.27380448408071,0.024339394828967666,0.03192896023392677,0.0,0.03192896023392677,False,4
SC-INR-NoSinc,bsd100,102061.png,x4,4,32.703460718539354,0.023164715144578865,0.04925534874200821,0.0,0.04925534874200821,False,4
LTE,bsd100,103070.png,x4,1,30.71034428477734,0.029139546313340665,0.0,0.0,0.0,False,4
LTE,bsd100,103070.png,x4,2,35.78511852717182,0.01624591114711341,0.01736806519329548,0.003671065205708146,0.01788986846804619,False,4
LTE,bsd100,103070.png,x4,4,35.769932797388805,0.016274339070277536,0.02946184203028679,0.01597558706998825,0.029000425711274147,False,4
LTE-NoCellPhase,bsd100,103070.png,x4,1,30.57113883403741,0.029610317098543965,0.0,0.0,0.0,False,4
LTE-NoCellPhase,bsd100,103070.png,x4,2,35.77175190186965,0.016270931057456157,0.01788986846804619,0.0,0.01788986846804619,False,4
LTE-NoCellPhase,bsd100,103070.png,x4,4,37.848640813972054,0.012810555410811216,0.029000425711274147,0.0,0.029000425711274147,False,4
SC-INR-NoPhi,bsd100,103070.png,x4,1,30.661200817101,0.029304880796764684,0.0,0.0,0.0,False,4
SC-INR-NoPhi,bsd100,103070.png,x4,2,35.73432983172264,0.016341183559151273,0.017389683052897453,0.0035084823612123728,0.01788986846804619,False,4
SC-INR-NoPhi,bsd100,103070.png,x4,4,36.86064623230995,0.01435382636562206,0.028642674908041954,0.013581869192421436,0.029000425711274147,False,4
SC-INR,bsd100,103070.png,x4,1,30.676662690454854,0.02925276117271516,0.0,0.0,0.0,False,4
SC-INR,bsd100,103070.png,x4,2,35.71153013170439,0.016384134081659115,0.01736687682569027,0.0035770025569945574,0.01788986846804619,False,4
SC-INR,bsd100,103070.png,x4,4,36.247126971808314,0.015404359711815967,0.029111390933394432,0.014861013740301132,0.029000425711274147,False,4
SC-INR-NoSinc,bsd100,103070.png,x4,1,30.637772413577093,0.029384031392778405,0.0,0.0,0.0,False,4
SC-INR-NoSinc,bsd100,103070.png,x4,2,35.77783957887966,0.016259531249971863,0.01788986846804619,0.0,0.01788986846804619,False,4
SC-INR-NoSinc,bsd100,103070.png,x4,4,37.487913357260794,0.013353783538120419,0.029000425711274147,0.0,0.029000425711274147,False,4
LTE,bsd100,105025.png,x4,1,26.237191519399985,0.04876861522136628,0.0,0.0,0.0,False,4
LTE,bsd100,105025.png,x4,2,31.584190177854772,0.02635059894504473,0.02954995073378086,0.0043803006410598755,0.029772132635116577,False,4
LTE,bsd100,105025.png,x4,4,32.9490153717655,0.022519006766442348,0.047646693885326385,0.021046558395028114,0.046544045209884644,False,4
LTE-NoCellPhase,bsd100,105025.png,x4,1,26.21670806442117,0.04888375927528135,0.0,0.0,0.0,False,4
LTE-NoCellPhase,bsd100,105025.png,x4,2,31.593503571370114,0.026322359814340536,0.029772132635116577,0.0,0.029772132635116577,False,4
LTE-NoCellPhase,bsd100,105025.png,x4,4,34.45212464016477,0.018940601549698916,0.046544045209884644,0.0,0.046544045209884644,False,4
SC-INR-NoPhi,bsd100,105025.png,x4,1,26.24207713011146,0.04874119172391371,0.0,0.0,0.0,False,4
SC-INR-NoPhi,bsd100,105025.png,x4,2,31.596062656134546,0.02631460571768622,0.029558198526501656,0.004472722765058279,0.029772132635116577,False,4
SC-INR-NoPhi,bsd100,105025.png,x4,4,34.055171540969305,0.019826288567386482,0.04650433734059334,0.01817067712545395,0.046544045209884644,False,4
SC-INR,bsd100,105025.png,x4,1,26.246396867770518,0.048716957382600255,0.0,0.0,0.0,False,4
SC-INR,bsd100,105025.png,x4,2,31.612379203077083,0.0262652198185409,0.029535362496972084,0.00412282207980752,0.029772132635116577,False,4
SC-INR,bsd100,105025.png,x4,4,33.33488165040287,0.0215405068207727,0.047146689146757126,0.0193235594779253,0.046544045209884644,False,4
SC-INR-NoSinc,bsd100,105025.png,x4,1,26.25056908288041,0.04869356210299269,0.0,0.0,0.0,False,4
SC-INR-NoSinc,bsd100,105025.png,x4,2,31.580048322304414,0.02636316719135069,0.029772132635116577,0.0,0.029772132635116577,False,4
SC-INR-NoSinc,bsd100,105025.png,x4,4,34.12957122017383,0.01965719016104597,0.046544045209884644,0.0,0.046544045209884644,False,4
LTE,bsd100,106024.png,x4,1,34.07608541591794,0.019778608278185936,0.0,0.0,0.0,False,4
LTE,bsd100,106024.png,x4,2,39.07049300403874,0.011129492209154865,0.01205283123999834,0.005407224874943495,0.013696249574422836,False,4
LTE,bsd100,106024.png,x4,4,38.787706398841195,0.011497798148758863,0.020512176677584648,0.015314740128815174,0.022583233192563057,False,4
LTE-NoCellPhase,bsd100,106024.png,x4,1,33.88270850992141,0.02022388441526221,0.0,0.0,0.0,False,4
LTE-NoCellPhase,bsd100,106024.png,x4,2,39.04076573032274,0.0111676479173347,0.013696249574422836,0.0,0.013696249574422836,False,4
LTE-NoCellPhase,bsd100,106024.png,x4,4,38.427362031581765,0.011984830560210198,0.022583233192563057,0.0,0.022583233192563057,False,4
SC-INR-NoPhi,bsd100,106024.png,x4,1,34.08123228813768,0.01976689182550089,0.0,0.0,0.0,False,4
SC-INR-NoPhi,bsd100,106024.png,x4,2,39.1510597098958,0.01102673695470641,0.01214683149009943,0.005157599691301584,0.013696249574422836,False,4
SC-INR-NoPhi,bsd100,106024.png,x4,4,39.82656042264843,0.010201686627536193,0.01983966864645481,0.013313738629221916,0.022583233192563057,False,4
SC-INR,bsd100,106024.png,x4,1,34.12061638234765,0.019677466462869622,0.0,0.0,0.0,False,4
SC-INR,bsd100,106024.png,x4,2,39.134714661969305,0.011047506529053194,0.012013748288154602,0.005468416027724743,0.013696249574422836,False,4
SC-INR,bsd100,106024.png,x4,4,39.39715965338846,0.010718697568354914,0.020035088062286377,0.014175924472510815,0.022583233192563057,False,4
SC-INR-NoSinc,bsd100,106024.png,x4,1,33.97140319992333,0.02001842199136709,0.0,0.0,0.0,False,4
SC-INR-NoSinc,bsd100,106024.png,x4,2,39.04849930966144,0.011157709101878752,0.013696249574422836,0.0,0.013696249574422836,False,4
SC-INR-NoSinc,bsd100,106024.png,x4,4,38.22352707402574,0.012269409068257395,0.022583233192563057,0.0,0.022583233192563057,False,4
LTE,bsd100,108005.png,x4,1,26.27572893372605,0.04855271871722966,0.0,0.0,0.0,False,4
LTE,bsd100,108005.png,x4,2,30.73521701304619,0.029056222289547677,0.02700609341263771,0.007508902344852686,0.027141984552145004,False,4
LTE,bsd100,108005.png,x4,4,31.454646480025616,0.026746544153341385,0.04774549975991249,0.029654840007424355,0.04662829264998436,False,4
LTE-NoCellPhase,bsd100,108005.png,x4,1,26.325170198719565,0.048277135113480515,0.0,0.0,0.0,False,4
LTE-NoCellPhase,bsd100,108005.png,x4,2,30.868384023402005,0.02861414666380623,0.027141984552145004,0.0,0.027141984552145004,False,4
LTE-NoCellPhase,bsd100,108005.png,x4,4,32.56751754898811,0.02353011894531575,0.04662829264998436,0.0,0.04662829264998436,False,4
SC-INR-NoPhi,bsd100,108005.png,x4,1,26.323929559604295,0.04828403121536253,0.0,0.0,0.0,False,4
SC-INR-NoPhi,bsd100,108005.png,x4,2,30.827137697658678,0.028750348613791922,0.02678673341870308,0.0070007918402552605,0.027141984552145004,False,4
SC-INR-NoPhi,bsd100,108005.png,x4,4,32.608267439293925,0.02341998583344535,0.045779190957546234,0.02511877380311489,0.04662829264998436,False,4
SC-INR,bsd100,108005.png,x4,1,26.33038084727825,0.0482481824377818,0.0,0.0,0.0,False,4
SC-INR,bsd100,108005.png,x4,2,30.825259703930577,0.02875656545674218,0.0267485324293375,0.007277971133589745,0.027141984552145004,False,4
SC-INR,bsd100,108005.png,x4,4,31.890955381195567,0.025436199990649888,0.046792350709438324,0.027567824348807335,0.04662829264998436,False,4
SC-INR-NoSinc,bsd100,108005.png,x4,1,26.35801781755329,0.04809490919668127,0.0,0.0,0.0,False,4
SC-INR-NoSinc,bsd100,108005.png,x4,2,30.748297253048406,0.02901249892336444,0.027141984552145004,0.0,0.027141984552145004,False,4
SC-INR-NoSinc,bsd100,108005.png,x4,4,32.02533092183864,0.02504571612771386,0.04662829264998436,0.0,0.04662829264998436,False,4
LTE,bsd100,108070.png,x4,1,23.088452695340354,0.07007730074730543,0.0,0.0,0.0,False,4
LTE,bsd100,108070.png,x4,2,28.659404667347353,0.036900288923694104,0.043297670781612396,0.0088011110201478,0.0433751605451107,False,4
