model,cell_multiplier,n,weak_oracle_frac,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y
LTE,1,20,0.0,27.118453305657802,0.04732522112975649,0.0,0.0,0.0
LTE,2,20,0.0,32.61641401320587,0.02504120330451807,0.030769012169912457,0.011482170596718789,0.032367167389020325
LTE,4,20,0.0,33.118654353532484,0.02309238339725997,0.04834349853917956,0.032993936957791445,0.051335536129772666
LTE-NoCellPhase,1,20,0.0,26.9944780916286,0.047999776000782854,0.0,0.0,0.0
LTE-NoCellPhase,2,20,0.0,32.26679967806322,0.026106970097687265,0.032367167389020325,0.0,0.032367167389020325
LTE-NoCellPhase,4,20,0.0,32.211620010162086,0.026530394239165745,0.051335536129772666,0.0,0.051335536129772666
SC-INR,1,20,0.0,27.146954224853754,0.04715762102078448,0.0,0.0,0.0
SC-INR,2,20,0.0,32.747185738526426,0.02463556602364561,0.03061808249913156,0.010584841656964272,0.032367167389020325
SC-INR,4,20,0.0,33.74538257181085,0.02148169257387763,0.047445327136665584,0.029547854280099272,0.051335536129772666
SC-INR-NoPhi,1,20,0.0,27.135996364165567,0.047264091587304304,0.0,0.0,0.0
SC-INR-NoPhi,2,20,0.0,32.719748367323085,0.02476099017822076,0.030694995215162633,0.010294953919947147,0.032367167389020325
SC-INR-NoPhi,4,20,0.0,34.137935995159935,0.0205730861082501,0.04707974698394537,0.027945373440161347,0.051335536129772666
SC-INR-NoSinc,1,20,0.0,27.11008321124003,0.047359955669637084,0.0,0.0,0.0
SC-INR-NoSinc,2,20,0.0,32.264031480556085,0.026118402353576188,0.032367167389020325,0.0,0.032367167389020325
SC-INR-NoSinc,4,20,0.0,31.93213105542467,0.027496896587979897,0.051335536129772666,0.0,0.051335536129772666
