dataset,model,cell_multiplier,n,weak_oracle_frac,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y
bsd100,LTE,1,10,0.0,27.668285851689014,0.04382543066913265,0.0,0.0,0.0
bsd100,LTE,2,10,0.0,32.95170657828945,0.02371067545344999,0.02692286213859916,0.006707449723035097,0.02758155297487974
bsd100,LTE,4,10,0.0,33.96951377386843,0.020681971522612176,0.04334115367382765,0.02303175488486886,0.043602853640913965
bsd100,LTE-NoCellPhase,1,10,0.0,27.59944069470874,0.04410508693324049,0.0,0.0,0.0
bsd100,LTE-NoCellPhase,2,10,0.0,32.8849464964822,0.023859909350153415,0.02758155297487974,0.0,0.02758155297487974
bsd100,LTE-NoCellPhase,4,10,0.0,34.529724805294364,0.019368027203698603,0.043602853640913965,0.0,0.043602853640913965
bsd100,SC-INR,1,10,0.0,27.683027944395185,0.04375961078274359,0.0,0.0,0.0
bsd100,SC-INR,2,10,0.0,32.98437933609064,0.023625315959981213,0.026856642588973044,0.006249621533788741,0.02758155297487974
bsd100,SC-INR,4,10,0.0,34.42851676291018,0.019647562813571412,0.04280245993286371,0.021117480751127005,0.043602853640913965
bsd100,SC-INR-NoPhi,1,10,0.0,27.672102466191678,0.043801807912940464,0.0,0.0,0.0
bsd100,SC-INR-NoPhi,2,10,0.0,32.989680007782646,0.023606122904816902,0.026902003679424524,0.0061647284775972365,0.02758155297487974
bsd100,SC-INR-NoPhi,4,10,0.0,34.991470391836685,0.018380890923972593,0.04229874908924103,0.019767534639686345,0.043602853640913965
bsd100,SC-INR-NoSinc,1,10,0.0,27.652756362513873,0.043862219594892275,0.0,0.0,0.0
bsd100,SC-INR-NoSinc,2,10,0.0,32.87977926517786,0.02389342089860951,0.02758155297487974,0.0,0.02758155297487974
bsd100,SC-INR-NoSinc,4,10,0.0,34.23917310769962,0.02005463620394441,0.043602853640913965,0.0,0.043602853640913965
urban100,LTE,1,10,0.0,26.56862075962659,0.05082501159038033,0.0,0.0,0.0
urban100,LTE,2,10,0.0,32.28112144812228,0.026371731155586137,0.034615162201225756,0.01625689147040248,0.03715278180316091
urban100,LTE,4,10,0.0,32.26779493319654,0.02550279527190776,0.05334584340453148,0.042956119030714036,0.05906821861863136
urban100,LTE-NoCellPhase,1,10,0.0,26.389515488548454,0.05189446506832522,0.0,0.0,0.0
urban100,LTE-NoCellPhase,2,10,0.0,31.648652859644262,0.028354030845221118,0.03715278180316091,0.0,0.03715278180316091
urban100,LTE-NoCellPhase,4,10,0.0,29.893515215029815,0.03369276127463289,0.05906821861863136,0.0,0.05906821861863136
urban100,SC-INR,1,10,0.0,26.610880505312345,0.05055563125882538,0.0,0.0,0.0
urban100,SC-INR,2,10,0.0,32.509992140962204,0.025645816087310015,0.03437952240929008,0.014920061780139804,0.03715278180316091
urban100,SC-INR,4,10,0.0,33.06224838071152,0.02331582233418385,0.05208819434046745,0.03797822780907154,0.05906821861863136
urban100,SC-INR-NoPhi,1,10,0.0,26.59989026213946,0.050726375261668136,0.0,0.0,0.0
urban100,SC-INR-NoPhi,2,10,0.0,32.44981672686354,0.025915857451624624,0.03448798675090074,0.014425179362297058,0.03715278180316091
urban100,SC-INR-NoPhi,4,10,0.0,33.28440159848317,0.022765281292527605,0.05186074487864971,0.036123212240636346,0.05906821861863136
urban100,SC-INR-NoSinc,1,10,0.0,26.567410059966193,0.05085769174438189,0.0,0.0,0.0
urban100,SC-INR-NoSinc,2,10,0.0,31.64828369593432,0.028343383808542878,0.03715278180316091,0.0,0.03715278180316091
urban100,SC-INR-NoSinc,4,10,0.0,29.625089003149707,0.0349391569720154,0.05906821861863136,0.0,0.05906821861863136
