dataset,image,x,y,crop_size,texture_score
urban100,img_003.png,768,96,96,0.43128610
urban100,img_003.png,576,0,96,0.41711830
bsd100,102061.png,96,96,96,0.41709692
urban100,img_003.png,768,288,96,0.39437206
bsd100,101085.png,96,384,96,0.38169503
bsd100,101085.png,96,385,96,0.38096311
urban100,img_002.png,672,0,96,0.36584140
urban100,img_002.png,480,0,96,0.34724323
bsd100,101085.png,192,385,96,0.33585436
bsd100,102061.png,0,96,96,0.33178623
urban100,img_002.png,192,192,96,0.32833076
urban100,img_001.png,0,0,96,0.32095950
urban100,img_001.png,928,288,96,0.31846175
bsd100,102061.png,0,192,96,0.31244396
urban100,img_001.png,576,96,96,0.30694246
bsd100,101087.png,192,96,96,0.28895465
bsd100,101087.png,225,0,96,0.26262190
bsd100,101087.png,96,96,96,0.25661644
