dataset,image,x,y,crop_size,texture_score,model,cell_multiplier,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,delta_oracle_corr_y,delta_oracle_best_shift_x,delta_oracle_best_shift_y,delta_oracle_best_shift_corr_y,highpass_delta_rms_y
urban100,img_003.png,768,96,96,0.43128610,LIIF,4,0.02750104,0.10476471,0.04363101,0.10792022,0.27411484,0,0,0.27411484,0.08039115
urban100,img_003.png,768,96,96,0.43128610,LTE,4,0.03599336,0.10719088,0.05254915,0.10792022,0.25743029,0,0,0.25743029,0.11163975
urban100,img_003.png,768,96,96,0.43128610,LTE-PhaseZ,4,0.04165239,0.10792022,0.00000000,0.10792022,nan,0,0,-inf,0.00000000
urban100,img_003.png,768,96,96,0.43128610,SC-INR,4,0.03228809,0.10693262,0.04646255,0.10792022,0.23641240,0,0,0.23641240,0.09808163
urban100,img_003.png,768,96,96,0.43128610,SC-INR-NoSinc,4,0.04183018,0.10792022,0.00000000,0.10792022,nan,0,0,-inf,0.00000000
urban100,img_003.png,576,0,96,0.41711830,LIIF,4,0.02949077,0.08377716,0.05991092,0.10340765,0.58657682,0,0,0.58657682,0.12701726
urban100,img_003.png,576,0,96,0.41711830,LTE,4,0.03734948,0.08760355,0.06928041,0.10340765,0.54567478,0,0,0.54567478,0.15017013
urban100,img_003.png,576,0,96,0.41711830,LTE-PhaseZ,4,0.05284345,0.10340765,0.00000000,0.10340765,nan,0,0,-inf,0.00000000
urban100,img_003.png,576,0,96,0.41711830,SC-INR,4,0.03361255,0.08605200,0.06091968,0.10340765,0.55572499,0,0,0.55572499,0.13750672
urban100,img_003.png,576,0,96,0.41711830,SC-INR-NoSinc,4,0.05352744,0.10340765,0.00000000,0.10340765,nan,0,0,-inf,0.00000000
bsd100,102061.png,96,96,96,0.41709692,LIIF,4,0.03596189,0.10420579,0.03777084,0.10844652,0.28437383,0,0,0.28437383,0.08050214
bsd100,102061.png,96,96,96,0.41709692,LTE,4,0.04257752,0.10618158,0.04787580,0.10844652,0.26758515,0,0,0.26758515,0.11518592
bsd100,102061.png,96,96,96,0.41709692,LTE-PhaseZ,4,0.04086633,0.10844652,0.00000000,0.10844652,nan,0,0,-inf,0.00000000
bsd100,102061.png,96,96,96,0.41709692,SC-INR,4,0.04037732,0.10471516,0.04378401,0.10844652,0.28590470,0,0,0.28590470,0.10679621
bsd100,102061.png,96,96,96,0.41709692,SC-INR-NoSinc,4,0.04307869,0.10844652,0.00000000,0.10844652,nan,0,0,-inf,0.00000000
urban100,img_003.png,768,288,96,0.39437206,LIIF,4,0.03463420,0.09812404,0.04874121,0.10571640,0.38110956,0,0,0.38110956,0.08434018
urban100,img_003.png,768,288,96,0.39437206,LTE,4,0.04381646,0.10064913,0.05546784,0.10571640,0.35151395,0,0,0.35151395,0.10517261
urban100,img_003.png,768,288,96,0.39437206,LTE-PhaseZ,4,0.04196276,0.10571640,0.00000000,0.10571640,nan,0,0,-inf,0.00000000
urban100,img_003.png,768,288,96,0.39437206,SC-INR,4,0.03916289,0.09882668,0.05963309,0.10571640,0.39381367,0,0,0.39381367,0.10774240
urban100,img_003.png,768,288,96,0.39437206,SC-INR-NoSinc,4,0.04789603,0.10571640,0.00000000,0.10571640,nan,0,0,-inf,0.00000000
bsd100,101085.png,96,384,96,0.38169503,LIIF,4,0.03090558,0.09368689,0.02287924,0.09395543,0.13385632,0,1,0.14281313,0.05621249
bsd100,101085.png,96,384,96,0.38169503,LTE,4,0.03630990,0.09540070,0.03188110,0.09395543,0.12405185,0,1,0.13315382,0.08541405
bsd100,101085.png,96,384,96,0.38169503,LTE-PhaseZ,4,0.02923928,0.09395543,0.00000000,0.09395543,nan,0,0,-inf,0.00000000
bsd100,101085.png,96,384,96,0.38169503,SC-INR,4,0.03500674,0.09452401,0.02935286,0.09395543,0.13680059,0,1,0.13915425,0.08016907
