dataset,image,x,y,crop_size,texture_score,oracle_change_rmse_y,sc_tracking_rmse_y,lte_tracking_rmse_y,nosinc_tracking_rmse_y,liif_tracking_rmse_y,phasez_tracking_rmse_y,sc_oracle_rmse_y,lte_oracle_rmse_y,nosinc_oracle_rmse_y,sc_delta_oracle_corr_y,lte_delta_oracle_corr_y,nosinc_delta_oracle_corr_y,adv_lte_tracking,adv_nosinc_tracking,adv_liif_tracking,adv_phasez_tracking,adv_lte_oracle,adv_nosinc_oracle,selection_score,passes_gate
urban100,img_002.png,192,192,96,0.32833076,0.07090569,0.04227822,0.04551088,0.07090569,0.04404940,0.07090569,0.01964803,0.01958037,0.04002754,0.80445686,0.77082623,nan,0.00323266,0.02862747,0.00177118,0.02862747,-0.00006766,0.02037951,0.04357426,1
urban100,img_001.png,576,96,96,0.30694246,0.07281223,0.05560974,0.05756694,0.07281223,0.05491008,0.07281223,0.02572719,0.02918346,0.04351578,0.64686848,0.62704481,nan,0.00195720,0.01720249,-0.00069966,0.01720249,0.00345627,0.01778859,0.02982876,1
urban100,img_003.png,576,0,96,0.41711830,0.10340765,0.08605200,0.08760355,0.10340765,0.08377716,0.10340765,0.03361255,0.03734948,0.05352744,0.55572499,0.54567478,nan,0.00155155,0.01735565,-0.00227484,0.01735565,0.00373693,0.01991489,0.02979669,1
urban100,img_001.png,0,0,96,0.32095950,0.07496043,0.05885936,0.05966797,0.07496043,0.05843300,0.07496043,0.02567751,0.02653372,0.04530578,0.61924679,0.60882518,nan,0.00080861,0.01610107,-0.00042636,0.01610107,0.00085621,0.01962827,0.02714717,1
bsd100,101087.png,225,0,96,0.26262190,0.03243975,0.01921729,0.02014802,0.03243975,0.01676606,0.03243975,0.01305045,0.01240612,0.02920145,0.80863405,0.80095675,nan,0.00093073,0.01322246,-0.00245123,0.01322246,-0.00064433,0.01615100,0.02083446,1
urban100,img_001.png,928,288,96,0.31846175,0.08080338,0.06926153,0.07028688,0.08080338,0.06698870,0.08080338,0.03252378,0.03666244,0.04678734,0.52807252,0.52574616,nan,0.00102535,0.01154185,-0.00227283,0.01154185,0.00413866,0.01426356,0.02067842,1
urban100,img_003.png,768,288,96,0.39437206,0.10571640,0.09882668,0.10064913,0.10571640,0.09812404,0.10571640,0.03916289,0.04381646,0.04789603,0.39381367,0.35151395,nan,0.00182245,0.00688972,-0.00070264,0.00688972,0.00465357,0.00873314,0.01590020,1
bsd100,102061.png,0,192,96,0.31244396,0.08005659,0.07024717,0.07043441,0.08005659,0.06936425,0.08005659,0.03083531,0.03235384,0.04165440,0.48928673,0.49477048,nan,0.00018724,0.00980942,-0.00088292,0.00980942,0.00151853,0.01081909,0.01572401,1
urban100,img_002.png,480,0,96,0.34724323,0.07934543,0.07363786,0.07429631,0.07934543,0.07545286,0.07934543,0.02127435,0.02323456,0.02638521,0.37311616,0.35435948,nan,0.00065845,0.00570757,0.00181500,0.00570757,0.00196021,0.00511086,0.01118419,1
bsd100,102061.png,0,96,96,0.33178623,0.07613146,0.07087497,0.07181905,0.07613146,0.07024384,0.07613146,0.02434669,0.02672929,0.03090472,0.37766066,0.36460874,nan,0.00094408,0.00525649,-0.00063113,0.00525649,0.00238260,0.00655803,0.01061636,1
bsd100,101087.png,96,96,96,0.25661644,0.04113400,0.03649610,0.03724709,0.04113400,0.03585689,0.04113400,0.01748200,0.01868877,0.02387416,0.47551128,0.46998825,nan,0.00075099,0.00463790,-0.00063921,0.00463790,0.00120677,0.00639216,0.00897921,1
urban100,img_002.png,672,0,96,0.36584140,0.07085896,0.06766644,0.06788842,0.07085896,0.06565639,0.07085896,0.02286637,0.02423466,0.03333493,0.34824637,0.35649084,nan,0.00022198,0.00319252,-0.00201005,0.00319252,0.00136829,0.01046856,0.00832790,1
bsd100,102061.png,96,96,96,0.41709692,0.10844652,0.10471516,0.10618158,0.10844652,0.10420579,0.10844652,0.04037732,0.04257752,0.04307869,0.28590470,0.26758515,nan,0.00146642,0.00373136,-0.00050937,0.00373136,0.00220020,0.00270137,0.00776027,1
urban100,img_003.png,768,96,96,0.43128610,0.10792022,0.10693262,0.10719088,0.10792022,0.10476471,0.10792022,0.03228809,0.03599336,0.04183018,0.23641240,0.25743029,nan,0.00025826,0.00098760,-0.00216791,0.00098760,0.00370527,0.00954209,0.00678558,1
bsd100,101087.png,192,96,96,0.28895465,0.05708076,0.05490549,0.05525186,0.05708076,0.05358761,0.05708076,0.02503907,0.02660368,0.02683888,0.31768958,0.31833319,nan,0.00034637,0.00217527,-0.00131788,0.00217527,0.00156461,0.00179981,0.00354491,1
bsd100,101085.png,96,385,96,0.38096311,0.09450817,0.09467094,0.09549610,0.09450817,0.09364056,0.09450817,0.03459059,0.03605321,0.03081795,0.15429514,0.14324783,nan,0.00082516,-0.00016277,-0.00103038,-0.00016277,0.00146262,-0.00377264,-0.00078686,0
bsd100,101085.png,192,385,96,0.33585436,0.07734989,0.07819304,0.07851008,0.07734989,0.07615999,0.07734989,0.02878027,0.02948690,0.02814225,0.15636308,0.15016630,nan,0.00031704,-0.00084315,-0.00203305,-0.00084315,0.00070663,-0.00063802,-0.00138439,0
bsd100,101085.png,96,384,96,0.38169503,0.09395543,0.09452401,0.09540070,0.09395543,0.09368689,0.09395543,0.03500674,0.03630990,0.02989092,0.13680059,0.12405185,nan,0.00087669,-0.00056858,-0.00083712,-0.00056858,0.00130316,-0.00511582,-0.00176181,0
