model,mode,scale_or_multiplier,ref,rel_cell_x,rel_cell_y,has_cell_phase,phase_l2,phase_abs_mean,phase_abs_max,delta_l2_vs_ref,delta_abs_mean_vs_ref,delta_abs_max_vs_ref
LTE,observation_scale,x2,x4,1.0,1.0,1,5.829723834991455,0.40324684977531433,1.3366552591323853,2.9148619174957275,0.20162342488765717,0.6683276295661926
LTE,observation_scale,x3,x4,0.6666666865348816,0.6666666865348816,1,3.8864824771881104,0.2688312530517578,0.8911035060882568,0.9716207385063171,0.06720782071352005,0.2227758765220642
LTE,observation_scale,x4,x4,0.5,0.5,1,2.9148619174957275,0.20162342488765717,0.6683276295661926,0.0,0.0,0.0
LTE,observation_scale,x6,x4,0.3333333432674408,0.3333333432674408,1,1.9432412385940552,0.1344156265258789,0.4455517530441284,0.9716205596923828,0.06720779836177826,0.2227758765220642
LTE,observation_scale,x8,x4,0.25,0.25,1,1.4574309587478638,0.10081171244382858,0.3341638147830963,1.4574309587478638,0.10081171244382858,0.3341638147830963
LTE,observation_scale,x12,x4,0.1666666716337204,0.1666666716337204,1,0.9716206192970276,0.06720781326293945,0.2227758765220642,1.9432411193847656,0.1344156116247177,0.4455517530441284
LTE,observation_scale,x16,x4,0.125,0.125,1,0.7287154793739319,0.05040585622191429,0.16708190739154816,2.1861462593078613,0.15121756494045258,0.5012457370758057
LTE,observation_scale,x24,x4,0.0833333358168602,0.0833333358168602,1,0.4858103096485138,0.03360390663146973,0.1113879382610321,2.429051399230957,0.16801953315734863,0.5569397211074829
LTE,observation_scale,x30,x4,0.06666667014360428,0.06666667014360428,1,0.38864827156066895,0.02688312530517578,0.0891103595495224,2.5262136459350586,0.17474029958248138,0.579217255115509
LTE,cell_multiplier,0.5,1,0.25,0.25,1,1.4574309587478638,0.10081171244382858,0.3341638147830963,1.4574309587478638,0.10081171244382858,0.3341638147830963
LTE,cell_multiplier,1,1,0.5,0.5,1,2.9148619174957275,0.20162342488765717,0.6683276295661926,0.0,0.0,0.0
LTE,cell_multiplier,2,1,1.0,1.0,1,5.829723834991455,0.40324684977531433,1.3366552591323853,2.9148619174957275,0.20162342488765717,0.6683276295661926
LTE,cell_multiplier,4,1,2.0,2.0,1,11.65944766998291,0.8064936995506287,2.6733105182647705,8.744585037231445,0.6048702597618103,2.0049829483032227
LTE-PhaseZ,observation_scale,x2,x4,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,observation_scale,x3,x4,0.6666666865348816,0.6666666865348816,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,observation_scale,x4,x4,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,observation_scale,x6,x4,0.3333333432674408,0.3333333432674408,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,observation_scale,x8,x4,0.25,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,observation_scale,x12,x4,0.1666666716337204,0.1666666716337204,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,observation_scale,x16,x4,0.125,0.125,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,observation_scale,x24,x4,0.0833333358168602,0.0833333358168602,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,observation_scale,x30,x4,0.06666667014360428,0.06666667014360428,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,cell_multiplier,0.5,1,0.25,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,cell_multiplier,1,1,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,cell_multiplier,2,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-PhaseZ,cell_multiplier,4,1,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,observation_scale,x2,x4,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,observation_scale,x3,x4,0.6666666865348816,0.6666666865348816,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,observation_scale,x4,x4,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,observation_scale,x6,x4,0.3333333432674408,0.3333333432674408,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,observation_scale,x8,x4,0.25,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,observation_scale,x12,x4,0.1666666716337204,0.1666666716337204,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,observation_scale,x16,x4,0.125,0.125,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,observation_scale,x24,x4,0.0833333358168602,0.0833333358168602,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,observation_scale,x30,x4,0.06666667014360428,0.06666667014360428,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,cell_multiplier,0.5,1,0.25,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,cell_multiplier,1,1,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,cell_multiplier,2,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR,cell_multiplier,4,1,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,observation_scale,x2,x4,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,observation_scale,x3,x4,0.6666666865348816,0.6666666865348816,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,observation_scale,x4,x4,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,observation_scale,x6,x4,0.3333333432674408,0.3333333432674408,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,observation_scale,x8,x4,0.25,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,observation_scale,x12,x4,0.1666666716337204,0.1666666716337204,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,observation_scale,x16,x4,0.125,0.125,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,observation_scale,x24,x4,0.0833333358168602,0.0833333358168602,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,observation_scale,x30,x4,0.06666667014360428,0.06666667014360428,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,cell_multiplier,0.5,1,0.25,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,cell_multiplier,1,1,0.5,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,cell_multiplier,2,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
SC-INR-NoSinc,cell_multiplier,4,1,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0
