model,dataset,image,lr_scale,observation_scale,frequency_bin,n_values,use_sinc_response,omega_mag_mean,omega_mag_std,omega_mag_min,omega_mag_q05,omega_mag_q50,omega_mag_q95,omega_mag_max,coef_pair_mag_mean,coef_pair_mag_std,coef_pair_mag_min,coef_pair_mag_q05,coef_pair_mag_q50,coef_pair_mag_q95,coef_pair_mag_max,response_mean,response_std,response_min,response_q05,response_q50,response_q95,response_max,response_abs_mean,response_abs_std,response_abs_min,response_abs_q05,response_abs_q50,response_abs_q95,response_abs_max,active_response_mean,active_response_std,active_response_min,active_response_q05,active_response_q50,active_response_q95,active_response_max,active_response_abs_mean,active_response_abs_std,active_response_abs_min,active_response_abs_q05,active_response_abs_q50,active_response_abs_q95,active_response_abs_max,effective_pair_mag_mean,effective_pair_mag_std,effective_pair_mag_min,effective_pair_mag_q05,effective_pair_mag_q50,effective_pair_mag_q95,effective_pair_mag_max,response_neg_frac,active_response_neg_frac,effective_over_coef_mag_mean,effective_energy_ratio
SC-INR,bsd100,101085.png,x4,x2,all,131072,True,0.4570898711681366,0.45156851410865784,0.00016854595742188394,0.024987269192934036,0.31885671615600586,1.4196460247039795,2.031771659851074,0.3254907727241516,0.29729554057121277,0.00036504026502370834,0.054289039224386215,0.24618518352508545,0.8331093788146973,4.214678764343262,0.8635185956954956,0.21451130509376526,-0.013045606203377247,0.3555215001106262,0.958802342414856,0.9997432231903076,1.0,0.8635189533233643,0.2145097702741623,9.356137525173835e-06,0.3555215001106262,0.958802342414856,0.9997432231903076,1.0,0.8635185956954956,0.21451130509376526,-0.013045606203377247,0.3555215001106262,0.958802342414856,0.9997432231903076,1.0,0.8635189533233643,0.2145097702741623,9.356137525173835e-06,0.3555215001106262,0.958802342414856,0.9997432231903076,1.0,0.27200186252593994,0.23348428308963776,2.002431938308291e-05,0.03580395504832268,0.20886532962322235,0.7255902886390686,2.483344793319702,4.57763671875e-05,4.57763671875e-05,0.863519012928009,0.6612497568130493
SC-INR,bsd100,101085.png,x4,x2,low,43691,True,0.07363737374544144,0.04535890743136406,0.00016854595742188394,0.012910249643027782,0.06593398004770279,0.15933209657669067,0.17575296759605408,0.3324528932571411,0.24785833060741425,0.00036504026502370834,0.058193717151880264,0.2617226839065552,0.8513187766075134,2.1120786666870117,0.9969309568405151,0.0032554748468101025,0.9873460531234741,0.9895991086959839,0.9982134103775024,0.9999314546585083,1.0,0.9969309568405151,0.0032554748468101025,0.9873460531234741,0.9895991086959839,0.9982134103775024,0.9999314546585083,1.0,0.9969309568405151,0.0032554748468101025,0.9873460531234741,0.9895991086959839,0.9982134103775024,0.9999314546585083,1.0,0.9969309568405151,0.0032554748468101025,0.9873460531234741,0.9895991086959839,0.9982134103775024,0.9999314546585083,1.0,0.33160126209259033,0.2475435882806778,0.0003648967540357262,0.058032289147377014,0.2604494094848633,0.8506454229354858,2.108816623687744,0.0,0.0,0.9969309568405151,0.9958045482635498
SC-INR,bsd100,101085.png,x4,x2,mid,43690,True,0.32472747564315796,0.08719979971647263,0.175770565867424,0.19418025016784668,0.31885671615600586,0.47941523790359497,0.5001002550125122,0.26853451132774353,0.20013149082660675,0.0012636862229555845,0.05074349418282509,0.21867042779922485,0.6540522575378418,2.336364507675171,0.9544366002082825,0.02348484843969345,0.9002776145935059,0.9084120988845825,0.958802342414856,0.9845735430717468,0.9873526692390442,0.9544366002082825,0.02348484843969345,0.9002776145935059,0.9084120988845825,0.958802342414856,0.9845735430717468,0.9873526692390442,0.9544366002082825,0.02348484843969345,0.9002776145935059,0.9084120988845825,0.958802342414856,0.9845735430717468,0.9873526692390442,0.9544366002082825,0.02348484843969345,0.9002776145935059,0.9084120988845825,0.958802342414856,0.9845735430717468,0.9873526692390442,0.2558756172657013,0.18957288563251495,0.0011702865594998002,0.048674777150154114,0.2088230848312378,0.6189166903495789,2.217122793197632,0.0,0.0,0.9544366002082825,0.9041292667388916
SC-INR,bsd100,101085.png,x4,x2,high,43691,True,0.9729016423225403,0.4140768051147461,0.5001099109649658,0.5205516815185547,0.864192545413971,1.7915985584259033,2.031771659851074,0.37548354268074036,0.39733457565307617,0.0014528241008520126,0.05484635382890701,0.26606640219688416,1.014758825302124,4.214678764343262,0.6391903162002563,0.24717243015766144,-0.013045606203377247,0.16060519218444824,0.7243722677230835,0.8926295638084412,0.9012346863746643,0.6391915082931519,0.24716946482658386,9.356137525173835e-06,0.16060519218444824,0.7243722677230835,0.8926295638084412,0.9012346863746643,0.6391903162002563,0.24717243015766144,-0.013045606203377247,0.16060519218444824,0.7243722677230835,0.8926295638084412,0.9012346863746643,0.6391915082931519,0.24716946482658386,9.356137525173835e-06,0.16060519218444824,0.7243722677230835,0.8926295638084412,0.9012346863746643,0.22852832078933716,0.24622449278831482,2.002431938308291e-05,0.02240901254117489,0.16257111728191376,0.6068087220191956,2.483344793319702,0.00013732805382460356,0.00013732805382460356,0.6391915082931519,0.3776038587093353
SC-INR,bsd100,101085.png,x4,x4,all,131072,True,0.4570898711681366,0.45156851410865784,0.00016854595742188394,0.024987269192934036,0.31885671615600586,1.4196460247039795,2.031771659851074,0.3254907727241516,0.29729554057121277,0.00036504026502370834,0.054289039224386215,0.24618518352508545,0.8331093788146973,4.214678764343262,0.9599102735519409,0.06925342231988907,0.6267679929733276,0.8054123520851135,0.9895864725112915,0.9999358057975769,1.0,0.9599102735519409,0.06925342231988907,0.6267679929733276,0.8054123520851135,0.9895864725112915,0.9999358057975769,1.0,0.9599102735519409,0.06925342231988907,0.6267679929733276,0.8054123520851135,0.9895864725112915,0.9999358057975769,1.0,0.9599102735519409,0.06925342231988907,0.6267679929733276,0.8054123520851135,0.9895864725112915,0.9999358057975769,1.0,0.30982235074043274,0.27352651953697205,0.0003650043800007552,0.051661163568496704,0.236880823969841,0.793939471244812,3.7329416275024414,0.0,0.0,0.9599102735519409,0.8789566159248352
SC-INR,bsd100,101085.png,x4,x4,low,43691,True,0.07363737374544144,0.04535890743136406,0.00016854595742188394,0.012910249643027782,0.06593398004770279,0.15933209657669067,0.17575296759605408,0.3324528932571411,0.24785833060741425,0.00036504026502370834,0.058193717151880264,0.2617226839065552,0.8513187766075134,2.1120786666870117,0.9992314577102661,0.0008160145371221006,0.9968273639678955,0.997392475605011,0.9995530843734741,0.9999828338623047,1.0,0.9992314577102661,0.0008160145371221006,0.9968273639678955,0.997392475605011,0.9995530843734741,0.9999828338623047,1.0,0.9992314577102661,0.0008160145371221006,0.9968273639678955,0.997392475605011,0.9995530843734741,0.9999828338623047,1.0,0.9992314577102661,0.0008160145371221006,0.9968273639678955,0.997392475605011,0.9995530843734741,0.9999828338623047,1.0,0.33223962783813477,0.24777910113334656,0.0003650043800007552,0.058152809739112854,0.26138928532600403,0.8509234189987183,2.111262798309326,0.0,0.0,0.9992314577102661,0.9989475011825562
SC-INR,bsd100,101085.png,x4,x4,mid,43690,True,0.32472747564315796,0.08719979971647263,0.175770565867424,0.19418025016784668,0.31885671615600586,0.47941523790359497,0.5001002550125122,0.26853451132774353,0.20013149082660675,0.0012636862229555845,0.05074349418282509,0.21867042779922485,0.6540522575378418,2.336364507675171,0.9884358644485474,0.006035323720425367,0.9744851589202881,0.9765539169311523,0.9895864725112915,0.9961283206939697,0.9968271851539612,0.9884358644485474,0.006035323720425367,0.9744851589202881,0.9765539169311523,0.9895864725112915,0.9961283206939697,0.9968271851539612,0.9884358644485474,0.006035323720425367,0.9744851589202881,0.9765539169311523,0.9895864725112915,0.9961283206939697,0.9968271851539612,0.9884358644485474,0.006035323720425367,0.9744851589202881,0.9765539169311523,0.9895864725112915,0.9961283206939697,0.9968271851539612,0.2653220295906067,0.19742320477962494,0.0012398003600537777,0.0502026192843914,0.21602240204811096,0.6451144218444824,2.3061981201171875,0.0,0.0,0.9884358644485474,0.9751105308532715
SC-INR,bsd100,101085.png,x4,x4,high,43691,True,0.9729016423225403,0.4140768051147461,0.5001099109649658,0.5205516815185547,0.864192545413971,1.7915985584259033,2.031771659851074,0.37548354268074036,0.39733457565307617,0.0014528241008520126,0.05484635382890701,0.26606640219688416,1.014758825302124,4.214678764343262,0.8920644521713257,0.0859534814953804,0.6267679929733276,0.7057007551193237,0.9252609610557556,0.9723973870277405,0.9745428562164307,0.8920644521713257,0.0859534814953804,0.6267679929733276,0.7057007551193237,0.9252609610557556,0.9723973870277405,0.9745428562164307,0.8920644521713257,0.0859534814953804,0.6267679929733276,0.7057007551193237,0.9252609610557556,0.9723973870277405,0.9745428562164307,0.8920644521713257,0.0859534814953804,0.6267679929733276,0.7057007551193237,0.9252609610557556,0.9723973870277405,0.9745428562164307,0.3319043517112732,0.3480066955089569,0.0014052422484382987,0.047991007566452026,0.2383081614971161,0.8685935735702515,3.7329416275024414,0.0,0.0,0.8920644521713257,0.7738308906555176
SC-INR,bsd100,101085.png,x4,x8,all,131072,True,0.4570898711681366,0.45156851410865784,0.00016854595742188394,0.024987269192934036,0.31885671615600586,1.4196460247039795,2.031771659851074,0.3254907727241516,0.29729554057121277,0.00036504026502370834,0.054289039224386215,0.24618518352508545,0.8331093788146973,4.214678764343262,0.9895409941673279,0.01852389983832836,0.8972471952438354,0.9490066170692444,0.9973891973495483,0.9999839663505554,1.0,0.9895409941673279,0.01852389983832836,0.8972471952438354,0.9490066170692444,0.9973891973495483,0.9999839663505554,1.0,0.9895409941673279,0.01852389983832836,0.8972471952438354,0.9490066170692444,0.9973891973495483,0.9999839663505554,1.0,0.9895409941673279,0.01852389983832836,0.8972471952438354,0.9490066170692444,0.9973891973495483,0.9999839663505554,1.0,0.32140854001045227,0.29071831703186035,0.0003650312719400972,0.05374785140156746,0.2438233494758606,0.8215211033821106,4.090987682342529,0.0,0.0,0.9895409941673279,0.9665088653564453
SC-INR,bsd100,101085.png,x4,x8,low,43691,True,0.07363737374544144,0.04535890743136406,0.00016854595742188394,0.012910249643027782,0.06593398004770279,0.15933209657669067,0.17575296759605408,0.3324528932571411,0.24785833060741425,0.00036504026502370834,0.058193717151880264,0.2617226839065552,0.8513187766075134,2.1120786666870117,0.9998077750205994,0.00020414016034919769,0.9992062449455261,0.9993476867675781,0.9998882412910461,0.9999957084655762,1.0,0.9998077750205994,0.00020414016034919769,0.9992062449455261,0.9993476867675781,0.9998882412910461,0.9999957084655762,1.0,0.9998077750205994,0.00020414016034919769,0.9992062449455261,0.9993476867675781,0.9998882412910461,0.9999957084655762,1.0,0.9998077750205994,0.00020414016034919769,0.9992062449455261,0.9993476867675781,0.9998882412910461,0.9999957084655762,1.0,0.33239954710006714,0.24783849716186523,0.0003650312719400972,0.05817655473947525,0.2616227865219116,0.8511995077133179,2.111874580383301,0.0,0.0,0.9998077750205994,0.9997366666793823
