model,observation_scale,frequency_bin,n_rows,omega_mag_mean,coef_pair_mag_mean,response_mean,response_abs_mean,active_response_mean,active_response_abs_mean,effective_pair_mag_mean,response_neg_frac,active_response_neg_frac,effective_over_coef_mag_mean,effective_energy_ratio
SC-INR,x16,all,6,0.4591682056585948,0.3144357105096181,0.9973391691843668,0.9973391691843668,0.9973391691843668,0.9973391691843668,0.3134887019793193,0.0,0.0,0.9973391691843668,0.9917995631694794
SC-INR,x16,high,6,0.9799102147420248,0.34111471474170685,0.9927917917569479,0.9927917917569479,0.9927917917569479,0.9927917917569479,0.33848563333352405,0.0,0.0,0.9927918116251627,0.9834514856338501
SC-INR,x16,low,6,0.07323367396990459,0.3374200016260147,0.9999502996603647,0.9999502996603647,0.9999502996603647,0.9999502996603647,0.33740565677483875,0.0,0.0,0.9999502996603647,0.9999285538991293
SC-INR,x16,mid,6,0.32435766359170276,0.2647712801893552,0.999275396267573,0.999275396267573,0.999275396267573,0.999275396267573,0.26457368582487106,0.0,0.0,0.999275396267573,0.9984679122765859
SC-INR,x2,all,6,0.4591682056585948,0.3144357105096181,0.8623199760913849,0.8623208006223043,0.8623199760913849,0.8623208006223043,0.2654287616411845,6.4849853515625e-05,6.4849853515625e-05,0.8623208105564117,0.6820372045040131
SC-INR,x2,high,6,0.9799102147420248,0.34111471474170685,0.6355968018372854,0.6355992952982584,0.6355968018372854,0.6355992952982584,0.20740755399068198,0.0001945480762515217,0.0001945480762515217,0.6355992952982584,0.3738948454459508
SC-INR,x2,low,6,0.07323367396990459,0.3374200016260147,0.9968269964059194,0.9968269964059194,0.9968269964059194,0.9968269964059194,0.3365054577589035,0.0,0.0,0.9968269864718119,0.9954519867897034
SC-INR,x2,mid,6,0.32435766359170276,0.2647712801893552,0.9545382161935171,0.9545382161935171,0.9545382161935171,0.9545382161935171,0.25237296521663666,0.0,0.0,0.9545382161935171,0.9066413839658102
SC-INR,x30,all,6,0.4591682056585948,0.3144357105096181,0.9992412130037943,0.9992412130037943,0.9992412130037943,0.9992412130037943,0.31416566173235577,0.0,0.0,0.9992412130037943,0.9976520240306854
SC-INR,x30,high,6,0.9799102147420248,0.34111471474170685,0.9979439576466879,0.9979439576466879,0.9979439576466879,0.9979439576466879,0.34036486347516376,0.0,0.0,0.9979439477125803,0.9952605764071146
SC-INR,x30,low,6,0.07323367396990459,0.3374200016260147,0.999985913435618,0.999985913435618,0.999985913435618,0.999985913435618,0.3374159137407939,0.0,0.0,0.999985913435618,0.999979704618454
SC-INR,x30,mid,6,0.32435766359170276,0.2647712801893552,0.9997938573360443,0.9997938573360443,0.9997938573360443,0.9997938573360443,0.2647150630752246,0.0,0.0,0.9997938374678293,0.999563992023468
SC-INR,x4,all,6,0.4591682056585948,0.3144357105096181,0.9596175253391266,0.9596175253391266,0.9596175253391266,0.9596175253391266,0.30005694429079693,0.0,0.0,0.9596175253391266,0.8851479887962341
SC-INR,x4,high,6,0.9799102147420248,0.34111471474170685,0.8911866645018259,0.8911866645018259,0.8911866645018259,0.8911866645018259,0.30135446041822433,0.0,0.0,0.8911866545677185,0.7694895466168722
SC-INR,x4,low,6,0.07323367396990459,0.3374200016260147,0.9992052813371023,0.9992052813371023,0.9992052813371023,0.9992052813371023,0.3371909409761429,0.0,0.0,0.9992052515347799,0.998858243227005
SC-INR,x4,mid,6,0.32435766359170276,0.2647712801893552,0.9884613653024038,0.9884613653024038,0.9884613653024038,0.9884613653024038,0.261624572177728,0.0,0.0,0.9884613653024038,0.9757727682590485
