model,path_type,dataset,image,base_scale,cell_multiplier,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,weak_oracle,valid_shave,cell_phase_rms,cell_phase_delta_rms_vs_native,feature_phase_rms,feature_phase_delta_rms_vs_native,analytic_response_mean,analytic_response_abs_mean,analytic_response_neg_frac,active_response_mean,active_response_abs_mean,active_response_neg_frac,active_response_delta_rms_vs_native,effective_pair_mag_mean,effective_pair_delta_rms_vs_native,effective_energy_ratio_mean,imnet_input_pair_mag_mean,imnet_input_pair_delta_rms_vs_native
LTE,cell_conditioned_phase,bsd100,101085.png,x4,1,27.772061166723336,0.040869275757122986,0.0,0.0,0.0,False,0,0.2576398253440857,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21786196529865265,0.0
LTE,cell_conditioned_phase,bsd100,101085.png,x4,2,33.15177760362118,0.02199941436353179,0.024896182119846344,0.003714060178026557,0.025407709181308746,False,0,0.5152796506881714,0.2576398253440857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22017116844654083,0.07530827820301056
LTE,cell_conditioned_phase,bsd100,101085.png,x4,4,34.20150701548568,0.01949506328005676,0.03968837857246399,0.018188685178756714,0.03881296515464783,False,0,1.0305593013763428,0.7729194760322571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21005038917064667,0.08725949376821518
LTE-NoCellPhase,no_phase,bsd100,101085.png,x4,1,27.570438504518883,0.0418290570845116,0.0,0.0,0.0,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19157715141773224,0.0
LTE-NoCellPhase,no_phase,bsd100,101085.png,x4,2,33.097004885092936,0.022138579723450742,0.025407709181308746,0.0,0.025407709181308746,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19157715141773224,0.0
LTE-NoCellPhase,no_phase,bsd100,101085.png,x4,4,37.038094827878176,0.014063559618903897,0.03881296515464783,0.0,0.03881296515464783,False,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.19157715141773224,0.0
LTE-PhaseZ,feature_conditioned_phase,bsd100,101085.png,x4,1,27.606699104981843,0.04165479915090876,0.0,0.0,0.0,False,0,nan,nan,0.10226523131132126,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20607373118400574,0.0
LTE-PhaseZ,feature_conditioned_phase,bsd100,101085.png,x4,2,32.950681182895366,0.022514688404505278,0.025407709181308746,0.0,0.025407709181308746,False,0,nan,nan,0.10226523131132126,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20607373118400574,0.0
LTE-PhaseZ,feature_conditioned_phase,bsd100,101085.png,x4,4,36.36387120725471,0.015198699891090304,0.03881296515464783,0.0,0.03881296515464783,False,0,nan,nan,0.10226523131132126,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.20607373118400574,0.0
SC-INR-NoPhi,analytic_sinc_response,bsd100,101085.png,x4,1,27.87479190274546,0.040388749307801446,0.0,0.0,0.0,False,0,nan,nan,nan,nan,0.9650818109512329,0.9650818109512329,0.0,0.9650818109512329,0.9650818109512329,0.0,0.0,0.5412994623184204,0.0,0.9346253275871277,0.3480052053928375,0.0
