model,path_type,cell_multiplier,n,weak_oracle_frac,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,cell_phase_rms,cell_phase_delta_rms_vs_native,feature_phase_rms,feature_phase_delta_rms_vs_native,analytic_response_mean,analytic_response_abs_mean,analytic_response_neg_frac,active_response_mean,active_response_abs_mean,active_response_neg_frac,active_response_delta_rms_vs_native,effective_pair_mag_mean,effective_pair_delta_rms_vs_native,effective_energy_ratio_mean,imnet_input_pair_mag_mean,imnet_input_pair_delta_rms_vs_native
LTE,cell_conditioned_phase,1,10,0.0,26.1719448114945,0.05240390637340921,0.0,0.0,0.0,0.2576398253440857,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26974671334028244,0.0
LTE,cell_conditioned_phase,2,10,0.0,32.032849190600125,0.027850262719026304,0.032808297872543336,0.010542258713394403,0.033931886032223704,0.5152796506881714,0.2576398253440857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27119200080633166,0.09567869827151299
LTE,cell_conditioned_phase,4,10,0.0,32.77436883095423,0.02461294530969354,0.05115300975739956,0.03217810383066535,0.05313195642083883,1.0305593013763428,0.7729194760322571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26302734613418577,0.11220314279198647
LTE-NoCellPhase,no_phase,1,10,0.0,26.044878722126395,0.053362045731707754,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24703638404607772,0.0
LTE-NoCellPhase,no_phase,2,10,0.0,31.849843359878275,0.028398175211658848,0.033931886032223704,0.0,0.033931886032223704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24703638404607772,0.0
LTE-NoCellPhase,no_phase,4,10,0.0,32.90662756109162,0.025880292461624155,0.05313195642083883,0.0,0.05313195642083883,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24703638404607772,0.0
LTE-PhaseZ,feature_conditioned_phase,1,10,0.0,26.135689214517363,0.052766553344652745,0.0,0.0,0.0,nan,nan,0.11920422315597534,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26266787499189376,0.0
LTE-PhaseZ,feature_conditioned_phase,2,10,0.0,31.836845373284394,0.028235243030497837,0.033931886032223704,0.0,0.033931886032223704,nan,nan,0.11920422315597534,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26266787499189376,0.0
LTE-PhaseZ,feature_conditioned_phase,4,10,0.0,32.90026682654261,0.025674162910006265,0.05313195642083883,0.0,0.05313195642083883,nan,nan,0.11920422315597534,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.26266787499189376,0.0
SC-INR,analytic_sinc_response,1,10,0.0,26.302589491661355,0.051480351755950525,0.0,0.0,0.0,nan,nan,0.06691568829119206,0.0,0.9593567192554474,0.9593567192554474,0.0,0.9593567192554474,0.9593567192554474,0.0,0.0,0.32361800968647003,0.0,0.9252321720123291,0.20598105043172837,0.0
SC-INR,analytic_sinc_response,2,10,0.0,32.348624754210846,0.02671525727358099,0.03248042482882738,0.009216166252736002,0.033931886032223704,nan,nan,0.06691568829119206,0.0,0.861806720495224,0.8618075489997864,9.1552734375e-05,0.861806720495224,0.8618075489997864,9.1552734375e-05,0.17605887800455094,0.2844379901885986,0.10487527400255203,0.7892173647880554,0.1794205293059349,0.07331807836890221
SC-INR,analytic_sinc_response,4,10,0.0,33.11061110428155,0.023527427126371778,0.04978231657296419,0.027808963693678378,0.05313195642083883,nan,nan,0.06691568829119206,0.0,0.6682526111602783,0.7036419749259949,0.1229705810546875,0.6682526111602783,0.7036419749259949,0.1229705810546875,0.44018364548683164,0.22550080418586732,0.23175608962774277,0.5983416140079498,0.13903796896338463,0.1638653390109539
SC-INR-NoPhi,analytic_sinc_response,1,10,0.0,26.299100139875854,0.05164692875848838,0.0,0.0,0.0,nan,nan,nan,nan,0.9645873725414276,0.9645873725414276,0.0,0.9645873725414276,0.9645873725414276,0.0,0.0,0.7118792206048965,0.0,0.9338108420372009,0.45030922889709474,0.0
SC-INR-NoPhi,analytic_sinc_response,2,10,0.0,32.259443811198494,0.02711243770109365,0.03239744286984205,0.009155203762929887,0.033931886032223704,nan,nan,nan,nan,0.8749476909637451,0.8750028669834137,0.0009307861328125,0.8749476909637451,0.8750028669834137,0.0009307861328125,0.15841267704963685,0.6444070369005204,0.16625660806894302,0.8009950697422028,0.4045299649238586,0.11472444385290145
SC-INR-NoPhi,analytic_sinc_response,4,10,0.0,33.6265669306173,0.02241606489307983,0.04962066523730755,0.026649624481797217,0.05313195642083883,nan,nan,nan,nan,0.6710683226585388,0.7060999512672425,0.1366546630859375,0.6710683226585388,0.7060999512672425,0.1366546630859375,0.44035083055496216,0.5177099764347076,0.41423514783382415,0.5945104837417603,0.31795219928026197,0.2911567404866219
SC-INR-NoSinc,no_sinc_response,1,10,0.0,26.176122665110057,0.0525305076759226,0.0,0.0,0.0,nan,nan,0.060117640718817714,0.0,0.9662916243076325,0.9662916243076325,0.0,1.0,1.0,0.0,0.0,0.35222368240356444,0.0,1.0,0.22473775148391723,0.0
SC-INR-NoSinc,no_sinc_response,2,10,0.0,31.996694963956475,0.027991433691407913,0.033931886032223704,0.0,0.033931886032223704,nan,nan,0.060117640718817714,0.0,0.8922604560852051,0.8940112709999084,0.029931640625,1.0,1.0,0.0,0.0,0.35222368240356444,0.0,1.0,0.22473775148391723,0.0
SC-INR-NoSinc,no_sinc_response,4,10,0.0,32.618519542223765,0.026594039643979266,0.05313195642083883,0.0,0.05313195642083883,nan,nan,0.060117640718817714,0.0,0.7476009786128998,0.761043643951416,0.0600006103515625,1.0,1.0,0.0,0.0,0.35222368240356444,0.0,1.0,0.22473775148391723,0.0
