dataset,model,path_type,cell_multiplier,n,weak_oracle_frac,oracle_psnr_y,oracle_rmse_y,delta_tracking_rmse_y,cell_sensitivity_rmse_y,oracle_change_rmse_y,cell_phase_rms,cell_phase_delta_rms_vs_native,feature_phase_rms,feature_phase_delta_rms_vs_native,analytic_response_mean,analytic_response_abs_mean,analytic_response_neg_frac,active_response_mean,active_response_abs_mean,active_response_neg_frac,active_response_delta_rms_vs_native,effective_pair_mag_mean,effective_pair_delta_rms_vs_native,effective_energy_ratio_mean,imnet_input_pair_mag_mean,imnet_input_pair_delta_rms_vs_native
bsd100,LTE,cell_conditioned_phase,1,5,0.0,27.279923701906455,0.04562601895582864,0.0,0.0,0.0,0.2576398253440857,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2570409893989563,0.0
bsd100,LTE,cell_conditioned_phase,2,5,0.0,32.689011372675886,0.024318079988841754,0.02835792303085327,0.008265237510204314,0.029596125707030296,0.5152796506881714,0.2576398253440857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2583586126565933,0.08981161713600158
bsd100,LTE,cell_conditioned_phase,4,5,0.0,33.50698143338154,0.022511279217203556,0.04502744674682617,0.0269188879057765,0.04621921963989735,1.0305593013763428,0.7729194760322571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24988737106323242,0.1065544456243515
bsd100,LTE-NoCellPhase,no_phase,1,5,0.0,27.108462019108345,0.046590797598311806,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23241521418094635,0.0
bsd100,LTE-NoCellPhase,no_phase,2,5,0.0,32.62120644479804,0.024534705724912353,0.029596125707030296,0.0,0.029596125707030296,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23241521418094635,0.0
bsd100,LTE-NoCellPhase,no_phase,4,5,0.0,34.58338306388103,0.021397247919026963,0.04621921963989735,0.0,0.04621921963989735,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.23241521418094635,0.0
bsd100,LTE-PhaseZ,feature_conditioned_phase,1,5,0.0,27.22940289461162,0.04580888970208528,0.0,0.0,0.0,nan,nan,0.11113533675670624,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24412364959716798,0.0
bsd100,LTE-PhaseZ,feature_conditioned_phase,2,5,0.0,32.87063978764163,0.023645667620315385,0.029596125707030296,0.0,0.029596125707030296,nan,nan,0.11113533675670624,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24412364959716798,0.0
bsd100,LTE-PhaseZ,feature_conditioned_phase,4,5,0.0,34.76477012772775,0.02057586656756532,0.04621921963989735,0.0,0.04621921963989735,nan,nan,0.11113533675670624,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.24412364959716798,0.0
bsd100,SC-INR,analytic_sinc_response,1,5,0.0,27.3145632777144,0.045315870012195704,0.0,0.0,0.0,nan,nan,0.056858374178409575,0.0,0.9596832871437073,0.9596832871437073,0.0,0.9596832871437073,0.9596832871437073,0.0,0.0,0.3017321705818176,0.0,0.9258121252059937,0.19112857580184936,0.0
bsd100,SC-INR,analytic_sinc_response,2,5,0.0,32.832973231537764,0.023751360024796157,0.028382951766252516,0.007169003249146044,0.029596125707030296,nan,nan,0.056858374178409575,0.0,0.8628282308578491,0.8628285765647888,2.44140625e-05,0.8628282308578491,0.8628285765647888,2.44140625e-05,0.17552325129508972,0.26571896076202395,0.09532863348722458,0.7907657265663147,0.16671815812587737,0.06653821468353271
bsd100,SC-INR,analytic_sinc_response,4,5,0.0,34.02462389874162,0.021033632845778128,0.04427514411509037,0.023398563638329505,0.04621921963989735,nan,nan,0.056858374178409575,0.0,0.6705429315567016,0.7064385890960694,0.12298583984375,0.6705429315567016,0.7064385890960694,0.12298583984375,0.43909394145011904,0.21122299432754515,0.2154318869113922,0.6016112565994263,0.1293008729815483,0.15232772529125213
bsd100,SC-INR-NoPhi,analytic_sinc_response,1,5,0.0,27.356948939474314,0.04510107513563528,0.0,0.0,0.0,nan,nan,nan,nan,0.9646243333816529,0.9646243333816529,0.0,0.9646243333816529,0.9646243333816529,0.0,0.0,0.6412645876407623,0.0,0.9338323473930359,0.41220793724060056,0.0
bsd100,SC-INR-NoPhi,analytic_sinc_response,2,5,0.0,32.84010671198438,0.02377424980606983,0.02812049612402916,0.007727524801157415,0.029596125707030296,nan,nan,nan,nan,0.8749294400215148,0.8749618530273438,0.000677490234375,0.8749294400215148,0.8749618530273438,0.000677490234375,0.15808931291103362,0.5798081696033478,0.1506660684943199,0.8006511569023133,0.37042253613471987,0.1043170616030693
bsd100,SC-INR-NoPhi,analytic_sinc_response,4,5,0.0,34.58529271195208,0.01981969316557567,0.04383206516504288,0.0226495498791337,0.04621921963989735,nan,nan,nan,nan,0.6702745795249939,0.7054192662239075,0.1356201171875,0.6702745795249939,0.7054192662239075,0.1356201171875,0.4403689205646515,0.46291000247001646,0.38332735896110537,0.592823040485382,0.29053041636943816,0.26939278542995454
bsd100,SC-INR-NoSinc,no_sinc_response,1,5,0.0,27.265276024508136,0.045527414999987956,0.0,0.0,0.0,nan,nan,0.052311002463102343,0.0,0.9663365006446838,0.9663365006446838,0.0,1.0,1.0,0.0,0.0,0.3345346987247467,0.0,1.0,0.2137967199087143,0.0
bsd100,SC-INR-NoSinc,no_sinc_response,2,5,0.0,32.76077001364688,0.02405411806631234,0.029596125707030296,0.0,0.029596125707030296,nan,nan,0.052311002463102343,0.0,0.8925887465476989,0.8944695234298706,0.030950927734375,1.0,1.0,0.0,0.0,0.3345346987247467,0.0,1.0,0.2137967199087143,0.0
bsd100,SC-INR-NoSinc,no_sinc_response,4,5,0.0,34.33077213835969,0.02203587939611451,0.04621921963989735,0.0,0.04621921963989735,nan,nan,0.052311002463102343,0.0,0.7489073038101196,0.7624611854553223,0.0603271484375,1.0,1.0,0.0,0.0,0.3345346987247467,0.0,1.0,0.2137967199087143,0.0
urban100,LTE,cell_conditioned_phase,1,5,0.0,25.06396592108255,0.05918179379098979,0.0,0.0,0.0,0.2576398253440857,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28245243728160857,0.0
urban100,LTE,cell_conditioned_phase,2,5,0.0,31.376687008524378,0.03138244544921086,0.0372586727142334,0.012819279916584492,0.038267646357417105,0.5152796506881714,0.2576398253440857,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.28402538895606994,0.10154577940702439
urban100,LTE,cell_conditioned_phase,4,5,0.0,32.04175622852692,0.026714611402183525,0.05727857276797295,0.0374373197555542,0.06004469320178032,1.0305593013763428,0.7729194760322571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.27616732120513915,0.11785183995962142
urban100,LTE-NoCellPhase,no_phase,1,5,0.0,24.98129542514444,0.0601332938651037,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2616575539112091,0.0
urban100,LTE-NoCellPhase,no_phase,2,5,0.0,31.07848027495852,0.03226164469840533,0.038267646357417105,0.0,0.038267646357417105,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2616575539112091,0.0
urban100,LTE-NoCellPhase,no_phase,4,5,0.0,31.229872058302202,0.030363337004221353,0.06004469320178032,0.0,0.06004469320178032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2616575539112091,0.0
urban100,LTE-PhaseZ,feature_conditioned_phase,1,5,0.0,25.04197553442311,0.059724216987220205,0.0,0.0,0.0,nan,nan,0.12727310955524446,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2812121003866196,0.0
urban100,LTE-PhaseZ,feature_conditioned_phase,2,5,0.0,30.803050958927155,0.03282481844068029,0.038267646357417105,0.0,0.038267646357417105,nan,nan,0.12727310955524446,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2812121003866196,0.0
