model,dataset,image,lr_scale,observation_scale,ref_scale,mean_y,std_y,rmse_y_vs_ref_cell,rmse_y_vs_previous_cell
LTE,bsd100,101085.png,x4,x4,x4,0.32012373208999634,0.20078745484352112,0.0,nan
LTE,bsd100,101085.png,x4,x6,x4,0.3195585608482361,0.20132866501808167,0.003167054383084178,0.003167054383084178
LTE,bsd100,101085.png,x4,x8,x4,0.31907808780670166,0.20150049030780792,0.004532352555543184,0.001744185690768063
LTE,bsd100,101085.png,x4,x12,x4,0.31842297315597534,0.20152708888053894,0.0060433391481637955,0.0021498133428394794
LTE,bsd100,101085.png,x4,x16,x4,0.3180272579193115,0.20146602392196655,0.006960147060453892,0.001309974817559123
LTE,bsd100,101085.png,x4,x24,x4,0.317582905292511,0.20136307179927826,0.00802612118422985,0.001451662159524858
LTE,bsd100,101085.png,x4,x30,x4,0.31739357113838196,0.20130914449691772,0.008492606692016125,0.0006217305781319737
SC-INR-NoPhi,bsd100,101085.png,x4,x4,x4,0.32141047716140747,0.20071080327033997,0.0,nan
SC-INR-NoPhi,bsd100,101085.png,x4,x6,x4,0.3214971423149109,0.20107391476631165,0.001773544237948954,0.001773544237948954
SC-INR-NoPhi,bsd100,101085.png,x4,x8,x4,0.3215208649635315,0.20119178295135498,0.0023175706155598164,0.0005873882910236716
SC-INR-NoPhi,bsd100,101085.png,x4,x12,x4,0.32153213024139404,0.20127180218696594,0.002670053858309984,0.0003948903176933527
SC-INR-NoPhi,bsd100,101085.png,x4,x16,x4,0.3215349018573761,0.20129859447479248,0.0027812293265014887,0.00013215120998211205
SC-INR-NoPhi,bsd100,101085.png,x4,x24,x4,0.3215368986129761,0.20131756365299225,0.0028601016383618116,9.418527042726055e-05
SC-INR-NoPhi,bsd100,101085.png,x4,x30,x4,0.32153743505477905,0.2013230174779892,0.0028827639762312174,2.7193076675757766e-05
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x4,x4,0.3208983242511749,0.20033982396125793,0.0,nan
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x6,x4,0.32078036665916443,0.2006058692932129,0.0015890494687482715,0.0015890494687482715
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x8,x4,0.3207321763038635,0.20069777965545654,0.002094925381243229,0.0005312567809596658
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x12,x4,0.3206942081451416,0.20075976848602295,0.0024309810250997543,0.00036350375739857554
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x16,x4,0.3206802010536194,0.20078109204769135,0.0025460058823227882,0.00012694424367509782
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x24,x4,0.32067006826400757,0.20079641044139862,0.0026277198921889067,9.036902338266373e-05
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,x30,x4,0.3206671178340912,0.2008008360862732,0.0026511347386986017,2.5948827897082083e-05
SC-INR,bsd100,101085.png,x4,x4,x4,0.32102930545806885,0.2008495330810547,0.0,nan
SC-INR,bsd100,101085.png,x4,x6,x4,0.32098954916000366,0.20121818780899048,0.0017123367870226502,0.0017123367870226502
SC-INR,bsd100,101085.png,x4,x8,x4,0.32098114490509033,0.20132674276828766,0.0022161579690873623,0.0005581381847150624
SC-INR,bsd100,101085.png,x4,x12,x4,0.3209760785102844,0.2013990730047226,0.0025548734702169895,0.00039355558692477643
SC-INR,bsd100,101085.png,x4,x16,x4,0.32097458839416504,0.20142284035682678,0.002667022403329611,0.00013738054258283228
SC-INR,bsd100,101085.png,x4,x24,x4,0.3209739327430725,0.20143933594226837,0.002743935212492943,9.631786087993532e-05
SC-INR,bsd100,101085.png,x4,x30,x4,0.32097378373146057,0.20144401490688324,0.0027657654136419296,2.7719459467334673e-05
SC-INR-NoSinc,bsd100,101085.png,x4,x4,x4,0.32086455821990967,0.19996117055416107,0.0,nan
SC-INR-NoSinc,bsd100,101085.png,x4,x6,x4,0.32086455821990967,0.19996117055416107,0.0,0.0
SC-INR-NoSinc,bsd100,101085.png,x4,x8,x4,0.32086455821990967,0.19996117055416107,0.0,0.0
SC-INR-NoSinc,bsd100,101085.png,x4,x12,x4,0.32086455821990967,0.19996117055416107,0.0,0.0
SC-INR-NoSinc,bsd100,101085.png,x4,x16,x4,0.32086455821990967,0.19996117055416107,0.0,0.0
SC-INR-NoSinc,bsd100,101085.png,x4,x24,x4,0.32086455821990967,0.19996117055416107,0.0,0.0
SC-INR-NoSinc,bsd100,101085.png,x4,x30,x4,0.32086455821990967,0.19996117055416107,0.0,0.0
LTE,bsd100,101087.png,x4,x4,x4,0.5150913596153259,0.2453974187374115,0.0,nan
LTE,bsd100,101087.png,x4,x6,x4,0.5148141384124756,0.24568966031074524,0.0026704096235334873,0.0026704096235334873
LTE,bsd100,101087.png,x4,x8,x4,0.5145919322967529,0.24582456052303314,0.0037495556753128767,0.00146294420119375
LTE,bsd100,101087.png,x4,x12,x4,0.5142947435379028,0.24595867097377777,0.004973444156348705,0.0018507909262552857
LTE,bsd100,101087.png,x4,x16,x4,0.5141198635101318,0.24601249396800995,0.005727624520659447,0.0011330035049468279
LTE,bsd100,101087.png,x4,x24,x4,0.5139249563217163,0.24605488777160645,0.006639841943979263,0.0012715832563117146
LTE,bsd100,101087.png,x4,x30,x4,0.5138401985168457,0.24606914818286896,0.007044011726975441,0.0005412761238403618
SC-INR-NoPhi,bsd100,101087.png,x4,x4,x4,0.5156049728393555,0.2451464682817459,0.0,nan
SC-INR-NoPhi,bsd100,101087.png,x4,x6,x4,0.5156266689300537,0.24527224898338318,0.0014886513818055391,0.0014886513818055391
SC-INR-NoPhi,bsd100,101087.png,x4,x8,x4,0.5156309604644775,0.24530796706676483,0.0019782751332968473,0.0005308736581355333
SC-INR-NoPhi,bsd100,101087.png,x4,x12,x4,0.5156317949295044,0.24532799422740936,0.0023110785987228155,0.0003820582933258265
SC-INR-NoPhi,bsd100,101087.png,x4,x16,x4,0.5156316757202148,0.24533462524414062,0.002425708808004856,0.00013481777568813413
SC-INR-NoPhi,bsd100,101087.png,x4,x24,x4,0.5156316757202148,0.24533919990062714,0.002506714779883623,9.610025153961033e-05
SC-INR-NoPhi,bsd100,101087.png,x4,x30,x4,0.5156316757202148,0.2453404814004898,0.002529842546209693,2.7570609745453112e-05
SC-INR-NoPhi-Signed,bsd100,101087.png,x4,x4,x4,0.5153868198394775,0.24497245252132416,0.0,nan
SC-INR-NoPhi-Signed,bsd100,101087.png,x4,x6,x4,0.515324592590332,0.2451130747795105,0.0014149184571579099,0.0014149184571579099
SC-INR-NoPhi-Signed,bsd100,101087.png,x4,x8,x4,0.5152994394302368,0.24516163766384125,0.0018505069892853498,0.0004642837739083916
SC-INR-NoPhi-Signed,bsd100,101087.png,x4,x12,x4,0.5152814388275146,0.2451939582824707,0.0021412651985883713,0.00032214311067946255
SC-INR-NoPhi-Signed,bsd100,101087.png,x4,x16,x4,0.5152748227119446,0.24520474672317505,0.002238035202026367,0.00010942676453851163
SC-INR-NoPhi-Signed,bsd100,101087.png,x4,x24,x4,0.5152701139450073,0.24521231651306152,0.002303860615938902,7.567602006020024e-05
SC-INR-NoPhi-Signed,bsd100,101087.png,x4,x30,x4,0.5152688026428223,0.24521443247795105,0.002322120824828744,2.1371515686041676e-05
SC-INR,bsd100,101087.png,x4,x4,x4,0.5154368877410889,0.24520482122898102,0.0,nan
SC-INR,bsd100,101087.png,x4,x6,x4,0.5153862237930298,0.2453833967447281,0.0013715961249545217,0.0013715961249545217
SC-INR,bsd100,101087.png,x4,x8,x4,0.5153756141662598,0.24543452262878418,0.001741960528306663,0.00041223064181394875
SC-INR,bsd100,101087.png,x4,x12,x4,0.5153690576553345,0.2454676777124405,0.0019741763826459646,0.00027792283799499273
SC-INR,bsd100,101087.png,x4,x16,x4,0.515367329120636,0.24547810852527618,0.002051115967333317,9.733568731462583e-05
SC-INR,bsd100,101087.png,x4,x24,x4,0.5153666734695435,0.24548503756523132,0.002103419741615653,6.943901826161891e-05
SC-INR,bsd100,101087.png,x4,x30,x4,0.5153665542602539,0.2454870194196701,0.0021181411575526,1.9887593225575984e-05
SC-INR-NoSinc,bsd100,101087.png,x4,x4,x4,0.5154775381088257,0.2449367493391037,0.0,nan
SC-INR-NoSinc,bsd100,101087.png,x4,x6,x4,0.5154775381088257,0.2449367493391037,0.0,0.0
SC-INR-NoSinc,bsd100,101087.png,x4,x8,x4,0.5154775381088257,0.2449367493391037,0.0,0.0
SC-INR-NoSinc,bsd100,101087.png,x4,x12,x4,0.5154775381088257,0.2449367493391037,0.0,0.0
SC-INR-NoSinc,bsd100,101087.png,x4,x16,x4,0.5154775381088257,0.2449367493391037,0.0,0.0
SC-INR-NoSinc,bsd100,101087.png,x4,x24,x4,0.5154775381088257,0.2449367493391037,0.0,0.0
SC-INR-NoSinc,bsd100,101087.png,x4,x30,x4,0.5154775381088257,0.2449367493391037,0.0,0.0
LTE,bsd100,102061.png,x4,x4,x4,0.3827451467514038,0.17910632491111755,0.0,nan
LTE,bsd100,102061.png,x4,x6,x4,0.38268011808395386,0.17936566472053528,0.0028882529586553574,0.0028882529586553574
LTE,bsd100,102061.png,x4,x8,x4,0.38254648447036743,0.17939993739128113,0.0042814468033611774,0.0018812160706147552
LTE,bsd100,102061.png,x4,x12,x4,0.3823319673538208,0.17934194207191467,0.006041474174708128,0.002378338249400258
LTE,bsd100,102061.png,x4,x16,x4,0.38218921422958374,0.17926901578903198,0.0070934598334133625,0.0013695633970201015
LTE,bsd100,102061.png,x4,x24,x4,0.3820282220840454,0.17917442321777344,0.008252819068729877,0.001479067374020815
LTE,bsd100,102061.png,x4,x30,x4,0.3819567561149597,0.17912425100803375,0.008745928294956684,0.0006425241008400917
SC-INR-NoPhi,bsd100,102061.png,x4,x4,x4,0.38347697257995605,0.17939074337482452,0.0,nan
SC-INR-NoPhi,bsd100,102061.png,x4,x6,x4,0.3836023807525635,0.17965908348560333,0.0019270166521891952,0.0019270166521891952
SC-INR-NoPhi,bsd100,102061.png,x4,x8,x4,0.38364458084106445,0.17974568903446198,0.0024920187424868345,0.0006128499517217278
SC-INR-NoPhi,bsd100,102061.png,x4,x12,x4,0.3836687207221985,0.1797969937324524,0.0028430470265448093,0.0004057145561091602
SC-INR-NoPhi,bsd100,102061.png,x4,x16,x4,0.3836769163608551,0.17981396615505219,0.0029574220534414053,0.00013810108066536486
SC-INR-NoPhi,bsd100,102061.png,x4,x24,x4,0.38368260860443115,0.17982566356658936,0.0030366864521056414,9.704358672024682e-05
SC-INR-NoPhi,bsd100,102061.png,x4,x30,x4,0.3836842477321625,0.1798289716243744,0.003059075679630041,2.7949743525823578e-05
SC-INR-NoPhi-Signed,bsd100,102061.png,x4,x4,x4,0.3829604387283325,0.17880994081497192,0.0,nan
SC-INR-NoPhi-Signed,bsd100,102061.png,x4,x6,x4,0.3829924464225769,0.17900358140468597,0.0016304516466334462,0.0016304516466334462
SC-INR-NoPhi-Signed,bsd100,102061.png,x4,x8,x4,0.38300636410713196,0.17906281352043152,0.0020866713020950556,0.0005059540853835642
SC-INR-NoPhi-Signed,bsd100,102061.png,x4,x12,x4,0.3830128312110901,0.17909806966781616,0.0023845485411584377,0.0003469944349490106
SC-INR-NoPhi-Signed,bsd100,102061.png,x4,x16,x4,0.38301485776901245,0.17910981178283691,0.0024830664042383432,0.00011882884427905083
SC-INR-NoPhi-Signed,bsd100,102061.png,x4,x24,x4,0.38301634788513184,0.17911827564239502,0.002550915814936161,8.300932677229866e-05
SC-INR-NoPhi-Signed,bsd100,102061.png,x4,x30,x4,0.38301676511764526,0.17912070453166962,0.0025701785925775766,2.3670769223826937e-05
SC-INR,bsd100,102061.png,x4,x4,x4,0.38310346007347107,0.1792401820421219,0.0,nan
SC-INR,bsd100,102061.png,x4,x6,x4,0.383144348859787,0.1794847548007965,0.0018652458675205708,0.0018652458675205708
SC-INR,bsd100,102061.png,x4,x8,x4,0.3831683397293091,0.17956368625164032,0.0023698501754552126,0.0005575058748945594
SC-INR,bsd100,102061.png,x4,x12,x4,0.3831915259361267,0.17961780726909637,0.002694672206416726,0.00038515348569490016
SC-INR,bsd100,102061.png,x4,x16,x4,0.3832003176212311,0.17963586747646332,0.0027992171235382557,0.00013689158367924392
SC-INR,bsd100,102061.png,x4,x24,x4,0.3832070529460907,0.1796485334634781,0.002872276585549116,9.878903074422851e-05
SC-INR,bsd100,102061.png,x4,x30,x4,0.3832089602947235,0.17965202033519745,0.0028928867541253567,2.8368243874865584e-05
SC-INR-NoSinc,bsd100,102061.png,x4,x4,x4,0.3830614387989044,0.17888177931308746,0.0,nan
SC-INR-NoSinc,bsd100,102061.png,x4,x6,x4,0.3830614387989044,0.17888177931308746,0.0,0.0
SC-INR-NoSinc,bsd100,102061.png,x4,x8,x4,0.3830614387989044,0.17888177931308746,0.0,0.0
SC-INR-NoSinc,bsd100,102061.png,x4,x12,x4,0.3830614387989044,0.17888177931308746,0.0,0.0
SC-INR-NoSinc,bsd100,102061.png,x4,x16,x4,0.3830614387989044,0.17888177931308746,0.0,0.0
SC-INR-NoSinc,bsd100,102061.png,x4,x24,x4,0.3830614387989044,0.17888177931308746,0.0,0.0
SC-INR-NoSinc,bsd100,102061.png,x4,x30,x4,0.3830614387989044,0.17888177931308746,0.0,0.0
LTE,bsd100,103070.png,x4,x4,x4,0.3034210503101349,0.11896233260631561,0.0,nan
LTE,bsd100,103070.png,x4,x6,x4,0.3031601905822754,0.11907810717821121,0.0012367373565211892,0.0012367373565211892
LTE,bsd100,103070.png,x4,x8,x4,0.30298662185668945,0.11908578127622604,0.0018873848021030426,0.0007593068294227123
LTE,bsd100,103070.png,x4,x12,x4,0.3027661144733429,0.11902943253517151,0.002680350560694933,0.0009683605167083442
LTE,bsd100,103070.png,x4,x16,x4,0.30263596773147583,0.1189669519662857,0.003160133957862854,0.0005915840156376362
