model,dataset,observation_scale,n,mean_y,std_y,rmse_y_vs_ref_cell,rmse_y_vs_previous_cell
LTE,bsd100,x12,5,0.42638365626335145,0.1864079564809799,0.0045906787738204,0.001712407625745982
LTE,bsd100,x16,5,0.42617995738983155,0.18637996017932892,0.0053454380948096515,0.0010305635049007833
LTE,bsd100,x24,5,0.425948029756546,0.18632608652114868,0.0062135888263583185,0.001141235383693129
LTE,bsd100,x30,5,0.425847065448761,0.18629607558250427,0.0065923348069190976,0.0004908825503662229
LTE,bsd100,x4,5,0.4271663725376129,0.18597865998744964,0.0,nan
LTE,bsd100,x6,5,0.42693400382995605,0.1862856402993202,0.0022909311344847085,0.0022909311344847085
LTE,bsd100,x8,5,0.42670947313308716,0.18638327866792678,0.003348611854016781,0.0013605296961031854
LTE,urban100,x12,5,0.3276291131973267,0.21482453644275665,0.009742057695984841,0.003813870204612613
LTE,urban100,x16,5,0.3272901952266693,0.21470779180526733,0.01131253894418478,0.002246685395948589
LTE,urban100,x24,5,0.3269062042236328,0.2145470052957535,0.01310004498809576,0.002438113419339061
LTE,urban100,x30,5,0.32673871517181396,0.21447058022022247,0.013873673602938652,0.001032769784796983
LTE,urban100,x4,5,0.3289215326309204,0.2143487125635147,0.0,nan
LTE,urban100,x6,5,0.32853548526763915,0.21486503183841704,0.0050333719700574875,0.0050333719700574875
LTE,urban100,x8,5,0.32816644906997683,0.21492770910263062,0.007186274323612451,0.003024932835251093
SC-INR,bsd100,x12,5,0.4275562822818756,0.18638811111450196,0.0019822084810584783,0.0002955078787636012
SC-INR,bsd100,x16,5,0.4275577485561371,0.18640606999397277,0.0020666996715590358,0.00010414427379146218
SC-INR,bsd100,x24,5,0.4275591731071472,0.18641850352287292,0.0021253191400319336,7.40811818104703e-05
SC-INR,bsd100,x30,5,0.4275596261024475,0.18642202913761138,0.0021419736789539457,2.1284144531819037e-05
SC-INR,bsd100,x4,5,0.42757139801979066,0.1860055923461914,0.0,nan
SC-INR,bsd100,x6,5,0.4275544941425323,0.18625417351722717,0.001341008278541267,0.001341008278541267
SC-INR,bsd100,x8,5,0.4275538444519043,0.186334128677845,0.001728374557569623,0.0004257615131791681
SC-INR,urban100,x12,5,0.32992929220199585,0.21485649943351745,0.004539922438561916,0.0006661161198280752
SC-INR,urban100,x16,5,0.32993351817131045,0.2148666948080063,0.004723327793180942,0.00023032178287394345
SC-INR,urban100,x24,5,0.3299373209476471,0.2148727595806122,0.004851031629368663,0.00016442931373603643
SC-INR,urban100,x30,5,0.32993858456611636,0.21487435102462768,0.004887314280495048,4.752657187054865e-05
SC-INR,urban100,x4,5,0.32996382713317873,0.21441938281059264,0.0,nan
SC-INR,urban100,x6,5,0.32992627620697024,0.21474983990192414,0.003101678751409054,0.003101678751409054
SC-INR,urban100,x8,5,0.3299237251281738,0.21482025682926179,0.003979938989505172,0.000973912957124412
SC-INR-NoPhi,bsd100,x12,5,0.4279548406600952,0.1862670049071312,0.002072669728659093,0.00031789574422873556
SC-INR-NoPhi,bsd100,x16,5,0.42795759439468384,0.1862812504172325,0.0021660472033545376,0.00010990843875333667
SC-INR-NoPhi,bsd100,x24,5,0.42795951962471007,0.18629128783941268,0.002231614082120359,7.790128438500687e-05
SC-INR-NoPhi,bsd100,x30,5,0.42796008586883544,0.18629416972398757,0.0022503222804516553,2.2398006512958092e-05
SC-INR-NoPhi,bsd100,x4,5,0.4278707504272461,0.18595759123563765,0.0,nan
SC-INR-NoPhi,bsd100,x6,5,0.4279289603233337,0.18615995198488236,0.0013668529456481338,0.0013668529456481338
SC-INR-NoPhi,bsd100,x8,5,0.4279460787773132,0.18622492104768754,0.0017927166889421641,0.00046028989017941056
SC-INR-NoPhi,urban100,x12,5,0.3308838188648224,0.21446750462055206,0.004550911532714963,0.0007137413369491697
SC-INR-NoPhi,urban100,x16,5,0.33089146614074705,0.2144808679819107,0.004758413229137659,0.0002487644669599831
SC-INR-NoPhi,urban100,x24,5,0.330896782875061,0.2144901305437088,0.004904493549838662,0.00017685855127638205
SC-INR-NoPhi,urban100,x30,5,0.3308983027935028,0.21449280977249147,0.0049462754279375075,5.095508822705597e-05
SC-INR-NoPhi,urban100,x4,5,0.3307019531726837,0.21405363976955413,0.0,nan
SC-INR-NoPhi,urban100,x6,5,0.33082109689712524,0.21434763669967652,0.003005211427807808,0.003005211427807808
SC-INR-NoPhi,urban100,x8,5,0.33085920214653014,0.2144238084554672,0.003932089032605291,0.0010116181569173933
SC-INR-NoPhi-Signed,bsd100,x12,5,0.4273492991924286,0.18595281839370728,0.00185680422000587,0.00028028335073031484
SC-INR-NoPhi-Signed,bsd100,x16,5,0.42734321355819704,0.18596794158220292,0.0019417525036260486,9.6711592777865e-05
SC-INR-NoPhi-Signed,bsd100,x24,5,0.4273388087749481,0.18597877770662308,0.0020009092288091777,6.803159049013629e-05
SC-INR-NoPhi-Signed,bsd100,x30,5,0.4273375332355499,0.18598188310861588,0.0020176988327875733,1.944994892255636e-05
SC-INR-NoPhi-Signed,bsd100,x4,5,0.42744433879852295,0.18566485345363617,0.0,nan
SC-INR-NoPhi-Signed,bsd100,x6,5,0.42738725543022155,0.18584550470113753,0.0012282698298804462,0.0012282698298804462
SC-INR-NoPhi-Signed,bsd100,x8,5,0.4273657321929932,0.18590922355651857,0.001605056517291814,0.00040456771093886343
SC-INR-NoPhi-Signed,urban100,x12,5,0.32944905161857607,0.21424670219421388,0.0042629938572645186,0.0006180573836900294
