seed,model,dataset,scale,n,computed_mean_psnr_y,canonical_psnr,abs_diff
1,LIIF,BSD100,x12,10,23.71772735,23.47690000,0.24082735
1,LIIF,BSD100,x16,10,22.76062455,22.60380000,0.15682455
1,LIIF,BSD100,x2,10,32.10901792,32.15040000,0.04138208
1,LIIF,BSD100,x24,10,21.52832355,21.37910000,0.14922355
1,LIIF,BSD100,x3,10,29.07408571,29.09130000,0.01721429
1,LIIF,BSD100,x30,10,20.72687672,20.67040000,0.05647672
1,LIIF,BSD100,x4,10,27.66056368,27.58260000,0.07796368
1,LIIF,BSD100,x6,10,26.00901650,25.83660000,0.17241650
1,LIIF,BSD100,x8,10,24.95556449,24.79010000,0.16546449
1,LIIF,Set14,x12,10,23.63336166,23.14000000,0.49336166
1,LIIF,Set14,x16,10,22.68710920,22.05980000,0.62730920
1,LIIF,Set14,x2,10,32.35030930,33.56870000,1.21839070
1,LIIF,Set14,x24,10,21.35533683,20.63640000,0.71893683
1,LIIF,Set14,x3,10,29.42613969,30.33030000,0.90416031
1,LIIF,Set14,x30,10,20.45620939,19.78880000,0.66740939
1,LIIF,Set14,x4,10,27.92466927,28.61050000,0.68583073
1,LIIF,Set14,x6,10,26.17097554,26.44500000,0.27402446
1,LIIF,Set14,x8,10,25.05971878,24.94380000,0.11591878
1,LIIF,Set5,x12,5,24.54858947,24.54860000,0.00001053
1,LIIF,Set5,x16,5,23.01338035,23.01340000,0.00001965
1,LIIF,Set5,x2,5,37.92853511,37.92850000,0.00003511
1,LIIF,Set5,x24,5,21.34401572,21.34400000,0.00001572
1,LIIF,Set5,x3,5,34.36361686,34.36360000,0.00001686
1,LIIF,Set5,x30,5,20.48144333,20.48140000,0.00004333
1,LIIF,Set5,x4,5,32.16567139,32.16570000,0.00002861
1,LIIF,Set5,x6,5,28.88360690,28.88360000,0.00000690
1,LIIF,Set5,x8,5,26.94225688,26.94230000,0.00004312
1,LIIF,Urban100,x12,10,21.16846775,20.87010000,0.29836775
1,LIIF,Urban100,x16,10,20.28758202,19.94460000,0.34298202
1,LIIF,Urban100,x2,10,32.86391590,32.00540000,0.85851590
1,LIIF,Urban100,x24,10,19.10527728,18.82660000,0.27867729
1,LIIF,Urban100,x3,10,28.64080758,28.12440000,0.51640758
1,LIIF,Urban100,x30,10,18.59285260,18.28040000,0.31245260
1,LIIF,Urban100,x4,10,26.45899855,26.06840000,0.39059855
1,LIIF,Urban100,x6,10,24.01041937,23.73630000,0.27411937
1,LIIF,Urban100,x8,10,22.71695201,22.42530000,0.29165201
1,LTE,BSD100,x12,10,23.71981569,23.46390000,0.25591569
1,LTE,BSD100,x16,10,22.76746358,22.59780000,0.16966358
1,LTE,BSD100,x2,10,32.14145813,32.19180000,0.05034187
1,LTE,BSD100,x24,10,21.48344067,21.35650000,0.12694067
1,LTE,BSD100,x3,10,29.10686319,29.11870000,0.01183681
1,LTE,BSD100,x30,10,20.68577109,20.63130000,0.05447109
1,LTE,BSD100,x4,10,27.66829413,27.60990000,0.05839413
1,LTE,BSD100,x6,10,25.98872342,25.84220000,0.14652342
1,LTE,BSD100,x8,10,24.96631075,24.79130000,0.17501075
1,LTE,Set14,x12,10,23.59356945,23.11080000,0.48276945
1,LTE,Set14,x16,10,22.66658885,22.02830000,0.63828885
1,LTE,Set14,x2,10,32.45755510,33.65020000,1.19264490
1,LTE,Set14,x24,10,21.28303051,20.55170000,0.73133051
1,LTE,Set14,x3,10,29.44039491,30.34370000,0.90330509
1,LTE,Set14,x30,10,20.44209906,19.74810000,0.69399906
1,LTE,Set14,x4,10,27.93582770,28.61970000,0.68387230
1,LTE,Set14,x6,10,26.16873676,26.44860000,0.27986324
1,LTE,Set14,x8,10,25.05235690,24.91390000,0.13845690
1,LTE,Set5,x12,5,24.52145143,24.52150000,0.00004857
1,LTE,Set5,x16,5,22.94004376,22.94000000,0.00004376
1,LTE,Set5,x2,5,37.95475452,37.95480000,0.00004548
1,LTE,Set5,x24,5,21.30873245,21.30870000,0.00003245
1,LTE,Set5,x3,5,34.35766925,34.35770000,0.00003075
1,LTE,Set5,x30,5,20.47454702,20.47450000,0.00004702
1,LTE,Set5,x4,5,32.18512970,32.18510000,0.00002970
1,LTE,Set5,x6,5,28.89854397,28.89850000,0.00004397
1,LTE,Set5,x8,5,26.90458115,26.90460000,0.00001885
1,LTE,Urban100,x12,10,21.15332707,20.86250000,0.29082707
