dataset,image,scale,scale_num,split,crop_id,crop_y,crop_x,crop_size,texture_bin,edge_bin,highpass_bin,flat_control,structured_crop,sc_inr_psnr_y,liif_psnr_y,lte_psnr_y,delta_vs_liif,delta_vs_lte,min_external_delta,mean_external_delta,wins_external,texture_var,edge_mag,highpass_energy
BSD100,101085.png,x16,16,OOD,0,0,0,96,high,mid,high,0,1,22.13378758,21.97434520,21.91087714,0.15944238,0.22291044,0.15944238,0.19117641,1,0.02294359,0.04951069,0.24026698
BSD100,101085.png,x16,16,OOD,1,0,96,96,high,high,high,0,1,20.03330846,19.29223306,19.45743491,0.74107540,0.57587355,0.57587355,0.65847448,1,0.01633640,0.05953060,0.24166037
BSD100,101085.png,x16,16,OOD,10,192,192,96,mid,mid,mid,0,1,21.23354237,21.14208046,21.14957637,0.09146191,0.08396600,0.08396600,0.08771395,1,0.00983397,0.04974576,0.19982180
BSD100,101085.png,x16,16,OOD,11,192,224,96,low,low,low,1,0,22.83496764,22.91069280,22.84953576,-0.07572516,-0.01456812,-0.07572516,-0.04514664,0,0.00494557,0.03753153,0.17722066
BSD100,101085.png,x16,16,OOD,12,288,0,96,mid,mid,mid,0,1,22.65221184,22.41006170,22.05621269,0.24215014,0.59599915,0.24215014,0.41907465,1,0.01237850,0.04913606,0.21571185
BSD100,101085.png,x16,16,OOD,13,288,96,96,high,high,high,0,1,20.19995969,20.16772726,20.17269581,0.03223243,0.02726388,0.02726388,0.02974815,1,0.01738145,0.05860916,0.25687799
BSD100,101085.png,x16,16,OOD,14,288,192,96,mid,high,mid,0,1,21.15536658,21.31849281,21.12854008,-0.16312623,0.02682650,-0.16312623,-0.06814987,0,0.01184109,0.05225948,0.21340916
BSD100,101085.png,x16,16,OOD,15,288,224,96,low,low,mid,1,0,22.07371912,22.14437931,21.95969757,-0.07066019,0.11402155,-0.07066019,0.02168068,0,0.00709358,0.04365575,0.17999771
BSD100,101085.png,x16,16,OOD,16,384,0,96,high,high,high,0,1,19.76918495,19.67019539,19.70117860,0.09898956,0.06800635,0.06800635,0.08349795,1,0.01483216,0.06575226,0.27273917
BSD100,101085.png,x16,16,OOD,17,384,96,96,high,high,high,0,1,18.43099937,18.36285360,18.09646390,0.06814577,0.33453547,0.06814577,0.20134062,1,0.02120509,0.08266193,0.32379830
BSD100,101085.png,x16,16,OOD,18,384,192,96,high,high,high,0,1,20.69368863,20.74894186,20.51387051,-0.05525323,0.17981812,-0.05525323,0.06228244,0,0.01431580,0.05946847,0.26847219
BSD100,101085.png,x16,16,OOD,19,384,224,96,mid,mid,mid,0,1,20.64595155,20.93984792,21.16422319,-0.29389637,-0.51827164,-0.51827164,-0.40608401,0,0.01138039,0.05060562,0.23676418
BSD100,101085.png,x16,16,OOD,2,0,192,96,high,high,mid,0,1,20.21360594,20.17055955,20.10541737,0.04304639,0.10818857,0.04304639,0.07561748,1,0.01239622,0.05382137,0.23020355
BSD100,101085.png,x16,16,OOD,3,0,224,96,low,mid,high,0,1,21.55071510,21.51564535,21.56537456,0.03506975,-0.01465946,-0.01465946,0.01020514,0,0.00790008,0.04877704,0.23951854
BSD100,101085.png,x16,16,OOD,4,96,0,96,low,low,low,1,0,20.59572336,20.55259834,20.45127804,0.04312502,0.14444532,0.04312502,0.09378517,1,0.00697127,0.04218341,0.15801109
BSD100,101085.png,x16,16,OOD,5,96,96,96,mid,low,low,0,0,21.62682884,20.86339180,21.15960430,0.76343704,0.46722454,0.46722454,0.61533079,1,0.00815073,0.04612208,0.16604488
BSD100,101085.png,x16,16,OOD,6,96,192,96,low,low,low,1,0,21.43282260,21.35067286,21.21678676,0.08214974,0.21603584,0.08214974,0.14909279,1,0.00663971,0.04360946,0.17725021
BSD100,101085.png,x16,16,OOD,7,96,224,96,low,low,low,1,0,22.73670302,22.81718832,22.58179448,-0.08048530,0.15490854,-0.08048530,0.03721162,0,0.00435404,0.03698211,0.16420762
BSD100,101085.png,x16,16,OOD,8,192,0,96,low,low,low,1,0,22.09949717,21.85459617,22.00969396,0.24490100,0.08980321,0.08980321,0.16735211,1,0.00781588,0.04345922,0.17862569
BSD100,101085.png,x16,16,OOD,9,192,96,96,mid,mid,low,0,1,21.99618326,22.06190605,22.02615182,-0.06572279,-0.02996856,-0.06572279,-0.04784568,0,0.00845736,0.04735785,0.17148687
BSD100,101085.png,x30,30,OOD,0,0,0,96,high,mid,high,0,1,19.33192079,20.03399447,19.54375387,-0.70207368,-0.21183308,-0.70207368,-0.45695338,0,0.02799408,0.05429443,0.25936329
BSD100,101085.png,x30,30,OOD,1,0,96,96,high,high,high,0,1,15.14005548,15.65482306,14.99460450,-0.51476758,0.14545098,-0.51476758,-0.18465830,0,0.02154296,0.06869422,0.27009118
BSD100,101085.png,x30,30,OOD,10,192,192,96,mid,mid,mid,0,1,19.92696322,20.12622016,19.61565539,-0.19925694,0.31130783,-0.19925694,0.05602545,0,0.01064379,0.04782412,0.19432279
BSD100,101085.png,x30,30,OOD,11,192,204,96,low,low,low,1,0,21.13462792,21.23127840,20.88311689,-0.09665048,0.25151103,-0.09665048,0.07743028,0,0.00625618,0.03917618,0.17307514
BSD100,101085.png,x30,30,OOD,12,288,0,96,high,high,high,0,1,19.19716794,19.47082429,19.03791150,-0.27365635,0.15925644,-0.27365635,-0.05719995,0,0.01507607,0.05431189,0.23591733
BSD100,101085.png,x30,30,OOD,13,288,96,96,high,high,high,0,1,17.23806351,17.94003482,18.17078717,-0.70197131,-0.93272366,-0.93272366,-0.81734748,0,0.02104423,0.06220073,0.26656106
BSD100,101085.png,x30,30,OOD,14,288,192,96,mid,mid,mid,0,1,19.23221793,19.59380024,19.18874985,-0.36158231,0.04346808,-0.36158231,-0.15905711,0,0.01175538,0.05421574,0.21496105
BSD100,101085.png,x30,30,OOD,15,288,204,96,low,low,low,1,0,20.66503984,21.13478444,20.84075568,-0.46974460,-0.17571584,-0.46974460,-0.32273022,0,0.00711028,0.04552854,0.18095165
BSD100,101085.png,x30,30,OOD,16,384,0,96,high,high,high,0,1,18.21747965,18.12935809,18.27000755,0.08812156,-0.05252790,-0.05252790,0.01779683,0,0.01739345,0.07007986,0.28802153
BSD100,101085.png,x30,30,OOD,17,384,96,96,high,high,high,0,1,17.28181756,17.32249191,17.13414657,-0.04067435,0.14767099,-0.04067435,0.05349832,0,0.02287793,0.08668680,0.33185926
BSD100,101085.png,x30,30,OOD,18,384,192,96,high,high,high,0,1,19.93019672,19.75384046,19.33900158,0.17635626,0.59119514,0.17635626,0.38377570,1,0.01371170,0.05632097,0.25342125
BSD100,101085.png,x30,30,OOD,19,384,204,96,mid,low,mid,0,1,21.36562287,21.03951635,20.88438055,0.32610652,0.48124232,0.32610652,0.40367442,1,0.00931354,0.04368662,0.19217667
BSD100,101085.png,x30,30,OOD,2,0,192,96,mid,high,mid,0,1,20.01708726,19.78642288,19.52245417,0.23066438,0.49463309,0.23066438,0.36264873,1,0.01300420,0.05595085,0.22609769
BSD100,101085.png,x30,30,OOD,3,0,204,96,mid,mid,mid,0,1,21.87174164,21.93914307,21.55107899,-0.06740143,0.32066265,-0.06740143,0.12663061,0,0.01116189,0.05194904,0.23221201
BSD100,101085.png,x30,30,OOD,4,96,0,96,low,low,low,1,0,20.35133266,20.37183973,20.39156096,-0.02050707,-0.04022830,-0.04022830,-0.03036768,0,0.00580603,0.03906108,0.14477836
BSD100,101085.png,x30,30,OOD,5,96,96,96,mid,mid,low,0,1,18.45647341,18.00319965,17.42146199,0.45327376,1.03501142,0.45327376,0.74414259,1,0.01085705,0.05401351,0.18341573
