dataset,image,scale,scale_num,split,crop_id,crop_y,crop_x,crop_size,texture_bin,edge_bin,highpass_bin,flat_control,structured_crop,sc_inr_psnr_y,liif_psnr_y,lte_psnr_y,delta_vs_liif,delta_vs_lte,min_external_delta,mean_external_delta,wins_external,texture_var,edge_mag,highpass_energy,representative_type
Urban100,img_007.png,x30,30,OOD,3,0,672,96,high,low,high,0,1,78.09339250,67.49224940,68.06692232,10.60114310,10.02647018,10.02647018,10.31380664,1,0.03345037,0.03508498,0.25303352,external_top_positive
Urban100,img_016.png,x30,30,OOD,21,672,384,96,high,high,high,0,1,18.91343257,10.30190222,10.95566921,8.61153035,7.95776336,7.95776336,8.28464686,1,0.01930641,0.04881634,0.19131412,external_top_positive
Urban100,img_011.png,x8,8,OOD,12,384,96,96,mid,mid,mid,0,1,18.27642927,13.61311710,13.24822756,4.66331217,5.02820171,4.66331217,4.84575694,1,0.05385013,0.08722423,0.26684579,external_top_positive
Urban100,img_011.png,x16,16,OOD,18,576,192,96,mid,mid,low,0,1,17.75442154,13.52831496,12.06599312,4.22610658,5.68842842,4.22610658,4.95726750,1,0.02753128,0.05139438,0.20409131,external_top_positive
BSD100,167062.png,x30,30,OOD,12,192,192,96,high,mid,high,0,1,52.49044612,48.49179712,43.82069298,3.99864900,8.66975314,3.99864900,6.33420107,1,0.03343919,0.03521546,0.25304809,external_top_positive
BSD100,167062.png,x30,30,OOD,17,204,192,96,high,mid,high,0,1,61.36871222,58.06527777,52.20468372,3.30343445,9.16402850,3.30343445,6.23373148,1,0.03344399,0.03520035,0.25295711,external_top_positive
Urban100,img_001.png,x30,30,OOD,8,96,864,96,high,mid,high,0,1,48.31209252,45.20578678,45.25692878,3.10630574,3.05516374,3.05516374,3.08073474,1,0.03168945,0.03492577,0.24626647,external_top_positive
Urban100,img_016.png,x30,30,OOD,22,672,768,96,high,high,high,0,1,21.11435401,11.59524980,18.30075244,9.51910421,2.81360157,2.81360157,6.16635289,1,0.01789115,0.04856526,0.19484119,external_top_positive
BSD100,101087.png,x16,16,OOD,1,0,96,96,high,low,high,0,1,79.52237551,77.20496135,77.21249205,2.31741416,2.30988346,2.30988346,2.31364881,1,0.02540069,0.02644693,0.21802869,external_top_positive
Urban100,img_021.png,x30,30,OOD,20,768,288,96,low,mid,mid,0,1,24.42307800,22.45977288,22.17533413,1.96330512,2.24774387,1.96330512,2.10552450,1,0.01210166,0.04118262,0.15818289,external_top_positive
Urban100,img_002.png,x30,30,OOD,0,0,0,96,high,mid,mid,0,1,22.17061850,20.16219545,20.20832518,2.00842305,1.96229332,1.96229332,1.98535818,1,0.03234060,0.05660186,0.23425300,external_top_positive
Urban100,img_007.png,x30,30,OOD,2,0,480,96,high,low,high,0,1,34.53710738,32.92877115,29.77435105,1.60833623,4.76275633,1.60833623,3.18554628,1,0.03248274,0.03616597,0.24082862,external_top_positive
Urban100,img_028.png,x8,8,OOD,8,192,0,96,mid,mid,mid,0,1,37.98453325,37.85435862,37.98455867,0.13017463,-0.00002542,-0.00002542,0.06507461,0,0.00534741,0.01897519,0.09908499,external_neutral
Urban100,img_005.png,x16,16,OOD,2,0,576,96,high,high,high,0,1,17.41857563,17.41860822,17.41498944,-0.00003259,0.00358619,-0.00003259,0.00177680,0,0.01894775,0.06736630,0.23060605,external_neutral
Urban100,img_011.png,x16,16,OOD,30,928,288,96,high,high,high,0,1,9.22398250,9.22267691,9.22393649,0.00130559,0.00004601,0.00004601,0.00067580,1,0.11317182,0.22657970,0.48960429,external_neutral
Urban100,img_026.png,x16,16,OOD,8,192,0,96,high,mid,high,0,1,26.81286113,26.80648895,26.81279220,0.00637218,0.00006893,0.00006893,0.00322055,1,0.01954938,0.03391498,0.25824833,external_neutral
Urban100,img_007.png,x16,16,OOD,25,480,576,96,high,high,high,0,1,21.33337598,21.12425945,21.33350766,0.20911653,-0.00013168,-0.00013168,0.10449242,0,0.01820320,0.05336472,0.16121952,external_neutral
BSD100,145086.png,x16,16,OOD,15,224,0,96,mid,high,high,0,1,21.63512118,21.63451770,21.63525851,0.00060348,-0.00013733,-0.00013733,0.00023308,0,0.01048675,0.06061435,0.29729915,external_neutral
BSD100,101087.png,x8,8,OOD,0,0,0,96,high,low,mid,0,1,54.09218292,55.09238217,57.65896162,-1.00019925,-3.56677870,-3.56677870,-2.28348898,0,0.02039247,0.02138367,0.19388314,external_failure
BSD100,106024.png,x30,30,OOD,4,0,384,96,high,mid,high,0,1,33.86347890,34.15475193,36.94478320,-0.29127303,-3.08130430,-3.08130430,-1.68628867,0,0.02772977,0.03652530,0.22758617,external_failure
Urban100,img_018.png,x30,30,OOD,4,96,0,96,high,low,high,0,1,23.39874857,26.41230871,25.49777132,-3.01356014,-2.09902275,-3.01356014,-2.55629145,0,0.02647125,0.04751860,0.19691406,external_failure
Urban100,img_016.png,x8,8,OOD,5,96,768,96,mid,mid,mid,0,1,41.96308361,39.61459135,44.72204375,2.34849226,-2.75896014,-2.75896014,-0.20523394,0,0.00172898,0.00653769,0.04835118,external_failure
Urban100,img_007.png,x16,16,OOD,3,0,672,96,high,low,high,0,1,82.61217153,85.31543226,78.47356078,-2.70326073,4.13861075,-2.70326073,0.71767501,0,0.02540138,0.02644529,0.21803503,external_failure
BSD100,105025.png,x16,16,OOD,4,0,384,96,high,low,mid,0,1,62.48386306,64.82833082,62.79325292,-2.34446776,-0.30938986,-2.34446776,-1.32692881,0,0.02530403,0.02650296,0.21754512,external_failure
