scale,edge_bin,split,n,median_liif_delta,median_lte_delta,median_min_external_delta,q25_min_external_delta,q75_min_external_delta,win_rate_liif,win_rate_lte,win_rate_external
x16,high,OOD,540,0.02103987,0.02798915,-0.00530458,-0.06741498,0.05760453,0.61666667,0.63703704,0.45555556
x16,low,OOD,540,0.04215610,0.04300370,-0.00642891,-0.13880234,0.13104147,0.62222222,0.63888889,0.46481481
x16,mid,OOD,480,0.02909903,0.05561676,-0.01011279,-0.12230283,0.08229274,0.60208333,0.64166667,0.45000000
x30,high,OOD,540,0.00428020,0.02323516,-0.01134366,-0.12385014,0.03341032,0.54444444,0.61296296,0.41296296
x30,low,OOD,541,0.02086532,0.07615264,-0.02899064,-0.21284867,0.10776213,0.56377079,0.63955638,0.43253235
x30,mid,OOD,479,0.00691073,0.05768752,-0.02423681,-0.19793273,0.08737429,0.53653445,0.64300626,0.40292276
x4,high,ID,540,0.04441315,0.02108995,-0.00436367,-0.08272241,0.06033372,0.70185185,0.60000000,0.47222222
x4,low,ID,540,0.05747526,0.01857697,-0.00435586,-0.07441409,0.07475985,0.67037037,0.60925926,0.47407407
x4,mid,ID,480,0.06944501,0.01969848,-0.00818715,-0.08379291,0.07621725,0.70000000,0.57291667,0.47291667
x8,high,OOD,540,0.02532047,0.02493289,-0.01499012,-0.08761978,0.04991083,0.61851852,0.60555556,0.44444444
x8,low,OOD,540,0.04199502,0.02441377,-0.01042675,-0.09970721,0.08124299,0.63148148,0.60185185,0.45555556
x8,mid,OOD,480,0.04177383,0.03359054,-0.00880861,-0.09213254,0.07228918,0.62500000,0.63125000,0.46458333
