scale,highpass_bin,split,n,median_liif_delta,median_lte_delta,median_min_external_delta,q25_min_external_delta,q75_min_external_delta,win_rate_liif,win_rate_lte,win_rate_external
x16,high,OOD,540,0.01999825,0.03452780,-0.00420690,-0.07620291,0.06083613,0.60185185,0.66296296,0.46296296
x16,low,OOD,540,0.02832361,0.03864459,-0.00727004,-0.11502082,0.11463300,0.61666667,0.63148148,0.45370370
x16,mid,OOD,480,0.04992991,0.05108377,-0.01072587,-0.12641000,0.08896171,0.62500000,0.62083333,0.45416667
x30,high,OOD,540,0.00467980,0.02680589,-0.01693397,-0.15842942,0.04034793,0.53703704,0.61851852,0.40370370
x30,low,OOD,541,0.01073151,0.05328053,-0.02342541,-0.19546664,0.07927392,0.54343808,0.62846580,0.41959335
x30,mid,OOD,479,0.01890355,0.05961469,-0.01785508,-0.19354246,0.09041800,0.56784969,0.64926931,0.42797495
x4,high,ID,540,0.04323717,0.00961186,-0.00622793,-0.08298037,0.05488196,0.71111111,0.57037037,0.45370370
x4,low,ID,540,0.06404388,0.02577140,-0.00427929,-0.07282092,0.08357380,0.67777778,0.61666667,0.47777778
x4,mid,ID,480,0.06268567,0.02425763,-0.00384584,-0.08924299,0.07640908,0.68125000,0.59791667,0.48958333
x8,high,OOD,540,0.02602381,0.02716939,-0.01235616,-0.08176923,0.05308128,0.61481481,0.61296296,0.44629630
x8,low,OOD,540,0.04061274,0.02888558,-0.00916741,-0.08594452,0.08843416,0.62962963,0.61296296,0.46111111
x8,mid,OOD,480,0.04153342,0.02671353,-0.01745599,-0.11164673,0.05952923,0.63125000,0.61041667,0.45625000
