scale,texture_bin,split,n,median_liif_delta,median_lte_delta,median_min_external_delta,q25_min_external_delta,q75_min_external_delta,win_rate_liif,win_rate_lte,win_rate_external
x16,high,OOD,540,0.02618539,0.03935471,-0.00582289,-0.08792933,0.06788530,0.61481481,0.64074074,0.45740741
x16,low,OOD,540,0.02784519,0.03282227,-0.00610054,-0.11426923,0.09975342,0.62777778,0.62592593,0.46111111
x16,mid,OOD,480,0.02831636,0.04766009,-0.00907659,-0.10137684,0.08134556,0.59791667,0.65208333,0.45208333
x30,high,OOD,540,0.00564638,0.02815458,-0.01962878,-0.18468775,0.03341032,0.55185185,0.61666667,0.39444444
x30,low,OOD,541,0.01750536,0.04300317,-0.01724936,-0.15612762,0.08514785,0.56192237,0.64140481,0.43807763
x30,mid,OOD,479,0.00644165,0.06314867,-0.02421466,-0.18227230,0.08619904,0.53027140,0.63674322,0.41753653
x4,high,ID,540,0.05359815,0.02174576,-0.00464012,-0.09418037,0.07055313,0.69259259,0.59259259,0.47222222
x4,low,ID,540,0.05135489,0.02337824,-0.00403358,-0.07211795,0.07055258,0.67592593,0.61666667,0.47777778
x4,mid,ID,480,0.05855487,0.01590091,-0.00828649,-0.07954020,0.06997571,0.70416667,0.57291667,0.46875000
x8,high,OOD,540,0.03125825,0.02407078,-0.01968611,-0.11211698,0.05416123,0.62592593,0.58703704,0.42962963
x8,low,OOD,540,0.03987305,0.02868713,-0.00597626,-0.07075947,0.07734832,0.64259259,0.62962963,0.47962963
x8,mid,OOD,480,0.02906549,0.02920960,-0.01160337,-0.09545535,0.06173791,0.60416667,0.62083333,0.45416667
