baseline,seed,dataset,image,split,n_scales,mean_delta,median_delta,win_rate
LIIF,1,BSD100,101085.png,ID,3,0.01875359,0.01485474,1.00000000
LIIF,1,BSD100,101085.png,OOD,6,0.02936943,0.04687753,0.83333333
LIIF,1,BSD100,101087.png,ID,3,0.03612988,0.03780537,1.00000000
LIIF,1,BSD100,101087.png,OOD,6,0.10073919,0.09046736,1.00000000
LIIF,1,BSD100,102061.png,ID,3,0.09324702,0.08393506,1.00000000
LIIF,1,BSD100,102061.png,OOD,6,0.02438432,0.01601507,0.66666667
LIIF,1,BSD100,103070.png,ID,3,0.00049028,0.00619008,0.66666667
LIIF,1,BSD100,103070.png,OOD,6,0.03247266,0.03250960,0.83333333
LIIF,1,BSD100,105025.png,ID,3,0.01528974,0.01340382,1.00000000
LIIF,1,BSD100,105025.png,OOD,6,0.03893468,0.02284163,0.83333333
LIIF,1,BSD100,106024.png,ID,3,0.07727961,0.08307923,1.00000000
LIIF,1,BSD100,106024.png,OOD,6,0.08420633,0.08257294,1.00000000
LIIF,1,BSD100,108005.png,ID,3,0.01976260,0.04101189,0.66666667
LIIF,1,BSD100,108005.png,OOD,6,0.03307925,0.04419573,0.66666667
LIIF,1,BSD100,108070.png,ID,3,0.01297350,0.01270581,0.66666667
LIIF,1,BSD100,108070.png,OOD,6,0.02179991,0.02453171,0.83333333
LIIF,1,BSD100,108082.png,ID,3,0.04126998,0.05098607,1.00000000
LIIF,1,BSD100,108082.png,OOD,6,0.02843811,0.04924484,0.66666667
LIIF,1,BSD100,109053.png,ID,3,0.02841706,0.02744824,1.00000000
LIIF,1,BSD100,109053.png,OOD,6,-0.00479541,0.00815467,0.66666667
LIIF,1,Set14,baboon.png,ID,3,0.03109221,0.03114470,1.00000000
LIIF,1,Set14,baboon.png,OOD,6,0.01869639,0.01443106,1.00000000
LIIF,1,Set14,barbara.png,ID,3,0.32716739,0.37949781,1.00000000
LIIF,1,Set14,barbara.png,OOD,6,0.03950712,0.03026757,0.83333333
LIIF,1,Set14,bridge.png,ID,3,-0.00158230,-0.00381159,0.33333333
LIIF,1,Set14,bridge.png,OOD,6,-0.01376654,-0.01078466,0.16666667
LIIF,1,Set14,coastguard.png,ID,3,-0.03219327,-0.03133815,0.00000000
LIIF,1,Set14,coastguard.png,OOD,6,0.00849594,0.00655540,0.50000000
LIIF,1,Set14,comic.png,ID,3,0.05662752,0.05375824,1.00000000
LIIF,1,Set14,comic.png,OOD,6,0.02659289,0.02666192,0.66666667
LIIF,1,Set14,face.png,ID,3,0.01365370,0.01295703,1.00000000
LIIF,1,Set14,face.png,OOD,6,0.01585241,0.00976503,0.83333333
LIIF,1,Set14,flowers.png,ID,3,0.09404126,0.10464354,1.00000000
LIIF,1,Set14,flowers.png,OOD,6,-0.00592626,-0.02579987,0.33333333
LIIF,1,Set14,foreman.png,ID,3,0.01225241,0.02935859,0.66666667
LIIF,1,Set14,foreman.png,OOD,6,0.07177001,0.05710515,0.83333333
LIIF,1,Set14,lenna.png,ID,3,0.09575235,0.10991116,1.00000000
LIIF,1,Set14,lenna.png,OOD,6,0.09735917,0.09966366,0.83333333
LIIF,1,Set14,man.png,ID,3,0.03629729,0.03802879,1.00000000
LIIF,1,Set14,man.png,OOD,6,0.00509921,0.01224116,0.50000000
LIIF,1,Set5,baby.png,ID,3,0.02824207,0.02317903,1.00000000
LIIF,1,Set5,baby.png,OOD,6,0.09557798,0.09330429,0.83333333
LIIF,1,Set5,bird.png,ID,3,0.18592519,0.14966721,1.00000000
LIIF,1,Set5,bird.png,OOD,6,0.10548655,0.07893329,0.83333333
LIIF,1,Set5,butterfly.png,ID,3,0.29315318,0.28136438,1.00000000
LIIF,1,Set5,butterfly.png,OOD,6,0.08746801,0.12649726,0.66666667
LIIF,1,Set5,head.png,ID,3,-0.01094568,-0.01089501,0.33333333
LIIF,1,Set5,head.png,OOD,6,0.04971332,0.06010048,0.83333333
LIIF,1,Set5,woman.png,ID,3,0.08101439,0.09519246,1.00000000
LIIF,1,Set5,woman.png,OOD,6,0.13409715,0.13269451,1.00000000
LIIF,1,Urban100,img_001.png,ID,3,0.22922804,0.24195708,1.00000000
LIIF,1,Urban100,img_001.png,OOD,6,0.07815134,0.08783328,1.00000000
LIIF,1,Urban100,img_002.png,ID,3,0.16592887,0.16827834,1.00000000
LIIF,1,Urban100,img_002.png,OOD,6,0.01877966,0.01132247,0.66666667
LIIF,1,Urban100,img_003.png,ID,3,0.10581501,0.09793300,1.00000000
LIIF,1,Urban100,img_003.png,OOD,6,0.03955373,0.03499922,1.00000000
LIIF,1,Urban100,img_004.png,ID,3,0.51130922,0.48827896,1.00000000
LIIF,1,Urban100,img_004.png,OOD,6,0.13268843,0.11500817,0.83333333
LIIF,1,Urban100,img_005.png,ID,3,0.16450198,0.12194034,1.00000000
LIIF,1,Urban100,img_005.png,OOD,6,0.19236586,0.17775765,1.00000000
LIIF,1,Urban100,img_006.png,ID,3,0.09243451,0.05633962,1.00000000
LIIF,1,Urban100,img_006.png,OOD,6,0.01768360,0.03239757,0.66666667
LIIF,1,Urban100,img_007.png,ID,3,0.10379412,0.10331448,1.00000000
LIIF,1,Urban100,img_007.png,OOD,6,0.04905771,0.04617853,1.00000000
LIIF,1,Urban100,img_008.png,ID,3,0.08020114,0.06033316,1.00000000
LIIF,1,Urban100,img_008.png,OOD,6,0.00016588,0.00396786,0.50000000
LIIF,1,Urban100,img_009.png,ID,3,0.29519706,0.19189892,1.00000000
LIIF,1,Urban100,img_009.png,OOD,6,0.05510254,0.04826143,0.83333333
LIIF,1,Urban100,img_010.png,ID,3,0.29763418,0.23700397,1.00000000
LIIF,1,Urban100,img_010.png,OOD,6,0.03623395,0.02247989,1.00000000
