baseline,dataset,split,n,mean_delta,median_delta,std_delta,sem_delta,q05_delta,q25_delta,q75_delta,q95_delta,win_rate
LIIF,BSD100,ID,90,0.00856112,0.00172501,0.03875703,0.00408535,-0.03852631,-0.01282331,0.02687420,0.07668861,0.51111111
LIIF,BSD100,OOD,180,0.01909035,0.01597510,0.06704105,0.00499694,-0.09225440,-0.01085428,0.05452190,0.13432924,0.66111111
LIIF,Set14,ID,90,0.03753374,0.01710551,0.09676854,0.01020030,-0.06301349,-0.01050645,0.05668236,0.19922298,0.63333333
LIIF,Set14,OOD,180,0.01897908,0.01457897,0.07778879,0.00579803,-0.08205796,-0.02221518,0.04268727,0.14647450,0.63333333
LIIF,Set5,ID,45,0.06002991,0.02227675,0.10741905,0.01601309,-0.08540835,-0.00396899,0.13481249,0.27683079,0.71111111
LIIF,Set5,OOD,90,0.04432555,0.04489159,0.11574981,0.01220110,-0.15694481,-0.01334597,0.12082344,0.21810897,0.73333333
LIIF,Urban100,ID,90,0.06981753,0.05926562,0.23366988,0.02463097,-0.32479971,-0.01947053,0.16697974,0.48193149,0.72222222
LIIF,Urban100,OOD,180,0.04168779,0.03453684,0.09598050,0.00715396,-0.06616326,-0.00080895,0.08053388,0.17949252,0.75000000
LTE,BSD100,ID,90,-0.00967023,-0.00924859,0.03239014,0.00341422,-0.05663461,-0.02223166,0.00923170,0.04985925,0.35555556
LTE,BSD100,OOD,180,0.03870097,0.02361341,0.07335740,0.00546774,-0.05058812,-0.00030647,0.06379711,0.17782467,0.73888889
LTE,Set14,ID,90,0.01365217,-0.00413188,0.11371166,0.01198626,-0.12309550,-0.02829040,0.02860032,0.29237888,0.45555556
LTE,Set14,OOD,180,0.03798005,0.02562955,0.08941359,0.00666450,-0.06941328,-0.00016312,0.06819870,0.19452886,0.75000000
LTE,Set5,ID,45,0.02395621,-0.00060075,0.12414842,0.01850695,-0.12321021,-0.03027054,0.04857160,0.33526841,0.48888889
LTE,Set5,OOD,90,0.07336127,0.05349627,0.13534446,0.01426656,-0.09290137,-0.01152403,0.15893682,0.31327234,0.70000000
LTE,Urban100,ID,90,-0.08405352,-0.02687181,0.26578601,0.02801630,-0.58647183,-0.15073815,0.06270768,0.18398897,0.42222222
LTE,Urban100,OOD,180,0.03852797,0.03859345,0.12065710,0.00899325,-0.06564476,0.00280591,0.08284618,0.19346642,0.77222222
