baseline,dataset,scale,split,n,mean_delta,median_delta,std_delta,sem_delta,q05_delta,q25_delta,q75_delta,q95_delta,win_rate
LIIF,BSD100,x12,OOD,30,0.03255871,0.02016643,0.05655007,0.01032458,-0.02750938,0.00848232,0.04349398,0.14640179,0.80000000
LIIF,BSD100,x16,OOD,30,0.03223532,0.02684793,0.05430295,0.00991432,-0.05046069,-0.00724838,0.06412180,0.13512254,0.70000000
LIIF,BSD100,x2,ID,30,0.01471381,0.00763886,0.04898434,0.00894328,-0.05053809,-0.00695286,0.03936748,0.07419035,0.56666667
LIIF,BSD100,x24,OOD,30,0.01449392,0.01509084,0.06785192,0.01238801,-0.07629946,-0.02091443,0.05118239,0.09854097,0.63333333
LIIF,BSD100,x3,ID,30,0.00495001,-0.00159972,0.03476342,0.00634690,-0.03687205,-0.01373719,0.02588775,0.06529975,0.46666667
LIIF,BSD100,x30,OOD,30,0.03147454,0.04598783,0.10297189,0.01880001,-0.12253503,-0.01990850,0.09620107,0.19496960,0.60000000
LIIF,BSD100,x4,ID,30,0.00601954,0.00054764,0.03070214,0.00560542,-0.03256942,-0.01364400,0.01735222,0.06671614,0.50000000
LIIF,BSD100,x6,OOD,30,-0.00728595,0.00073008,0.06248346,0.01140787,-0.13290330,-0.01209514,0.02368137,0.05694015,0.56666667
LIIF,BSD100,x8,OOD,30,0.01106556,0.00297445,0.03392201,0.00619328,-0.03530750,-0.00947557,0.03206660,0.07608086,0.66666667
LIIF,Set14,x12,OOD,30,0.02987924,0.01323665,0.07175804,0.01310117,-0.04193176,-0.01799936,0.04248623,0.14861894,0.63333333
LIIF,Set14,x16,OOD,30,0.04995393,0.01391574,0.09186978,0.01677305,-0.03913754,-0.00515033,0.07588552,0.24888907,0.66666667
LIIF,Set14,x2,ID,30,0.05377967,0.02028370,0.12716066,0.02321625,-0.06301349,0.00591704,0.06154987,0.33915976,0.76666667
LIIF,Set14,x24,OOD,30,0.00095987,0.00682813,0.09634433,0.01758999,-0.14935217,-0.03150587,0.03631029,0.13216870,0.60000000
LIIF,Set14,x3,ID,30,0.02228729,0.00103987,0.06598935,0.01204795,-0.06853058,-0.01440054,0.05791967,0.11880490,0.50000000
LIIF,Set14,x30,OOD,30,0.02192218,0.02295857,0.08998168,0.01642833,-0.12102115,-0.02871601,0.08515548,0.13483733,0.66666667
LIIF,Set14,x4,ID,30,0.03653424,0.01872703,0.08774561,0.01602008,-0.03675593,-0.01050645,0.03828332,0.16806031,0.63333333
LIIF,Set14,x6,OOD,30,0.00928597,0.01562260,0.04449420,0.00812349,-0.06118438,-0.01497546,0.02795393,0.07565978,0.60000000
