baseline,scale,split,n,mean_delta,median_delta,std_delta,sem_delta,q05_delta,q25_delta,q75_delta,q95_delta,win_rate
LIIF,x12,OOD,105,0.04253232,0.02302731,0.07157512,0.00698502,-0.04222595,0.00257871,0.07212780,0.17574394,0.77142857
LIIF,x16,OOD,105,0.04826981,0.02964002,0.08698638,0.00848900,-0.05872066,-0.00607363,0.07877664,0.21042169,0.70476190
LIIF,x2,ID,105,0.04943692,0.02240871,0.16617953,0.01621746,-0.09038408,-0.00692129,0.07630093,0.36297416,0.69523810
LIIF,x24,OOD,105,0.01339306,0.01382472,0.08974887,0.00875859,-0.13346414,-0.02653530,0.05820663,0.15785327,0.64761905
LIIF,x3,ID,105,0.03822261,0.01270581,0.14709437,0.01435494,-0.08119781,-0.01397897,0.06915077,0.25870346,0.57142857
LIIF,x30,OOD,105,0.03544744,0.02971658,0.10057242,0.00981486,-0.12594528,-0.01835155,0.09641970,0.21102069,0.67619048
LIIF,x4,ID,105,0.03742105,0.01803840,0.11557947,0.01127940,-0.05523256,-0.01089501,0.05932869,0.26320402,0.63809524
LIIF,x6,OOD,105,0.01455255,0.01976298,0.08879579,0.00866558,-0.10745934,-0.01005859,0.05513187,0.12421119,0.64761905
LIIF,x8,OOD,105,0.02052481,0.01561489,0.08014140,0.00782100,-0.07776691,-0.01042328,0.06027247,0.13955306,0.68571429
LTE,x12,OOD,105,0.05296913,0.03563897,0.08117037,0.00792142,-0.05710311,0.01250092,0.08392698,0.20354981,0.83809524
LTE,x16,OOD,105,0.07858402,0.06151387,0.09642727,0.00941034,-0.03617666,0.01207170,0.11789974,0.24800639,0.82857143
LTE,x2,ID,105,-0.03006698,-0.00835293,0.18450746,0.01800608,-0.23933840,-0.05413918,0.01691386,0.23143755,0.39047619
LTE,x24,OOD,105,0.06490306,0.04013985,0.08940194,0.00872474,-0.04085807,0.00539218,0.09602116,0.25705289,0.81904762
LTE,x3,ID,105,-0.01416843,-0.00956425,0.17703858,0.01727720,-0.20488825,-0.03890023,0.03628477,0.19002391,0.42857143
LTE,x30,OOD,105,0.06678191,0.05495355,0.09182380,0.00896109,-0.06532483,0.01304097,0.09803230,0.25117132,0.81904762
LTE,x4,ID,105,-0.01413042,-0.00401968,0.13725619,0.01339483,-0.15259087,-0.03389950,0.03462847,0.12066842,0.44761905
LTE,x6,OOD,105,-0.01022166,0.00348261,0.11583136,0.01130398,-0.14880027,-0.02161422,0.02248748,0.11869833,0.53333333
LTE,x8,OOD,105,0.00736576,0.01454226,0.11117178,0.01084925,-0.07438811,-0.02465149,0.04797032,0.13124123,0.63809524
