model,dataset,source_scale,observation_scale,n,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LTE,bsd100,x16,x4,10,43.43128364179558,0.007081934324089127,0.01161723635159433,0.010828725527971983,0.0027006666583474725
LTE,bsd100,x30,x4,10,39.8729963959055,0.01058474350543579,0.014805035525932908,0.013485986739397049,0.0065392899792641405
LTE,bsd100,x8,x4,10,49.26979909728969,0.0036549934519630187,0.006376123591326177,0.006413460010662675,0.0009443891220143996
LTE,urban100,x16,x4,10,38.42546076428927,0.013014163389507814,0.021541474480181934,0.02026939457282424,0.002555219319765456
LTE,urban100,x30,x4,10,36.81164163244824,0.016191493793914928,0.025375179853290318,0.023923865146934988,0.00483440404641442
LTE,urban100,x8,x4,10,42.65673199887607,0.00791361795394957,0.013908977480605244,0.013657486345618964,0.0015181059992755764
SC-INR,bsd100,x16,x4,10,51.719753022117985,0.0027890500919897456,0.005118821398355067,0.004924524389207363,0.0007531328941695392
SC-INR,bsd100,x30,x4,10,50.883890288356085,0.0029972511296257162,0.004793533205520362,0.004319885256700217,0.0014148518384899944
SC-INR,bsd100,x8,x4,10,53.82279220685776,0.002122963055561105,0.004027611296623945,0.004082925198599696,0.0004034698158648098
SC-INR,urban100,x16,x4,10,46.792318320965435,0.00492476384415246,0.008875199500471354,0.008928886032663286,0.0007036352271825308
SC-INR,urban100,x30,x4,10,47.48557753813104,0.004720975630924422,0.008108217176049948,0.008173755835741758,0.0010305178344424347
SC-INR,urban100,x8,x4,10,47.06055296499809,0.0046629587254013016,0.008832990331575275,0.008843480562791228,0.0006326371796603781
SC-INR-NoPhi,bsd100,x16,x4,10,52.660310953315445,0.002493318142672009,0.004669326031580568,0.004545136028900743,0.0005035840295022354
SC-INR-NoPhi,bsd100,x30,x4,10,51.229910020160354,0.0029465289889162717,0.004874931497033686,0.0044765695696696636,0.0011980742798186838
SC-INR-NoPhi,bsd100,x8,x4,10,54.525816370746256,0.001976767665437147,0.0039030611282214523,0.004003451461903751,0.0002954199768282706
SC-INR-NoPhi,urban100,x16,x4,10,46.647904975590365,0.005022712785374256,0.008990217326208949,0.009198304847814143,0.0006272333019296638
SC-INR-NoPhi,urban100,x30,x4,10,47.44801033385708,0.004667813790190122,0.008007962256669998,0.008283547568134963,0.0009523596861981786
SC-INR-NoPhi,urban100,x8,x4,10,47.11226668958365,0.0046571291663976945,0.008925791084766387,0.008947245916351676,0.0005391604528995231
SC-INR-NoPhi-Signed,bsd100,x16,x4,10,52.74203608431766,0.0024861460601456223,0.004673242289572954,0.004491375584620982,0.0006206835416378454
SC-INR-NoPhi-Signed,bsd100,x30,x4,10,51.087970084933644,0.0028974885756102168,0.004798573860898614,0.004286959255114198,0.0012690132251009345
SC-INR-NoPhi-Signed,bsd100,x8,x4,10,54.88173693227962,0.0018897154302070797,0.003702948777936399,0.003772424696944654,0.0003384736646694364
SC-INR-NoPhi-Signed,urban100,x16,x4,10,47.90718407639067,0.0043358787794692865,0.00789841115474701,0.007942232256755232,0.0005724035672756145
SC-INR-NoPhi-Signed,urban100,x30,x4,10,48.30309454666657,0.004185394200626003,0.0074449005536735054,0.007401334913447499,0.0008279850582766813
SC-INR-NoPhi-Signed,urban100,x8,x4,10,48.09062587967916,0.004156399107633954,0.007980044838041067,0.008008674066513777,0.0004990271801943891
SC-INR-NoSinc,bsd100,x16,x4,10,73.76884255028452,0.00021578335294381745,0.0004014374135294929,0.0003770495663047768,7.251527895277832e-05
SC-INR-NoSinc,bsd100,x30,x4,10,68.70539401589426,0.00037600023106496244,0.0007060094911139458,0.0005629316132399253,0.000113297894858988
SC-INR-NoSinc,bsd100,x8,x4,10,64.78666029836128,0.000597712258302898,0.0011240371968597174,0.001156522409291938,0.00017397749925294193
SC-INR-NoSinc,urban100,x16,x4,10,68.39470540807142,0.00040112560484463434,0.0007427152100717649,0.0007306780840735883,9.505321177130099e-05
SC-INR-NoSinc,urban100,x30,x4,10,67.12695968270444,0.00046440289966838877,0.000942510346067138,0.0008300526591483503,9.199696542054881e-05
SC-INR-NoSinc,urban100,x8,x4,10,58.35053037755547,0.0012714383208865276,0.00235354338074103,0.0024493621313013136,0.00019745664758374915
