model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
Bicubic,bsd100,101085.png,x4,23.14095907867879,0.6260880482852127,0.0696549598241498,0.10918517410755157,0.11682140082120895,0.02798020839691162,0.19998350739479065,6.58643579319272e-08,6.379931307105641e-08,1.3412096074939207e-08
LTE,bsd100,101085.png,x4,24.0695213414414,0.6934728503105696,0.06259273563273465,0.09612035751342773,0.09945949167013168,0.026586471125483513,0.19465719163417816,2.6371972895698862e-08,5.334532603082375e-08,1.2979299378620228e-08
SC-INR-NoPhi,bsd100,101085.png,x4,24.028379078384198,0.6920806870701138,0.06288992055060076,0.09675262123346329,0.10049799084663391,0.026560110971331596,0.19519689679145813,2.617341724932304e-08,5.407041209076743e-08,1.3043566346043331e-08
SC-INR-NoPhi-Signed,bsd100,101085.png,x4,24.043093162762137,0.6915634884045556,0.06278347385577752,0.09665810316801071,0.10013904422521591,0.0265815369784832,0.19502799212932587,2.651897395316096e-08,5.371925035921535e-08,1.3035465130056812e-08
SC-INR,bsd100,101085.png,x4,24.070917333876615,0.6940559432190891,0.06258267656363485,0.09617125988006592,0.09958592802286148,0.02658284455537796,0.19472970068454742,2.5980016383312217e-08,5.33738429285605e-08,1.2995890811398975e-08
SC-INR-NoSinc,bsd100,101085.png,x4,24.008781025739083,0.6908329988551477,0.06303197986112132,0.09723515063524246,0.10078327357769012,0.026592915877699852,0.19615048170089722,2.6324234670053112e-08,5.4038456614622754e-08,1.3239984074407799e-08
Bicubic,bsd100,101085.png,x8,21.47672037303222,0.4423888763765017,0.08436532450760677,0.1252794712781906,0.14217878878116608,0.03507884591817856,0.19826318323612213,3.021271313806222e-07,6.580944829915418e-08,1.3660233988936236e-08
LTE,bsd100,101085.png,x8,22.414501356205854,0.5200717187432186,0.07573121633744567,0.11578357219696045,0.1231476292014122,0.0311663206666708,0.19682133197784424,1.804489277420055e-07,6.210452962129758e-08,1.3618690873745524e-08
SC-INR-NoPhi,bsd100,101085.png,x8,22.442716217873787,0.5208217568991315,0.075485613505611,0.11536512523889542,0.12262804061174393,0.030914491042494774,0.19695918262004852,1.7704194816970972e-07,6.196603819287716e-08,1.365332551072992e-08
SC-INR-NoPhi-Signed,bsd100,101085.png,x8,22.444455656526895,0.5206677665063815,0.07547049824938666,0.11523561924695969,0.12272735685110092,0.031065672636032104,0.1969490498304367,1.7659654791710828e-07,6.205064306594067e-08,1.3635036670326154e-08
