y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
240,288,96,SC-INR+PhiZ,LTE,39.200186,37.349488,39.006180,1.850698,0.194006,0.016632
0,288,96,SC-INR+PhiZ,LTE,38.021836,36.351730,37.342805,1.670106,0.679031,0.008745
432,240,96,SC-INR+PhiZ,LTE,30.883066,29.570465,30.726406,1.312601,0.156660,0.017060
432,192,96,SC-INR+PhiZ,LTE,32.977882,31.740085,32.813464,1.237798,0.164418,0.009345
192,288,96,SC-INR+PhiZ,LTE,39.210725,38.092345,38.856153,1.118380,0.354572,0.010208
0,336,96,SC-INR+PhiZ,LTE,28.483912,27.382729,28.146801,1.101184,0.337111,0.016558
48,144,96,SC-INR+PhiZ,LTE,28.700322,27.638369,28.228874,1.061953,0.471448,0.026017
432,144,96,SC-INR+PhiZ,LTE,33.597928,32.564373,33.114034,1.033555,0.483894,0.009078
384,624,96,SC-INR+PhiZ,LTE,31.505590,30.521757,31.454333,0.983834,0.051257,0.024670
336,240,96,SC-INR+PhiZ,LTE,26.114352,25.146169,25.564397,0.968183,0.549954,0.024719
240,336,96,SC-INR+PhiZ,LTE,30.932712,29.976558,30.892017,0.956155,0.040695,0.022988
48,336,96,SC-INR+PhiZ,LTE,27.942312,27.066444,27.983146,0.875868,-0.040834,0.017436
288,240,96,SC-INR+PhiZ,LTE,25.006556,24.151983,24.541418,0.854573,0.465138,0.022329
240,96,96,SC-INR+PhiZ,LTE,25.337148,24.549235,25.046264,0.787913,0.290883,0.019471
96,48,96,SC-INR+PhiZ,LTE,31.265330,30.579764,30.919346,0.685565,0.345983,0.019848
288,288,96,SC-INR+PhiZ,LTE,29.802926,29.150833,29.787038,0.652093,0.015888,0.021073
0,0,96,SC-INR+PhiZ,LTE,19.607906,18.973352,19.477748,0.634554,0.130158,0.040306
144,144,96,SC-INR+PhiZ,LTE,22.177565,21.576201,21.735081,0.601364,0.442484,0.025205
480,192,96,SC-INR+PhiZ,LTE,33.411119,32.849076,33.483562,0.562043,-0.072443,0.007132
144,96,96,SC-INR+PhiZ,LTE,23.258188,22.728749,22.587740,0.529440,0.670449,0.029914
336,624,96,SC-INR+PhiZ,LTE,31.660691,31.146496,32.096562,0.514196,-0.435871,0.012376
480,144,96,SC-INR+PhiZ,LTE,32.642133,32.130018,32.549282,0.512115,0.092851,0.006099
240,240,96,SC-INR+PhiZ,LTE,25.076197,24.564773,25.044688,0.511424,0.031509,0.021872
192,144,96,SC-INR+PhiZ,LTE,26.170199,25.683731,25.670429,0.486468,0.499770,0.021436
48,288,96,SC-INR+PhiZ,LTE,34.181669,33.700119,33.875919,0.481551,0.305750,0.011409
480,576,96,SC-INR+PhiZ,LTE,33.594263,33.149766,33.516611,0.444497,0.077652,0.017231
48,480,96,SC-INR+PhiZ,LTE,22.380953,21.955059,22.356609,0.425895,0.024344,0.025019
96,0,96,SC-INR+PhiZ,LTE,29.931004,29.508684,30.154781,0.422321,-0.223777,0.016357
480,432,96,SC-INR+PhiZ,LTE,20.920592,20.501778,20.834014,0.418814,0.086579,0.019233
0,240,96,SC-INR+PhiZ,LTE,26.139456,25.746395,25.796817,0.393061,0.342638,0.018697
480,240,96,SC-INR+PhiZ,LTE,31.204817,30.814793,31.147920,0.390024,0.056897,0.011750
288,576,96,SC-INR+PhiZ,LTE,28.484777,28.118236,28.451295,0.366541,0.033482,0.010527
48,432,96,SC-INR+PhiZ,LTE,22.826274,22.461248,22.676764,0.365026,0.149510,0.020090
288,624,96,SC-INR+PhiZ,LTE,33.184598,32.821786,33.694597,0.362813,-0.509998,0.012402
336,432,96,SC-INR+PhiZ,LTE,22.826737,22.469571,22.654798,0.357167,0.171939,0.017072
96,528,96,SC-INR+PhiZ,LTE,21.520110,21.167858,21.121716,0.352253,0.398394,0.021891
384,576,96,SC-INR+PhiZ,LTE,26.137618,25.791058,26.364754,0.346560,-0.227136,0.027240
96,432,96,SC-INR+PhiZ,LTE,22.744180,22.406717,22.604639,0.337463,0.139540,0.021684
384,144,96,SC-INR+PhiZ,LTE,30.008242,29.706619,29.825984,0.301623,0.182258,0.010571
240,624,96,SC-INR+PhiZ,LTE,30.834434,30.538957,30.945160,0.295476,-0.110726,0.014173
144,624,96,SC-INR+PhiZ,LTE,27.201449,26.926117,27.041205,0.275332,0.160245,0.020417
336,480,96,SC-INR+PhiZ,LTE,23.598708,23.326960,23.535961,0.271747,0.062746,0.029544
144,576,96,SC-INR+PhiZ,LTE,22.373806,22.108427,22.060714,0.265379,0.313092,0.016948
240,576,96,SC-INR+PhiZ,LTE,25.073154,24.819650,25.130968,0.253504,-0.057815,0.010932
96,384,96,SC-INR+PhiZ,LTE,21.898727,21.665706,21.784009,0.233021,0.114718,0.014066
192,192,96,SC-INR+PhiZ,LTE,26.182299,25.953120,25.927387,0.229179,0.254911,0.018346
0,480,96,SC-INR+PhiZ,LTE,21.265175,21.038128,21.123638,0.227048,0.141537,0.013949
0,432,96,SC-INR+PhiZ,LTE,20.904951,20.686976,20.789962,0.217975,0.114988,0.014339
192,96,96,SC-INR+PhiZ,LTE,26.712449,26.499367,26.420739,0.213082,0.291710,0.019603
432,336,96,SC-INR+PhiZ,LTE,30.395163,30.185091,29.943016,0.210072,0.452147,0.010014
336,288,96,SC-INR+PhiZ,LTE,26.009215,25.812611,26.264415,0.196605,-0.255200,0.024001
48,384,96,SC-INR+PhiZ,LTE,21.120675,20.928199,20.923075,0.192476,0.197600,0.014723
384,432,96,SC-INR+PhiZ,LTE,23.877962,23.687280,24.162409,0.190683,-0.284446,0.015741
336,192,96,SC-INR+PhiZ,LTE,24.995072,24.812098,24.870716,0.182975,0.124357,0.011033
432,432,96,SC-INR+PhiZ,LTE,22.643995,22.462474,22.674253,0.181521,-0.030259,0.022189
336,384,96,SC-INR+PhiZ,LTE,21.765540,21.595859,21.792978,0.169681,-0.027439,0.025358
288,528,96,SC-INR+PhiZ,LTE,20.547046,20.382978,20.499127,0.164068,0.047919,0.024887
96,336,96,SC-INR+PhiZ,LTE,30.045566,29.886094,30.197775,0.159473,-0.152209,0.016712
192,240,96,SC-INR+PhiZ,LTE,26.175668,26.022381,26.060833,0.153287,0.114836,0.018758
144,528,96,SC-INR+PhiZ,LTE,21.987008,21.834260,21.623479,0.152748,0.363529,0.026826
336,576,96,SC-INR+PhiZ,LTE,23.996233,23.852170,24.065775,0.144064,-0.069542,0.016852
480,288,96,SC-INR+PhiZ,LTE,32.499784,32.356437,33.418376,0.143347,-0.918592,0.009341
240,48,96,SC-INR+PhiZ,LTE,24.373908,24.232494,24.141673,0.141414,0.232235,0.016000
96,240,96,SC-INR+PhiZ,LTE,24.712500,24.573476,25.012397,0.139024,-0.299897,0.023024
0,528,96,SC-INR+PhiZ,LTE,22.457898,22.331079,22.350639,0.126819,0.107260,0.010988
432,288,96,SC-INR+PhiZ,LTE,31.406567,31.282790,32.822761,0.123777,-1.416194,0.012854
240,144,96,SC-INR+PhiZ,LTE,25.632101,25.509208,25.766510,0.122893,-0.134409,0.026011
384,240,96,SC-INR+PhiZ,LTE,27.905578,27.785038,28.676182,0.120541,-0.770603,0.021393
384,192,96,SC-INR+PhiZ,LTE,27.906308,27.789125,27.922249,0.117183,-0.015941,0.013365
240,384,96,SC-INR+PhiZ,LTE,20.217675,20.106687,20.190595,0.110987,0.027079,0.034582
96,576,96,SC-INR+PhiZ,LTE,23.353881,23.249028,23.395248,0.104853,-0.041367,0.015693
432,624,96,SC-INR+PhiZ,LTE,36.647284,36.544318,36.662750,0.102966,-0.015466,0.017994
288,432,96,SC-INR+PhiZ,LTE,22.554453,22.454020,22.333467,0.100433,0.220985,0.022282
48,528,96,SC-INR+PhiZ,LTE,20.130264,20.032670,20.155068,0.097594,-0.024804,0.018285
144,0,96,SC-INR+PhiZ,LTE,23.147071,23.049567,22.951239,0.097504,0.195833,0.034536
288,336,96,SC-INR+PhiZ,LTE,22.676187,22.581137,22.658853,0.095049,0.017334,0.025675
384,480,96,SC-INR+PhiZ,LTE,21.593536,21.498763,21.658076,0.094773,-0.064540,0.033783
432,576,96,SC-INR+PhiZ,LTE,32.103990,32.011129,32.333195,0.092861,-0.229205,0.028591
288,192,96,SC-INR+PhiZ,LTE,23.581474,23.494763,23.506495,0.086711,0.074978,0.016155
288,480,96,SC-INR+PhiZ,LTE,19.726458,19.653614,19.629021,0.072844,0.097437,0.027980
144,480,96,SC-INR+PhiZ,LTE,24.530314,24.457774,24.660986,0.072540,-0.130672,0.017931
192,336,96,SC-INR+PhiZ,LTE,25.508907,25.437989,25.560322,0.070918,-0.051415,0.007270
288,48,96,SC-INR+PhiZ,LTE,19.476631,19.406005,19.521326,0.070626,-0.044694,0.019894
144,192,96,SC-INR+PhiZ,LTE,23.777369,23.708080,23.692113,0.069289,0.085256,0.029796
0,576,96,SC-INR+PhiZ,LTE,23.285595,23.221982,23.103060,0.063613,0.182535,0.013319
288,384,96,SC-INR+PhiZ,LTE,25.645767,25.589810,25.700010,0.055957,-0.054243,0.024258
144,288,96,SC-INR+PhiZ,LTE,40.006201,39.955542,39.604304,0.050659,0.401897,0.006357
480,528,96,SC-INR+PhiZ,LTE,23.955962,23.905306,23.967776,0.050656,-0.011814,0.026176
384,96,96,SC-INR+PhiZ,LTE,26.310464,26.260875,26.410996,0.049589,-0.100531,0.016523
384,384,96,SC-INR+PhiZ,LTE,21.559857,21.514762,21.563909,0.045094,-0.004052,0.015822
288,0,96,SC-INR+PhiZ,LTE,19.344452,19.302624,19.379586,0.041827,-0.035134,0.027623
96,144,96,SC-INR+PhiZ,LTE,22.091091,22.049311,22.496344,0.041780,-0.405253,0.034072
192,624,96,SC-INR+PhiZ,LTE,29.565019,29.523492,29.482538,0.041527,0.082481,0.011376
96,288,96,SC-INR+PhiZ,LTE,31.402628,31.362013,31.097040,0.040615,0.305588,0.016111
192,576,96,SC-INR+PhiZ,LTE,22.349664,22.315675,22.353485,0.033990,-0.003821,0.013417
384,336,96,SC-INR+PhiZ,LTE,23.829418,23.796393,23.795848,0.033025,0.033570,0.012083
384,528,96,SC-INR+PhiZ,LTE,19.210590,19.178793,19.194367,0.031797,0.016223,0.031727
432,480,96,SC-INR+PhiZ,LTE,20.291621,20.262688,20.327503,0.028933,-0.035882,0.030320
0,192,96,SC-INR+PhiZ,LTE,18.998787,18.975384,18.813803,0.023403,0.184984,0.032675
