y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
264,0,96,SC-INR+PhiZ,LTE,22.806605,22.586974,22.775743,0.219632,0.030862,0.041392
144,96,96,SC-INR+PhiZ,LTE,18.861903,18.720180,18.519481,0.141723,0.342421,0.043147
192,48,96,SC-INR+PhiZ,LTE,19.375727,19.265493,19.179645,0.110234,0.196082,0.041665
0,48,96,SC-INR+PhiZ,LTE,20.298719,20.194695,20.165130,0.104023,0.133589,0.056179
144,48,96,SC-INR+PhiZ,LTE,19.960123,19.888963,19.877154,0.071160,0.082969,0.038836
240,0,96,SC-INR+PhiZ,LTE,22.601743,22.538954,22.663644,0.062790,-0.061900,0.036801
96,96,96,SC-INR+PhiZ,LTE,18.986616,18.925799,18.733412,0.060817,0.253203,0.030451
0,96,96,SC-INR+PhiZ,LTE,19.793304,19.750735,19.682618,0.042568,0.110686,0.053236
144,152,96,SC-INR+PhiZ,LTE,18.480857,18.464232,18.320040,0.016625,0.160816,0.047847
192,96,96,SC-INR+PhiZ,LTE,17.819040,17.816936,17.736879,0.002104,0.082161,0.053971
192,152,96,SC-INR+PhiZ,LTE,20.054505,20.056165,20.106263,-0.001659,-0.051757,0.049911
48,48,96,SC-INR+PhiZ,LTE,19.500713,19.507575,19.404849,-0.006863,0.095864,0.048543
48,0,96,SC-INR+PhiZ,LTE,21.753785,21.764744,21.688028,-0.010959,0.065757,0.026708
192,0,96,SC-INR+PhiZ,LTE,21.170109,21.182208,21.153228,-0.012099,0.016881,0.029985
144,144,96,SC-INR+PhiZ,LTE,18.659482,18.671811,18.480366,-0.012329,0.179116,0.048811
144,0,96,SC-INR+PhiZ,LTE,20.690507,20.749300,20.720499,-0.058793,-0.029992,0.030750
192,144,96,SC-INR+PhiZ,LTE,19.813618,19.876785,19.884470,-0.063167,-0.070852,0.052471
0,0,96,SC-INR+PhiZ,LTE,22.031249,22.094548,22.013987,-0.063300,0.017261,0.031155
240,48,96,SC-INR+PhiZ,LTE,21.680661,21.764815,21.479983,-0.084153,0.200678,0.049856
48,96,96,SC-INR+PhiZ,LTE,18.262123,18.350701,18.268753,-0.088579,-0.006631,0.046929
96,48,96,SC-INR+PhiZ,LTE,20.435117,20.527192,20.451479,-0.092075,-0.016362,0.029759
264,48,96,SC-INR+PhiZ,LTE,20.931189,21.032822,20.803900,-0.101633,0.127290,0.049613
96,152,96,SC-INR+PhiZ,LTE,18.771840,18.881538,18.715351,-0.109698,0.056489,0.040062
0,152,96,SC-INR+PhiZ,LTE,18.788334,18.905807,18.863442,-0.117473,-0.075108,0.031577
96,144,96,SC-INR+PhiZ,LTE,18.822376,18.951351,18.757196,-0.128975,0.065181,0.039437
0,144,96,SC-INR+PhiZ,LTE,18.852419,18.994050,18.928585,-0.141631,-0.076166,0.031618
264,144,96,SC-INR+PhiZ,LTE,19.975785,20.132456,20.012776,-0.156672,-0.036991,0.049697
264,96,96,SC-INR+PhiZ,LTE,18.468534,18.652168,18.456133,-0.183634,0.012401,0.046673
240,144,96,SC-INR+PhiZ,LTE,20.157920,20.351149,20.247044,-0.193229,-0.089124,0.048082
264,152,96,SC-INR+PhiZ,LTE,20.410728,20.609955,20.456898,-0.199227,-0.046170,0.045470
240,152,96,SC-INR+PhiZ,LTE,20.551307,20.762311,20.619234,-0.211005,-0.067927,0.043722
240,96,96,SC-INR+PhiZ,LTE,19.162561,19.386993,19.209866,-0.224432,-0.047306,0.046451
96,0,96,SC-INR+PhiZ,LTE,21.521899,21.747447,21.665592,-0.225548,-0.143694,0.022492
48,152,96,SC-INR+PhiZ,LTE,19.522457,19.754174,19.730964,-0.231717,-0.208508,0.038175
48,144,96,SC-INR+PhiZ,LTE,19.256596,19.502879,19.463560,-0.246282,-0.206964,0.039712
