y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
480,0,96,SC-INR+PhiZ,LTE,101.622521,96.965745,99.601140,4.656776,2.021381,0.000005
96,240,96,SC-INR+PhiZ,LTE,16.273117,14.154723,14.703759,2.118394,1.569358,0.162689
192,144,96,SC-INR+PhiZ,LTE,33.303723,31.659189,34.412696,1.644534,-1.108973,0.015920
96,192,96,SC-INR+PhiZ,LTE,19.478788,17.917049,18.103122,1.561738,1.375665,0.110046
144,144,96,SC-INR+PhiZ,LTE,29.874390,28.411192,30.739656,1.463198,-0.865266,0.043018
144,240,96,SC-INR+PhiZ,LTE,20.300648,18.861690,19.636888,1.438958,0.663760,0.118132
96,288,96,SC-INR+PhiZ,LTE,17.251110,15.896791,16.936456,1.354319,0.314654,0.158092
48,192,96,SC-INR+PhiZ,LTE,18.337410,17.079723,17.559065,1.257687,0.778345,0.113631
192,192,96,SC-INR+PhiZ,LTE,34.478043,33.264865,34.622931,1.213178,-0.144888,0.042890
48,384,96,SC-INR+PhiZ,LTE,16.902085,15.896651,15.225531,1.005433,1.676553,0.164049
240,144,96,SC-INR+PhiZ,LTE,26.237038,25.260948,25.748659,0.976089,0.488378,0.026236
144,288,96,SC-INR+PhiZ,LTE,21.514995,20.546739,21.146268,0.968256,0.368727,0.087747
528,48,96,SC-INR+PhiZ,LTE,29.294757,28.462537,28.057915,0.832220,1.236842,0.129565
0,384,96,SC-INR+PhiZ,LTE,18.092195,17.284961,16.459256,0.807233,1.632939,0.154407
48,336,96,SC-INR+PhiZ,LTE,16.461098,15.662543,15.843790,0.798555,0.617309,0.168152
240,336,96,SC-INR+PhiZ,LTE,25.089718,24.326986,24.869788,0.762732,0.219930,0.050113
528,0,96,SC-INR+PhiZ,LTE,29.917898,29.166447,28.774854,0.751451,1.143043,0.133183
528,384,96,SC-INR+PhiZ,LTE,33.102351,32.368054,32.461807,0.734297,0.640545,0.040729
432,144,96,SC-INR+PhiZ,LTE,33.480569,32.750033,33.326400,0.730536,0.154169,0.020565
0,336,96,SC-INR+PhiZ,LTE,18.048913,17.345992,17.329159,0.702921,0.719755,0.151700
192,336,96,SC-INR+PhiZ,LTE,24.344780,23.642304,24.124210,0.702477,0.220570,0.041262
