y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
96,480,96,SC-INR+PhiZ,LTE,25.131224,24.567081,25.140714,0.564143,-0.009491,0.030354
48,192,96,SC-INR+PhiZ,LTE,21.220149,20.690169,21.192694,0.529980,0.027455,0.083672
96,488,96,SC-INR+PhiZ,LTE,26.486213,25.978759,26.412322,0.507454,0.073891,0.024194
192,240,96,SC-INR+PhiZ,LTE,26.216917,25.735210,25.972060,0.481707,0.244856,0.015087
144,288,96,SC-INR+PhiZ,LTE,18.614757,18.142619,18.450359,0.472138,0.164398,0.044527
0,192,96,SC-INR+PhiZ,LTE,22.073764,21.602298,22.225685,0.471466,-0.151921,0.030737
0,384,96,SC-INR+PhiZ,LTE,26.072555,25.700480,26.280619,0.372075,-0.208063,0.009402
240,432,96,SC-INR+PhiZ,LTE,19.158100,18.806485,18.881060,0.351615,0.277040,0.046298
96,48,96,SC-INR+PhiZ,LTE,23.354062,23.097732,23.293289,0.256331,0.060774,0.041800
144,488,96,SC-INR+PhiZ,LTE,21.231489,20.993234,21.170433,0.238255,0.061055,0.036631
0,96,96,SC-INR+PhiZ,LTE,20.846551,20.611169,21.065167,0.235382,-0.218617,0.023812
144,0,96,SC-INR+PhiZ,LTE,28.179895,27.961671,28.149195,0.218224,0.030700,0.029505
0,144,96,SC-INR+PhiZ,LTE,19.755210,19.540277,19.984408,0.214932,-0.229198,0.037155
192,0,96,SC-INR+PhiZ,LTE,27.703555,27.492268,27.568150,0.211287,0.135406,0.020769
192,288,96,SC-INR+PhiZ,LTE,23.002186,22.793779,23.005667,0.208407,-0.003481,0.028905
192,432,96,SC-INR+PhiZ,LTE,15.732405,15.538584,15.549251,0.193821,0.183155,0.044940
240,96,96,SC-INR+PhiZ,LTE,22.324178,22.130535,22.267917,0.193643,0.056261,0.036018
48,48,96,SC-INR+PhiZ,LTE,22.604023,22.431716,22.581992,0.172307,0.022031,0.028488
192,384,96,SC-INR+PhiZ,LTE,20.254378,20.082206,20.059367,0.172172,0.195012,0.037703
144,480,96,SC-INR+PhiZ,LTE,19.506596,19.335846,19.509470,0.170749,-0.002874,0.043382
0,240,96,SC-INR+PhiZ,LTE,21.382547,21.220103,21.972133,0.162445,-0.589586,0.024154
192,192,96,SC-INR+PhiZ,LTE,26.588709,26.429440,26.492555,0.159269,0.096155,0.014992
288,96,96,SC-INR+PhiZ,LTE,23.620302,23.491248,23.506740,0.129053,0.113561,0.024003
240,480,96,SC-INR+PhiZ,LTE,20.842662,20.715934,20.772496,0.126728,0.070166,0.046330
48,144,96,SC-INR+PhiZ,LTE,19.227252,19.107520,19.403637,0.119733,-0.176385,0.087316
48,0,96,SC-INR+PhiZ,LTE,30.032159,29.913809,29.923662,0.118350,0.108497,0.001757
288,48,96,SC-INR+PhiZ,LTE,24.110355,23.996848,24.088716,0.113507,0.021640,0.023122
288,488,96,SC-INR+PhiZ,LTE,25.595166,25.496737,25.517466,0.098429,0.077699,0.034515
240,48,96,SC-INR+PhiZ,LTE,23.946081,23.848297,23.919728,0.097784,0.026353,0.029262
48,96,96,SC-INR+PhiZ,LTE,18.598195,18.502102,18.828061,0.096093,-0.229866,0.071755
144,336,96,SC-INR+PhiZ,LTE,15.217108,15.131386,15.439996,0.085721,-0.222888,0.043857
0,0,96,SC-INR+PhiZ,LTE,31.129056,31.047993,31.033387,0.081064,0.095669,0.001791
0,432,96,SC-INR+PhiZ,LTE,30.638946,30.557911,30.537828,0.081034,0.101117,0.002858
240,144,96,SC-INR+PhiZ,LTE,23.431348,23.352498,23.394594,0.078850,0.036754,0.030908
144,48,96,SC-INR+PhiZ,LTE,26.219608,26.147349,26.194421,0.072260,0.025187,0.037268
288,288,96,SC-INR+PhiZ,LTE,24.195081,24.124244,24.628689,0.070837,-0.433609,0.018578
240,488,96,SC-INR+PhiZ,LTE,21.759487,21.689650,21.763466,0.069837,-0.003979,0.044348
192,336,96,SC-INR+PhiZ,LTE,19.380182,19.317393,19.432440,0.062789,-0.052258,0.036190
0,48,96,SC-INR+PhiZ,LTE,28.326835,28.266144,28.141657,0.060691,0.185178,0.005629
240,288,96,SC-INR+PhiZ,LTE,22.517415,22.462490,22.693125,0.054925,-0.175710,0.022478
288,0,96,SC-INR+PhiZ,LTE,24.887610,24.841891,24.878168,0.045719,0.009442,0.006267
192,48,96,SC-INR+PhiZ,LTE,24.642850,24.598691,24.616499,0.044158,0.026350,0.032289
240,384,96,SC-INR+PhiZ,LTE,22.120732,22.077596,22.239557,0.043136,-0.118825,0.031739
0,488,96,SC-INR+PhiZ,LTE,30.288778,30.245662,30.248970,0.043116,0.039808,0.001914
0,480,96,SC-INR+PhiZ,LTE,30.351411,30.311035,30.290208,0.040376,0.061203,0.001889
192,480,96,SC-INR+PhiZ,LTE,18.133596,18.106658,18.120621,0.026937,0.012975,0.040047
288,480,96,SC-INR+PhiZ,LTE,25.213981,25.188351,25.198156,0.025630,0.015825,0.035157
240,192,96,SC-INR+PhiZ,LTE,25.173380,25.157839,25.205479,0.015542,-0.032099,0.020576
192,488,96,SC-INR+PhiZ,LTE,19.712862,19.706008,19.723288,0.006855,-0.010425,0.035391
240,240,96,SC-INR+PhiZ,LTE,25.065057,25.080140,25.188583,-0.015084,-0.123527,0.006999
96,0,96,SC-INR+PhiZ,LTE,29.431546,29.456316,29.543284,-0.024770,-0.111739,0.013688
240,336,96,SC-INR+PhiZ,LTE,21.174900,21.202053,21.508810,-0.027152,-0.333909,0.035007
240,0,96,SC-INR+PhiZ,LTE,26.913392,26.951370,26.913196,-0.037978,0.000196,0.004798
192,96,96,SC-INR+PhiZ,LTE,19.398597,19.438695,19.176253,-0.040097,0.222345,0.040728
48,240,96,SC-INR+PhiZ,LTE,19.133649,19.175247,19.466585,-0.041598,-0.332935,0.078058
48,488,96,SC-INR+PhiZ,LTE,28.580250,28.625010,28.606058,-0.044761,-0.025808,0.004166
144,432,96,SC-INR+PhiZ,LTE,17.204816,17.258570,16.770804,-0.053753,0.434013,0.057483
48,480,96,SC-INR+PhiZ,LTE,28.472913,28.530935,28.515402,-0.058022,-0.042490,0.005657
144,240,96,SC-INR+PhiZ,LTE,20.406137,20.464576,20.261519,-0.058439,0.144619,0.047927
144,384,96,SC-INR+PhiZ,LTE,17.363392,17.443596,17.556808,-0.080204,-0.193416,0.055760
288,432,96,SC-INR+PhiZ,LTE,24.613016,24.694942,24.671883,-0.081926,-0.058867,0.035549
288,144,96,SC-INR+PhiZ,LTE,24.220274,24.315022,24.173876,-0.094749,0.046398,0.025471
192,144,96,SC-INR+PhiZ,LTE,21.162550,21.273360,21.012294,-0.110810,0.150256,0.037565
96,192,96,SC-INR+PhiZ,LTE,22.628826,22.789903,22.274972,-0.161078,0.353854,0.067400
288,336,96,SC-INR+PhiZ,LTE,23.668276,23.849953,24.343919,-0.181677,-0.675643,0.027659
288,384,96,SC-INR+PhiZ,LTE,24.234486,24.418182,24.574968,-0.183696,-0.340482,0.020452
96,432,96,SC-INR+PhiZ,LTE,20.890043,21.108545,20.748499,-0.218502,0.141544,0.061917
144,96,96,SC-INR+PhiZ,LTE,19.634376,19.890362,19.062549,-0.255986,0.571827,0.047808
144,192,96,SC-INR+PhiZ,LTE,22.175538,22.439240,22.111894,-0.263702,0.063644,0.048116
288,240,96,SC-INR+PhiZ,LTE,24.691439,24.986516,25.102380,-0.295077,-0.410941,0.008933
96,96,96,SC-INR+PhiZ,LTE,21.885323,22.182440,22.011247,-0.297117,-0.125924,0.063400
48,432,96,SC-INR+PhiZ,LTE,24.508814,24.875383,24.739920,-0.366569,-0.231105,0.029982
144,144,96,SC-INR+PhiZ,LTE,20.881912,21.248595,20.509687,-0.366683,0.372225,0.046888
288,192,96,SC-INR+PhiZ,LTE,24.475024,24.923610,24.891564,-0.448586,-0.416539,0.024926
96,240,96,SC-INR+PhiZ,LTE,19.356517,19.828975,19.071338,-0.472458,0.285179,0.071681
96,384,96,SC-INR+PhiZ,LTE,14.062816,14.540644,14.605441,-0.477828,-0.542625,0.068946
