y,x,size,target_model,baseline_model,target_psnr_y,baseline_psnr_y,sc_inr_psnr_y,delta_target_vs_baseline,delta_target_vs_sc_inr,texture_var_y
480,864,96,SC-INR+PhiZ,LTE,24.664538,21.621134,21.232292,3.043404,3.432246,0.016088
480,816,96,SC-INR+PhiZ,LTE,23.325059,20.375561,18.886925,2.949499,4.438135,0.016625
432,864,96,SC-INR+PhiZ,LTE,23.222353,20.445773,19.616254,2.776580,3.606099,0.020398
480,912,96,SC-INR+PhiZ,LTE,22.883096,20.456953,21.387336,2.426143,1.495759,0.015597
480,928,96,SC-INR+PhiZ,LTE,22.716814,20.539332,21.495244,2.177482,1.221570,0.016432
432,912,96,SC-INR+PhiZ,LTE,22.620741,20.550512,20.837401,2.070230,1.783340,0.022349
432,816,96,SC-INR+PhiZ,LTE,20.620219,18.700108,18.043254,1.920112,2.576966,0.017683
432,928,96,SC-INR+PhiZ,LTE,22.560242,20.880459,21.416695,1.679783,1.143547,0.024268
480,768,96,SC-INR+PhiZ,LTE,20.858262,19.504596,18.911053,1.353666,1.947210,0.015835
384,864,96,SC-INR+PhiZ,LTE,24.745663,23.439348,22.903455,1.306315,1.842208,0.027300
528,816,96,SC-INR+PhiZ,LTE,23.275325,22.233948,21.265473,1.041377,2.009852,0.015058
528,864,96,SC-INR+PhiZ,LTE,24.034136,23.035478,22.836791,0.998658,1.197345,0.015417
528,912,96,SC-INR+PhiZ,LTE,24.566112,23.603762,24.514280,0.962351,0.051832,0.014190
528,928,96,SC-INR+PhiZ,LTE,24.783300,23.982532,24.886446,0.800769,-0.103146,0.013343
192,576,96,SC-INR+PhiZ,LTE,22.129265,21.460509,21.261995,0.668757,0.867270,0.019051
336,528,96,SC-INR+PhiZ,LTE,42.608214,41.987004,42.583328,0.621211,0.024887,0.002069
288,528,96,SC-INR+PhiZ,LTE,42.665061,42.045080,42.641724,0.619981,0.023336,0.001600
384,912,96,SC-INR+PhiZ,LTE,27.495802,26.878857,26.661333,0.616945,0.834469,0.024165
48,928,96,SC-INR+PhiZ,LTE,28.426255,27.835928,28.102692,0.590326,0.323563,0.021455
432,768,96,SC-INR+PhiZ,LTE,18.345738,17.798290,17.604642,0.547449,0.741096,0.017645
384,816,96,SC-INR+PhiZ,LTE,20.738084,20.198404,20.047362,0.539680,0.690722,0.027646
528,768,96,SC-INR+PhiZ,LTE,20.722835,20.196295,20.001240,0.526540,0.721595,0.041194
672,720,96,SC-INR+PhiZ,LTE,29.901028,29.414982,29.324037,0.486045,0.576991,0.076134
336,864,96,SC-INR+PhiZ,LTE,24.997533,24.591070,24.986134,0.406462,0.011399,0.036321
288,864,96,SC-INR+PhiZ,LTE,23.268069,22.907715,23.106135,0.360354,0.161934,0.035024
144,48,96,SC-INR+PhiZ,LTE,30.360332,30.003493,30.249387,0.356838,0.110945,0.007383
96,480,96,SC-INR+PhiZ,LTE,27.308858,26.959716,27.278722,0.349142,0.030136,0.003311
240,576,96,SC-INR+PhiZ,LTE,26.809393,26.484109,26.733289,0.325284,0.076103,0.007615
288,816,96,SC-INR+PhiZ,LTE,20.347437,20.028464,20.229236,0.318973,0.118201,0.056280
432,288,96,SC-INR+PhiZ,LTE,23.644806,23.345966,23.345411,0.298840,0.299395,0.010370
432,336,96,SC-INR+PhiZ,LTE,23.674136,23.383186,23.653871,0.290950,0.020264,0.008870
240,768,96,SC-INR+PhiZ,LTE,21.204224,20.922371,20.965102,0.281853,0.239122,0.044773
144,528,96,SC-INR+PhiZ,LTE,27.981509,27.711699,27.268696,0.269810,0.712813,0.010939
96,336,96,SC-INR+PhiZ,LTE,31.430828,31.162335,31.359278,0.268492,0.071550,0.007522
240,816,96,SC-INR+PhiZ,LTE,19.988551,19.727898,19.711961,0.260653,0.276590,0.049472
48,816,96,SC-INR+PhiZ,LTE,20.954890,20.694842,20.949972,0.260049,0.004918,0.052357
48,864,96,SC-INR+PhiZ,LTE,22.643942,22.385243,22.614801,0.258700,0.029141,0.052803
384,384,96,SC-INR+PhiZ,LTE,25.397724,25.148522,25.478014,0.249203,-0.080290,0.026105
192,624,96,SC-INR+PhiZ,LTE,19.526974,19.294246,19.328591,0.232727,0.198382,0.033350
192,816,96,SC-INR+PhiZ,LTE,20.862804,20.634155,20.572297,0.228648,0.290507,0.043058
384,336,96,SC-INR+PhiZ,LTE,24.375139,24.148302,24.264315,0.226837,0.110824,0.006426
384,288,96,SC-INR+PhiZ,LTE,23.613204,23.393092,23.372359,0.220112,0.240845,0.010849
576,864,96,SC-INR+PhiZ,LTE,24.233805,24.013701,24.512331,0.220104,-0.278526,0.015357
576,96,96,SC-INR+PhiZ,LTE,22.490568,22.275515,22.303532,0.215053,0.187036,0.018003
336,96,96,SC-INR+PhiZ,LTE,22.208889,21.993870,22.155421,0.215018,0.053467,0.020718
144,672,96,SC-INR+PhiZ,LTE,21.931089,21.717900,22.225870,0.213188,-0.294781,0.041150
144,0,96,SC-INR+PhiZ,LTE,30.584267,30.371502,30.676606,0.212765,-0.092339,0.007970
144,96,96,SC-INR+PhiZ,LTE,30.346429,30.133894,30.240142,0.212536,0.106288,0.007818
96,816,96,SC-INR+PhiZ,LTE,20.928300,20.725683,20.905208,0.202617,0.023093,0.048789
96,528,96,SC-INR+PhiZ,LTE,23.699068,23.496997,23.321894,0.202071,0.377174,0.019278
0,720,96,SC-INR+PhiZ,LTE,23.896638,23.698076,23.832464,0.198562,0.064174,0.028256
480,288,96,SC-INR+PhiZ,LTE,24.548037,24.350255,24.366303,0.197782,0.181733,0.006871
0,928,96,SC-INR+PhiZ,LTE,25.719921,25.522687,25.513525,0.197235,0.206396,0.026609
192,0,96,SC-INR+PhiZ,LTE,24.950501,24.758914,24.966966,0.191588,-0.016464,0.008490
144,576,96,SC-INR+PhiZ,LTE,20.437752,20.250573,19.749337,0.187179,0.688416,0.033412
288,288,96,SC-INR+PhiZ,LTE,23.951059,23.765149,23.955272,0.185910,-0.004212,0.005450
240,864,96,SC-INR+PhiZ,LTE,21.979141,21.796939,21.661592,0.182202,0.317549,0.036796
336,288,96,SC-INR+PhiZ,LTE,24.027981,23.847439,23.753320,0.180542,0.274661,0.007153
624,720,96,SC-INR+PhiZ,LTE,27.801664,27.624920,27.510339,0.176744,0.291325,0.037007
