table,item,metric,value,status,source,caveat
multi_seed_core,LIIF,ID mean±std / delta vs LTE,31.0301 ± 0.0274; -0.0485,cite_ok,artifacts/derived/analysis/benchmark_progress_2026-05-09/multiseed_core_summary.csv,3-seed core models only; final SC-INR not included.
multi_seed_core,LIIF,OOD mean±std / delta vs LTE,22.7250 ± 0.0124; +0.0177,cite_ok,artifacts/derived/analysis/benchmark_progress_2026-05-09/multiseed_core_summary.csv,3-seed core models only; final SC-INR not included.
multi_seed_core,LTE,ID mean±std / delta vs LTE,31.0786 ± 0.0296; +0.0000,cite_ok,artifacts/derived/analysis/benchmark_progress_2026-05-09/multiseed_core_summary.csv,3-seed core models only; final SC-INR not included.
multi_seed_core,LTE,OOD mean±std / delta vs LTE,22.7074 ± 0.0137; +0.0000,cite_ok,artifacts/derived/analysis/benchmark_progress_2026-05-09/multiseed_core_summary.csv,3-seed core models only; final SC-INR not included.
multi_seed_core,SC-INR-NoPhi,ID mean±std / delta vs LTE,31.0746 ± 0.0203; -0.0040,cite_ok,artifacts/derived/analysis/benchmark_progress_2026-05-09/multiseed_core_summary.csv,3-seed core models only; final SC-INR not included.
multi_seed_core,SC-INR-NoPhi,OOD mean±std / delta vs LTE,22.7581 ± 0.0105; +0.0507,cite_ok,artifacts/derived/analysis/benchmark_progress_2026-05-09/multiseed_core_summary.csv,3-seed core models only; final SC-INR not included.
seed1_final_candidate,LTE,ID/OOD/All PSNR,31.0450/22.6917/25.4761,preliminary,artifacts/derived/analysis/benchmark_progress_2026-05-09/seed1_signed_phiz_summary.csv,single seed; SC-INR final candidate still needs seed2/3.
seed1_final_candidate,SC-INR-NoPhi,ID/OOD/All PSNR,31.0515/22.7471/25.5152,preliminary,artifacts/derived/analysis/benchmark_progress_2026-05-09/seed1_signed_phiz_summary.csv,single seed; SC-INR final candidate still needs seed2/3.
seed1_final_candidate,SC-INR-NoPhi-Signed,ID/OOD/All PSNR,31.0567/22.7418/25.5134,preliminary,artifacts/derived/analysis/benchmark_progress_2026-05-09/seed1_signed_phiz_summary.csv,single seed; SC-INR final candidate still needs seed2/3.
seed1_final_candidate,SC-INR,ID/OOD/All PSNR,31.1187/22.7766/25.5573,preliminary,artifacts/derived/analysis/benchmark_progress_2026-05-09/seed1_signed_phiz_summary.csv,single seed; SC-INR final candidate still needs seed2/3.
nosinc_ablation_seed1,LTE,ID/OOD/All PSNR,31.0450/22.6917/25.4761,preliminary,artifacts/derived/analysis/benchmark_progress_2026-05-10/seed1_signed_phiz_nosinc_summary.csv,single-seed mechanism ablation; not unique causality proof.
nosinc_ablation_seed1,SC-INR-NoPhi,ID/OOD/All PSNR,31.0515/22.7471/25.5152,preliminary,artifacts/derived/analysis/benchmark_progress_2026-05-10/seed1_signed_phiz_nosinc_summary.csv,single-seed mechanism ablation; not unique causality proof.
nosinc_ablation_seed1,SC-INR,ID/OOD/All PSNR,31.1187/22.7766/25.5573,preliminary,artifacts/derived/analysis/benchmark_progress_2026-05-10/seed1_signed_phiz_nosinc_summary.csv,single-seed mechanism ablation; not unique causality proof.
nosinc_ablation_seed1,SC-INR-NoSinc,ID/OOD/All PSNR,30.9790/22.7299/25.4796,preliminary,artifacts/derived/analysis/benchmark_progress_2026-05-10/seed1_signed_phiz_nosinc_summary.csv,single-seed mechanism ablation; not unique causality proof.
aux_consistency_seed1,LTE,same-LR consistency PSNR-Y BSD100/Urban100/All,44.1914/39.2979/41.7447,diagnostic,artifacts/derived/analysis/sc_inr_nosinc_aux_metrics_seed1/consistency_summary.csv,self-consistency diagnostic; NoSinc high score is cell-insensitive behavior.
aux_consistency_seed1,SC-INR-NoPhi,same-LR consistency PSNR-Y BSD100/Urban100/All,52.8053/47.0694/49.9374,diagnostic,artifacts/derived/analysis/sc_inr_nosinc_aux_metrics_seed1/consistency_summary.csv,self-consistency diagnostic; NoSinc high score is cell-insensitive behavior.
aux_consistency_seed1,SC-INR-NoPhi-Signed,same-LR consistency PSNR-Y BSD100/Urban100/All,52.9039/48.1003/50.5021,diagnostic,artifacts/derived/analysis/sc_inr_nosinc_aux_metrics_seed1/consistency_summary.csv,self-consistency diagnostic; NoSinc high score is cell-insensitive behavior.
aux_consistency_seed1,SC-INR,same-LR consistency PSNR-Y BSD100/Urban100/All,52.1421/47.1128/49.6275,diagnostic,artifacts/derived/analysis/sc_inr_nosinc_aux_metrics_seed1/consistency_summary.csv,self-consistency diagnostic; NoSinc high score is cell-insensitive behavior.
aux_consistency_seed1,SC-INR-NoSinc,same-LR consistency PSNR-Y BSD100/Urban100/All,69.0870/64.6241/66.8555,diagnostic,artifacts/derived/analysis/sc_inr_nosinc_aux_metrics_seed1/consistency_summary.csv,self-consistency diagnostic; NoSinc high score is cell-insensitive behavior.
cell_only_sensitivity,LTE,RMSE-Y vs x4 cell avg over x8/x16/x30,0.007943,diagnostic,artifacts/derived/analysis/response_omega_diagnostics_2026-05-10/cell_response_curve_summary.csv,small-sample mechanism diagnostic; not reconstruction quality.
cell_only_sensitivity,SC-INR-NoPhi,RMSE-Y vs x4 cell avg over x8/x16/x30,0.003308,diagnostic,artifacts/derived/analysis/response_omega_diagnostics_2026-05-10/cell_response_curve_summary.csv,small-sample mechanism diagnostic; not reconstruction quality.
cell_only_sensitivity,SC-INR-NoPhi-Signed,RMSE-Y vs x4 cell avg over x8/x16/x30,0.003055,diagnostic,artifacts/derived/analysis/response_omega_diagnostics_2026-05-10/cell_response_curve_summary.csv,small-sample mechanism diagnostic; not reconstruction quality.
cell_only_sensitivity,SC-INR,RMSE-Y vs x4 cell avg over x8/x16/x30,0.003255,diagnostic,artifacts/derived/analysis/response_omega_diagnostics_2026-05-10/cell_response_curve_summary.csv,small-sample mechanism diagnostic; not reconstruction quality.
cell_only_sensitivity,SC-INR-NoSinc,RMSE-Y vs x4 cell avg over x8/x16/x30,0.000000,diagnostic,artifacts/derived/analysis/response_omega_diagnostics_2026-05-10/cell_response_curve_summary.csv,small-sample mechanism diagnostic; not reconstruction quality.
selected_qualitative,urban100_img004_x8,crop PSNR-Y Bicubic/LTE/SC-INR-NoPhi/SC-INR,16.2966/19.0226/20.8467/21.4880,candidate,artifacts/derived/paper_figures/qualitative_selected_seed1/urban100_img004_x8_selected_gt_bicubic_lte_nophi_scinr_metrics.csv,selected examples only; not average visual quality proof.
selected_qualitative,urban100_img012_x8,crop PSNR-Y Bicubic/LTE/SC-INR-NoPhi/SC-INR,18.8876/20.4458/19.6163/23.2229,candidate,artifacts/derived/paper_figures/qualitative_selected_seed1/urban100_img012_x8_selected_gt_bicubic_lte_nophi_scinr_metrics.csv,selected examples only; not average visual quality proof.
