model,dataset,image,scale,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power
Bicubic,bsd100,101085.png,x4,23.14095907867879,nan,0.0696549598241498,0.10918517410755157,0.11682140082120895,0.02798020839691162,0.19998350739479065,6.58643579319272e-08,6.379931307105641e-08,1.3412096074939207e-08
LIIF,bsd100,101085.png,x4,24.056042456220702,nan,0.0626899433213683,0.09645876288414001,0.09990240633487701,0.02658732607960701,0.19502189755439758,2.5599365085554345e-08,5.367075939335049e-08,1.3036380149155794e-08
LTE,bsd100,101085.png,x4,24.069531148994567,nan,0.0625926649570455,0.09612021595239639,0.09945935010910034,0.02658645622432232,0.19465698301792145,2.6372355852066815e-08,5.3345070337230056e-08,1.2979281057614359e-08
LTE-NoCell,bsd100,101085.png,x4,23.969987494322925,nan,0.06331412732875151,0.09784689545631409,0.1015123501420021,0.026634864509105682,0.19660036265850067,2.6160947293459857e-08,5.4758049253597296e-08,1.3284868640764785e-08
LTE-FeaturePhase,bsd100,101085.png,x4,24.00365570189293,nan,0.06306918441427975,0.09729109704494476,0.10095406323671341,0.026597049087285995,0.19601476192474365,2.5781764039523517e-08,5.4335573213588004e-08,1.320243947023842e-08
SC-INR-Fixed,bsd100,101085.png,x4,24.008547902069832,nan,0.06303367162146269,0.09694326668977737,0.10060632228851318,0.02658332698047161,0.19521719217300415,2.688615566250044e-08,5.4362154643397416e-08,1.301250531951699e-08
SC-INR-Adaptive,bsd100,101085.png,x4,24.028392372711483,nan,0.06288982429350082,0.09675254672765732,0.10049768537282944,0.026560166850686073,0.19519665837287903,2.617370127698426e-08,5.40700780816268e-08,1.3043565689879425e-08
Bicubic,bsd100,101085.png,x8,21.47672037303222,nan,0.08436532450760677,0.1252794712781906,0.14217878878116608,0.03507884591817856,0.19826318323612213,3.021271313806222e-07,6.580944829915418e-08,1.3660233988936236e-08
LIIF,bsd100,101085.png,x8,22.430367084827992,nan,0.07559301123922392,0.11551573872566223,0.12297898530960083,0.031213905662298203,0.1970546841621399,1.77477422090071e-07,6.225178238299592e-08,1.3644257654562948e-08
LTE,bsd100,101085.png,x8,22.414501356205854,nan,0.07573121633744567,0.11578357219696045,0.1231476292014122,0.0311663206666708,0.19682131707668304,1.8044892791960406e-07,6.210452949722926e-08,1.361869090976063e-08
LTE-NoCell,bsd100,101085.png,x8,22.35077600208822,nan,0.07628887312241042,0.11668053269386292,0.12493811547756195,0.03160349652171135,0.19770662486553192,1.7944516848526709e-07,6.415123989560355e-08,1.366566633999688e-08
LTE-FeaturePhase,bsd100,101085.png,x8,22.366270719487783,nan,0.07615290307707641,0.11660515516996384,0.12468477338552475,0.031207900494337082,0.1975812315940857,1.7900160082791354e-07,6.379819546333189e-08,1.3658157495147879e-08
SC-INR-Fixed,bsd100,101085.png,x8,22.39504943497668,nan,0.07590100532405133,0.11588634550571442,0.12330968677997589,0.03128146752715111,0.1970079392194748,1.8202234683895204e-07,6.228805286649907e-08,1.364067607534864e-08
SC-INR-Adaptive,bsd100,101085.png,x8,22.442716217873787,nan,0.075485613505611,0.11536512523889542,0.12262804061174393,0.030914491042494774,0.19695918262004852,1.7704194799442798e-07,6.196603808257444e-08,1.3653325488121977e-08
Bicubic,bsd100,101085.png,x16,19.887023936000357,nan,0.10130918070569983,0.13905510306358337,0.16214574873447418,0.05901863053441048,0.1935408115386963,6.961781368563747e-07,6.847748111547622e-08,1.4305634771672694e-08
LIIF,bsd100,101085.png,x16,20.917783035754095,nan,0.08997271962930208,0.12998121976852417,0.14570799469947815,0.044322602450847626,0.1934109479188919,4.6014322012018436e-07,6.815174040086371e-08,1.4287500865528365e-08
LTE,bsd100,101085.png,x16,20.867270391972713,nan,0.09049747883857276,0.13109737634658813,0.1465596705675125,0.04458420351147652,0.19342286884784698,4.6993532825767407e-07,6.827310248965038e-08,1.4292943171464854e-08
