experiment,model,dataset,image,scale,cell_multiplier,crop_top,crop_left,crop_size,rmse_y_vs_multiplier_1,mean_y,std_y
6.6_cell_intervention,LTE,urban100,img_004.png,x16,0.5,1312,2000,96,0.004794822074472904,0.13322517275810242,0.12259791046380997
6.6_cell_intervention,LTE,urban100,img_004.png,x16,1.0,1312,2000,96,0.0,0.13507772982120514,0.12430070340633392
6.6_cell_intervention,LTE,urban100,img_004.png,x16,2.0,1312,2000,96,0.008919361047446728,0.1390102505683899,0.12787187099456787
6.6_cell_intervention,LTE,urban100,img_004.png,x16,4.0,1312,2000,96,0.01770881935954094,0.1441214382648468,0.13081061840057373
6.6_cell_intervention,LTE-NoCellPhase,urban100,img_004.png,x16,0.5,1312,2000,96,0.0,0.14785581827163696,0.12959042191505432
6.6_cell_intervention,LTE-NoCellPhase,urban100,img_004.png,x16,1.0,1312,2000,96,0.0,0.14785581827163696,0.12959042191505432
6.6_cell_intervention,LTE-NoCellPhase,urban100,img_004.png,x16,2.0,1312,2000,96,0.0,0.14785581827163696,0.12959042191505432
6.6_cell_intervention,LTE-NoCellPhase,urban100,img_004.png,x16,4.0,1312,2000,96,0.0,0.14785581827163696,0.12959042191505432
6.6_cell_intervention,LTE-PhaseZ,urban100,img_004.png,x16,0.5,1312,2000,96,0.0,0.14846573770046234,0.12815341353416443
6.6_cell_intervention,LTE-PhaseZ,urban100,img_004.png,x16,1.0,1312,2000,96,0.0,0.14846573770046234,0.12815341353416443
6.6_cell_intervention,LTE-PhaseZ,urban100,img_004.png,x16,2.0,1312,2000,96,0.0,0.14846573770046234,0.12815341353416443
6.6_cell_intervention,LTE-PhaseZ,urban100,img_004.png,x16,4.0,1312,2000,96,0.0,0.14846573770046234,0.12815341353416443
6.6_cell_intervention,SC-INR,urban100,img_004.png,x16,0.5,1312,2000,96,0.00025585709954611957,0.14456282556056976,0.1334812343120575
6.6_cell_intervention,SC-INR,urban100,img_004.png,x16,1.0,1312,2000,96,0.0,0.14458563923835754,0.1334264725446701
6.6_cell_intervention,SC-INR,urban100,img_004.png,x16,2.0,1312,2000,96,0.0010368135990574956,0.14470641314983368,0.13317397236824036
6.6_cell_intervention,SC-INR,urban100,img_004.png,x16,4.0,1312,2000,96,0.0050785779021680355,0.14546531438827515,0.13190370798110962
6.6_cell_intervention,SC-INR-EQ,urban100,img_004.png,x16,0.5,1312,2000,96,0.00017320350161753595,0.14561454951763153,0.131479874253273
6.6_cell_intervention,SC-INR-EQ,urban100,img_004.png,x16,1.0,1312,2000,96,0.0,0.14562661945819855,0.13143013417720795
6.6_cell_intervention,SC-INR-EQ,urban100,img_004.png,x16,2.0,1312,2000,96,0.0006837333785369992,0.1456851065158844,0.13123458623886108
6.6_cell_intervention,SC-INR-EQ,urban100,img_004.png,x16,4.0,1312,2000,96,0.003343333024531603,0.14597411453723907,0.13050445914268494
