model,dataset,image,source_scale,observation_scale,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LTE,bsd100,101085.png,x8,x4,45.16018322542081,0.005520657935474538,0.009545614942908287,0.009660813957452774,0.001793390023522079
LTE-NoCellPhase,bsd100,101085.png,x8,x4,62.263117941901044,0.0007706267903397282,0.0014118313556537032,0.0014701717300340533,0.00015885147149674594
LTE-PhaseZ,bsd100,101085.png,x8,x4,62.20151301056627,0.0007761119125387417,0.0014424193650484085,0.0015008163172751665,0.00015465386968571693
SC-INR,bsd100,101085.png,x8,x4,50.733928016936815,0.002906053458664601,0.005479717161506414,0.005746467504650354,0.0005415625055320561
SC-INR-NoSinc,bsd100,101085.png,x8,x4,61.59595438705963,0.0008321512706210444,0.001585851307027042,0.001634324318729341,0.00016021577175706625
SC-INR-EQ,bsd100,101085.png,x8,x4,49.24148054274,0.0034508491329380982,0.006994363386183977,0.007141877431422472,0.0005768775590695441
LTE,bsd100,101085.png,x16,x4,38.588967239468474,0.011763908503594236,0.0173606239259243,0.016083471477031708,0.006726154591888189
LTE-NoCellPhase,bsd100,101085.png,x16,x4,70.87227892961874,0.0002860131845182539,0.0005342653021216393,0.0005210527451708913,5.58233296032995e-05
LTE-PhaseZ,bsd100,101085.png,x16,x4,72.1318209035153,0.0002474052748365888,0.00046242750249803066,0.00045036934898234904,5.642700853059068e-05
SC-INR,bsd100,101085.png,x16,x4,46.47841491271087,0.004743285375385384,0.008654367178678513,0.008745557628571987,0.001326038152910769
SC-INR-NoSinc,bsd100,101085.png,x16,x4,69.80839728352278,0.0003232809664960709,0.0006158605101518333,0.0005900771939195693,5.471318218042143e-05
SC-INR-EQ,bsd100,101085.png,x16,x4,47.299412163764444,0.004315482817962876,0.008230696432292461,0.008106707595288754,0.0012131535913795233
LTE,bsd100,101085.png,x30,x4,36.45711420315256,0.01503641452405862,0.019894970580935478,0.01898590661585331,0.012295872904360294
LTE-NoCellPhase,bsd100,101085.png,x30,x4,66.62345157269486,0.0004664739774534328,0.000846005161292851,0.0008092542993836105,0.00013518062769435346
LTE-PhaseZ,bsd100,101085.png,x30,x4,66.02796035066783,0.0004995764786364994,0.0009378125541843474,0.0008743923390284181,0.0001323880278505385
SC-INR,bsd100,101085.png,x30,x4,46.70408448374266,0.004621636408124735,0.007832149975001812,0.007668624632060528,0.002289784839376807
SC-INR-NoSinc,bsd100,101085.png,x30,x4,66.10908544739604,0.0004949322204612755,0.0009432946681044996,0.0008767375256866217,0.0001257494295714423
