model,dataset,source_scale,observation_scale,n,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LTE,bsd100,x16,x4,5,43.01794511479691,0.0074200493389561945,0.01210666736587882,0.01108619524165988,0.0028147797449491916
LTE,bsd100,x30,x4,5,39.89750342392366,0.010524047152982597,0.015142280794680118,0.013875531312078238,0.006354569643735886
LTE,bsd100,x8,x4,5,49.20801304811812,0.0036788599378891978,0.006743278400972485,0.006820808537304402,0.0007676811161218211
LTE,urban100,x16,x4,5,36.31109622542342,0.015831161584807473,0.02597697973251343,0.023928016424179077,0.0026341837423387916
LTE,urban100,x30,x4,5,34.59943249569517,0.01978111141248092,0.031293388456106186,0.029630950093269347,0.0044242928735911844
LTE,urban100,x8,x4,5,41.77880492911478,0.00846848176714427,0.01448483970016241,0.01407840959727764,0.0019780878472374754
LTE-NoCellPhase,bsd100,x16,x4,5,73.12765289452932,0.0002284280476341787,0.00043068720260635017,0.0004019004583824426,5.9160863020224494e-05
LTE-NoCellPhase,bsd100,x30,x4,5,68.22043364427932,0.000396661171380809,0.000745586073026061,0.000591611472191289,0.0001092232865630649
LTE-NoCellPhase,bsd100,x8,x4,5,63.95394930275813,0.0006486639168578683,0.0012318350840359927,0.0012676484417170285,0.00012979175517102703
LTE-NoCellPhase,urban100,x16,x4,5,68.11803681055721,0.0004068498629730225,0.0007521870196796953,0.0007377754314802587,5.72941131395055e-05
LTE-NoCellPhase,urban100,x30,x4,5,65.68785224441527,0.0005285470954997341,0.0010698536061681807,0.0009552180417813361,7.372336931439349e-05
LTE-NoCellPhase,urban100,x8,x4,5,57.87501155958309,0.0013235276385081078,0.0023691102396696806,0.0024830160196870565,0.00017433160537621005
LTE-PhaseZ,bsd100,x16,x4,5,73.735336946474,0.00021360871436153315,0.0004070506198331714,0.00038118039956316354,6.181959179230034e-05
LTE-PhaseZ,bsd100,x30,x4,5,68.28614137504975,0.00039494524480700795,0.0007420978625304997,0.0005907952727284282,0.00010893973958445713
LTE-PhaseZ,bsd100,x8,x4,5,63.91256983995752,0.0006502921381999217,0.0012348717544227838,0.001269174157641828,0.00013678080613317435
LTE-PhaseZ,urban100,x16,x4,5,68.52579831749827,0.0003906860563403513,0.0007235115626826882,0.0007147300289943814,6.50263813440688e-05
LTE-PhaseZ,urban100,x30,x4,5,65.82660183977562,0.000521484979756772,0.0010564333642832935,0.0009314438560977578,7.668506768823135e-05
LTE-PhaseZ,urban100,x8,x4,5,58.00726414867155,0.001307128868771673,0.0023312623845413325,0.002445203228853643,0.00018560590833658353
SC-INR,bsd100,x16,x4,5,50.36653401575765,0.0032616833815139593,0.006128411600366234,0.005882626213133335,0.0007360625430010259
SC-INR,bsd100,x30,x4,5,49.827344428157765,0.0033763401714434933,0.005762284388765693,0.005224536219611764,0.001284082478377968
SC-INR,bsd100,x8,x4,5,53.36806327995437,0.0022352683982531075,0.004372413037344813,0.004444877756759525,0.00032654367460054344
SC-INR,urban100,x16,x4,5,45.371395457627315,0.005668056116071468,0.010098333563655615,0.010051202680915593,0.0006788439444790128
SC-INR,urban100,x30,x4,5,45.26711398981381,0.005860259471469664,0.010282374359667302,0.010401318781077862,0.0010348701980547048
SC-INR,urban100,x8,x4,5,46.42578614282131,0.004981513381616303,0.009189735259860754,0.009025423880666494,0.0007933608620078302
SC-INR-EQ,bsd100,x16,x4,5,50.60220797223494,0.0031528883086097657,0.006222420278936625,0.005851219175383449,0.0006343177636153996
SC-INR-EQ,bsd100,x30,x4,5,50.01817298161703,0.003296155870148762,0.005875890655443072,0.0048254127614200115,0.0012372684897854925
SC-INR-EQ,bsd100,x8,x4,5,52.62963359743024,0.00248706448381777,0.005100189056247473,0.005139081785455346,0.00031001190218375995
SC-INR-EQ,urban100,x16,x4,5,45.13163699732429,0.0058093990369383775,0.010880419425666333,0.010772652458399534,0.0006945282337255775
SC-INR-EQ,urban100,x30,x4,5,45.7933374070147,0.005373452078526839,0.009825638961046934,0.009713879693299532,0.0009952558961231262
SC-INR-EQ,urban100,x8,x4,5,45.883048093869306,0.005285606566357429,0.01002802224829793,0.009851391986012458,0.0007721859437879175
SC-INR-NoSinc,bsd100,x16,x4,5,72.35440249523097,0.00025307523297675677,0.00047678081318736076,0.00043625173857435583,7.922392105683685e-05
SC-INR-NoSinc,bsd100,x30,x4,5,67.92171196198652,0.0004096828203933781,0.000777752953581512,0.0006102624873165041,0.00011419390939408914
SC-INR-NoSinc,bsd100,x8,x4,5,64.02653821785383,0.0006521506770875507,0.0012502821278758346,0.0012802584911696612,0.00015538201587332877
SC-INR-NoSinc,urban100,x16,x4,5,67.12053472580769,0.00045864359802236015,0.0008462192025035619,0.0008241824107244611,9.242976593668573e-05
SC-INR-NoSinc,urban100,x30,x4,5,65.2852531962386,0.0005552449563578621,0.0011295172502286733,0.0009975695633329452,8.88325746927876e-05
SC-INR-NoSinc,urban100,x8,x4,5,57.693523846182906,0.0013501763166834258,0.0024530370952561497,0.002527939365245402,0.00021376039658207446
