model,observation_scale,n,mean_y,std_y,rmse_y_vs_ref_cell,rmse_y_vs_previous_cell
LTE,x1,1,0.2991498112678528,0.23121705651283264,0.05509502440690994,nan
LTE,x1.5,1,0.29883623123168945,0.23600248992443085,0.028991661965847015,0.03964513912796974
LTE,x12,1,0.29533547163009644,0.24126915633678436,0.01230945810675621,0.004916403908282518
LTE,x16,1,0.29486149549484253,0.2410944253206253,0.014478927478194237,0.00289253075607121
LTE,x2,1,0.2983311712741852,0.23783303797245026,0.01925090327858925,0.01344123762100935
LTE,x24,1,0.2943427562713623,0.24088425934314728,0.016976265236735344,0.0031708674505352974
LTE,x3,1,0.2977394461631775,0.2400001734495163,0.0069944728165864944,0.013873604126274586
LTE,x30,1,0.2941160202026367,0.2407885044813156,0.01805446669459343,0.0013464434305205941
LTE,x4,1,0.29738181829452515,0.24094368517398834,0.0,0.0069944728165864944
LTE,x6,1,0.2967221736907959,0.2414584904909134,0.00581733975559473,0.00581733975559473
LTE,x8,1,0.2961506247520447,0.2414654940366745,0.008724926970899105,0.0038899844512343407
LTE-NoCellPhase,x1,1,0.2991786599159241,0.23914800584316254,0.0,nan
LTE-NoCellPhase,x1.5,1,0.2991786599159241,0.23914800584316254,0.0,0.0
LTE-NoCellPhase,x12,1,0.2991786599159241,0.23914800584316254,0.0,0.0
LTE-NoCellPhase,x16,1,0.2991786599159241,0.23914800584316254,0.0,0.0
LTE-NoCellPhase,x2,1,0.2991786599159241,0.23914800584316254,0.0,0.0
LTE-NoCellPhase,x24,1,0.2991786599159241,0.23914800584316254,0.0,0.0
LTE-NoCellPhase,x3,1,0.2991786599159241,0.23914800584316254,0.0,0.0
LTE-NoCellPhase,x30,1,0.2991786599159241,0.23914800584316254,0.0,0.0
LTE-NoCellPhase,x4,1,0.2991786599159241,0.23914800584316254,0.0,0.0
LTE-NoCellPhase,x6,1,0.2991786599159241,0.23914800584316254,0.0,0.0
LTE-NoCellPhase,x8,1,0.2991786599159241,0.23914800584316254,0.0,0.0
LTE-PhaseZ,x1,1,0.2989647090435028,0.23876260221004486,0.0,nan
LTE-PhaseZ,x1.5,1,0.2989647090435028,0.23876260221004486,0.0,0.0
