experiment,model,baseline,scale,split,model_psnr_mean,baseline_psnr_mean,delta_psnr_mean,n_datasets
6.2_scale_gain_curve,SC-INR,LTE,x2,ID,34.0556,33.988275,0.06732499999999852,4
6.2_scale_gain_curve,SC-INR,LTE,x3,ID,30.592950000000002,30.505275000000005,0.08767499999999995,4
6.2_scale_gain_curve,SC-INR,LTE,x4,ID,28.7076,28.6413,0.06629999999999914,4
6.2_scale_gain_curve,SC-INR,LTE,x6,OOD,26.3056,26.24525,0.06035000000000146,4
6.2_scale_gain_curve,SC-INR,LTE,x8,OOD,24.84005,24.7652,0.07485000000000053,4
6.2_scale_gain_curve,SC-INR,LTE,x12,OOD,23.081725,22.989675,0.09205000000000041,4
6.2_scale_gain_curve,SC-INR,LTE,x16,OOD,21.968325,21.87245,0.09587500000000038,4
6.2_scale_gain_curve,SC-INR,LTE,x24,OOD,20.5961,20.503075,0.09302499999999903,4
6.2_scale_gain_curve,SC-INR,LTE,x30,OOD,19.86765,19.774475,0.09317500000000045,4
6.2_scale_gain_curve,SC-INR-EQ,LTE-EQ,x2,ID,34.092675,34.022375,0.07030000000000314,4
6.2_scale_gain_curve,SC-INR-EQ,LTE-EQ,x3,ID,30.616400000000002,30.5262,0.09020000000000028,4
6.2_scale_gain_curve,SC-INR-EQ,LTE-EQ,x4,ID,28.744925,28.653125000000003,0.09179999999999922,4
6.2_scale_gain_curve,SC-INR-EQ,LTE-EQ,x6,OOD,26.316100000000002,26.251450000000002,0.0646500000000012,4
6.2_scale_gain_curve,SC-INR-EQ,LTE-EQ,x8,OOD,24.8632,24.781,0.08220000000000027,4
6.2_scale_gain_curve,SC-INR-EQ,LTE-EQ,x12,OOD,23.06805,23.01215,0.05590000000000028,4
6.2_scale_gain_curve,SC-INR-EQ,LTE-EQ,x16,OOD,21.956775,21.872875,0.08390000000000075,4
6.2_scale_gain_curve,SC-INR-EQ,LTE-EQ,x24,OOD,20.60295,20.508025,0.09492499999999904,4
6.2_scale_gain_curve,SC-INR-EQ,LTE-EQ,x30,OOD,19.860500000000002,19.792425,0.06807499999999944,4
