model,dataset,source_scale,observation_scale,n,consistency_psnr_y,consistency_rmse_y,edge_consistency_rmse,texture_consistency_rmse,flat_consistency_rmse
LIIF,bsd100,x16,x4,10,47.70859291471281,0.004270082139587452,0.00787609671242535,0.007231059344485402,0.0014201232115738094
LIIF,bsd100,x30,x4,10,44.92151513865764,0.005859135313142827,0.00951803890056908,0.008394712279550732,0.0029799572192132475
LIIF,bsd100,x8,x4,10,51.215431579106315,0.002836451510746529,0.005470558744855225,0.00541224917396903,0.0006664831918897108
LIIF,urban100,x16,x4,10,43.70167767390271,0.006865063784714761,0.012673891615122557,0.01186794857494533,0.0015674611655413172
LIIF,urban100,x30,x4,10,43.081822849997,0.007373269348862265,0.013113814406096935,0.011976493196561933,0.002138448058394715
LIIF,urban100,x8,x4,10,45.6051621041439,0.005520819252957514,0.010777822230011225,0.010480910819023848,0.0009626290622691159
LIIF-EQ,bsd100,x16,x4,10,46.146029009452946,0.00517862293167778,0.00960547449067235,0.008649904420599342,0.0014909755729604513
LIIF-EQ,bsd100,x30,x4,10,43.318796618700375,0.007262542351373133,0.012001645984128118,0.010524433641694485,0.0030372404609806834
LIIF-EQ,bsd100,x8,x4,10,49.62741565488235,0.003425258448294986,0.006657050503417849,0.006613373337313533,0.0007172626326791942
LIIF-EQ,urban100,x16,x4,10,40.84742045055156,0.009691845247778249,0.017387107852846383,0.016830307058990003,0.0019306354282889516
LIIF-EQ,urban100,x30,x4,10,40.29008787875555,0.010675419703021194,0.01747926059179008,0.01648088130168617,0.003119492612313479
LIIF-EQ,urban100,x8,x4,10,43.47939438761151,0.007123562265899659,0.013530012406408786,0.01332881087437272,0.001258172866073437
LTE,bsd100,x16,x4,10,43.431283722452555,0.007081934264236642,0.011617236072197556,0.010828724876046181,0.002700670313788578
LTE,bsd100,x30,x4,10,39.87299665203857,0.010584743256989037,0.014805034780874849,0.013485986040905118,0.006539290212094784
LTE,bsd100,x8,x4,10,49.26979914184147,0.003654993458348707,0.0063761233817785975,0.006413460010662675,0.0009443891714909114
LTE,urban100,x16,x4,10,38.42576284111514,0.01301366696654399,0.02153953742235899,0.020267618540674447,0.0025552696984959765
LTE,urban100,x30,x4,10,36.811641888276384,0.01619149332455826,0.02537517910823226,0.023923864774405956,0.004834389901952818
LTE,urban100,x8,x4,10,42.6573829320615,0.007913047356227757,0.013907957402989269,0.01365708434022963,0.001517933077411726
LTE-EQ,bsd100,x16,x4,10,44.804565732432216,0.006090889826006386,0.010486885579302907,0.009755603410303593,0.0018848450912628324
LTE-EQ,bsd100,x30,x4,10,41.371738945617636,0.008959172921931543,0.013911968329921365,0.012129300809465348,0.003953560534864664
LTE-EQ,bsd100,x8,x4,10,50.546333228539574,0.0031337256941737467,0.005437888344749809,0.005507270246744156,0.0008261255570687354
LTE-EQ,urban100,x16,x4,10,40.530050042509394,0.010100145539267167,0.017490425240248443,0.017324592079967262,0.0018130802258383484
LTE-EQ,urban100,x30,x4,10,39.14187451446716,0.011955195961383,0.020285415928810835,0.019795280881226063,0.0029425733082462102
LTE-EQ,urban100,x8,x4,10,44.44014996768412,0.0065371369284275335,0.011639450769871473,0.011559904273599386,0.0013933702692156657
LTE-FeaturePhase,bsd100,x16,x4,10,74.79914447087637,0.00019043381428584958,0.0003605192381655797,0.00034298377286177126,5.50988730537938e-05
LTE-FeaturePhase,bsd100,x30,x4,10,69.07055010519427,0.0003620862042144854,0.0006731077999575063,0.0005403214687248692,0.0001090645651856903
LTE-FeaturePhase,bsd100,x8,x4,10,64.5181406825464,0.0006106760366960264,0.0011353415844496339,0.0011766332143452018,0.00014910098379914417
LTE-FeaturePhase,urban100,x16,x4,10,69.88269455613576,0.00033912962010975887,0.0006313824589597062,0.0006253567029489204,6.787910679122433e-05
LTE-FeaturePhase,urban100,x30,x4,10,67.65435051123136,0.00043688568878207546,0.0008853950159391389,0.0007780557702062651,7.81964803536539e-05
LTE-FeaturePhase,urban100,x8,x4,10,58.88166011136999,0.001193941863005366,0.0021793000982142986,0.002293930284213275,0.00017070436952053568
LTE-NoCell,bsd100,x16,x4,10,74.07844255223335,0.00020544136160811005,0.0003865792910801247,0.0003678905064589344,5.1944902588729745e-05
LTE-NoCell,bsd100,x30,x4,10,69.02672692050918,0.00036260914388485196,0.0006757485534762964,0.0005383066512877121,0.00010787515420815908
LTE-NoCell,bsd100,x8,x4,10,64.59704290816069,0.0006054546237362132,0.0011248096299823374,0.001165638561360538,0.00013608038425445558
LTE-NoCell,urban100,x16,x4,10,69.51800360036813,0.00035284010878305504,0.0006594091741135344,0.000649275750038214,5.868072385055712e-05
