model,dataset,split,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,psnr_y_lte,ssim_y_lte,rmse_y_lte,edge_rmse_lte,texture_rmse_lte,flat_rmse_lte,highpass_rmse_lte,delta_psnr_y_vs_lte,delta_ssim_y_vs_lte,delta_rmse_y_vs_lte,delta_edge_rmse_vs_lte,delta_texture_rmse_vs_lte,delta_flat_rmse_vs_lte,delta_highpass_rmse_vs_lte
LIIF,bsd100,x4,27.660563681631352,0.8190913660099872,0.0438474047587263,0.0749493427574634,0.0786884788423776,0.0081412497296696,0.1254697073251009,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,-0.007730453868024512,-0.00040024571711128054,2.2002567624593294e-05,6.177499890329397e-05,0.00011766478419300563,6.104612839400586e-06,0.00014504939317711019
LIIF,bsd100,x8-x30,22.814355251745024,0.5306828938811091,0.0759418097830984,0.11788552838067207,0.13298442239562666,0.023498529594507933,0.13397543852527935,22.806515137303563,0.530200647326736,0.07606555756457613,0.11824257075786589,0.1333909130344788,0.023389711923664364,0.133919229482611,0.0078401144414606,0.00048224655437312247,-0.00012374778147772325,-0.0003570423771938197,-0.0004064906388521472,0.00010881767084356883,5.620904266834259e-05
LIIF,urban100,x4,26.45899855066491,0.8523924837895954,0.0514170948767002,0.0883393872529268,0.0924641333520412,0.0086478992598131,0.1615024827420711,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,-0.10964135957886256,-0.0034953951928072824,0.0005922182244497004,0.0011537410318852026,0.0014674693346024004,3.855214454239961e-05,0.001344376802444397
LIIF,urban100,x8-x30,20.532462211417496,0.5056331566762996,0.1012737496615484,0.1554719840486844,0.17505424991250032,0.0342136819614097,0.1802550334483385,20.51184385495301,0.5049598642126768,0.10142623120847283,0.15567205945650733,0.1753609582781791,0.0341076509483779,0.1802093575398127,0.020618356464485288,0.0006732924636227988,-0.00015248154692443228,-0.0002000754078229361,-0.0003067083656787817,0.00010603101303179735,4.567590852577741e-05
LIIF-EQ,bsd100,x4,27.69604153555047,0.8205887584276759,0.0437237918157452,0.0747230187058448,0.0783812399953603,0.0081455664272652,0.1253592830151319,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,0.027747400051094218,0.0010971467005773672,-0.0001016103753565048,-0.0001645490527153043,-0.00018957406282429923,1.0421310435000664e-05,3.462508320811741e-05
LIIF-EQ,bsd100,x8-x30,22.849187020649254,0.5320707304813685,0.07572173029161013,0.1175685615589221,0.13254370676974453,0.02346492399616783,0.13392221045990782,22.806515137303563,0.530200647326736,0.07606555756457613,0.11824257075786589,0.1333909130344788,0.023389711923664364,0.133919229482611,0.042671883345690276,0.0018700831546325514,-0.0003438272729660019,-0.0006740091989437813,-0.0008472062647342793,7.521207250346662e-05,2.9809772968125703e-06
LIIF-EQ,urban100,x4,26.628574900741103,0.8575767334868656,0.050515953148128,0.0865062210708856,0.0903638880699873,0.0085769736673682,0.1598737943917512,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,0.05993499049733231,0.0016888545044628778,-0.0003089235041225033,-0.0006794251501559961,-0.0006327759474515082,-3.237344790250028e-05,-0.0002843115478755043
LIIF-EQ,urban100,x8-x30,20.57365566194032,0.5097806789896953,0.10092405185822047,0.15511803428332008,0.17451972216367717,0.03433007049219056,0.1802029963582754,20.51184385495301,0.5049598642126768,0.10142623120847283,0.15567205945650733,0.1753609582781791,0.0341076509483779,0.1802093575398127,0.06181180698731126,0.004820814777018456,-0.0005021793502523603,-0.0005540251731872559,-0.0008412361145019309,0.00022241954381266305,-6.361181537295479e-06
LTE,bsd100,x4,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE,bsd100,x8-x30,22.806515137303563,0.530200647326736,0.07606555756457613,0.11824257075786589,0.1333909130344788,0.023389711923664364,0.133919229482611,22.806515137303563,0.530200647326736,0.07606555756457613,0.11824257075786589,0.1333909130344788,0.023389711923664364,0.133919229482611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE,urban100,x4,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE,urban100,x8-x30,20.51184385495301,0.5049598642126768,0.10142623120847283,0.15567205945650733,0.1753609582781791,0.0341076509483779,0.1802093575398127,20.51184385495301,0.5049598642126768,0.10142623120847283,0.15567205945650733,0.1753609582781791,0.0341076509483779,0.1802093575398127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LTE-EQ,bsd100,x4,27.66958743739932,0.8190363545666697,0.0438305869555903,0.0749322902411222,0.0786306846886873,0.0081346384235075,0.1254402160644531,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,0.0012933018999419232,-0.0004552571604288236,5.184764488595783e-06,4.472248256209843e-05,5.9870630502695255e-05,-5.066933227004106e-07,0.00011555813252930869
LTE-EQ,bsd100,x8-x30,22.801320143687335,0.5289359293466672,0.07601349579978957,0.11769817086557544,0.13310992494225501,0.02409966254296397,0.1339574518303076,22.806515137303563,0.530200647326736,0.07606555756457613,0.11824257075786589,0.1333909130344788,0.023389711923664364,0.133919229482611,-0.005194993616228771,-0.0012647179800687747,-5.206176478655955e-05,-0.0005443998922904508,-0.00028098809222379395,0.0007099506192996055,3.822234769659816e-05
LTE-EQ,urban100,x4,26.547483935628502,0.8543382714248098,0.0510513215473264,0.0875180635601282,0.0915666539222002,0.0086043035378679,0.1608013696968555,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,-0.021155974615268747,-0.0015496075575929247,0.00022644489507590154,0.00033241733908660753,0.0005699899047613977,-5.043577402800634e-06,0.0006432637572287847
LTE-EQ,urban100,x8-x30,20.54693219647318,0.5026402630990993,0.1010783734495286,0.15446046963334079,0.17435016309221582,0.035033154394477566,0.18024234411617115,20.51184385495301,0.5049598642126768,0.10142623120847283,0.15567205945650733,0.1753609582781791,0.0341076509483779,0.1802093575398127,0.0350883415201686,-0.0023196011135775407,-0.0003478577589442339,-0.0012115898231665478,-0.0010107951859632813,0.0009255034460996653,3.298657635844582e-05
LTE-NoCell,bsd100,x4,27.59944654012552,0.8177575288234902,0.0441050890136632,0.075466126576066,0.0793953731656074,0.0081425967175164,0.1263091135770082,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,-0.06884759537385676,-0.001734082903608325,0.0002796868225614993,0.0005785588175058892,0.0008245591074227954,7.4516006862007655e-06,0.0009844556450843978
