model,dataset,scale,n,psnr_y,ssim_y,rmse_y,edge_rmse,texture_rmse,flat_rmse,highpass_rmse,fft_low_power,fft_mid_power,fft_high_power,scale_num,split,psnr_y_lte,ssim_y_lte,rmse_y_lte,edge_rmse_lte,texture_rmse_lte,flat_rmse_lte,highpass_rmse_lte,delta_psnr_y_vs_lte,delta_ssim_y_vs_lte,delta_rmse_y_vs_lte,delta_edge_rmse_vs_lte,delta_texture_rmse_vs_lte,delta_flat_rmse_vs_lte,delta_highpass_rmse_vs_lte
LIIF,bsd100,x4,10,27.660563681631352,0.8190913660099872,0.0438474047587263,0.0749493427574634,0.0786884788423776,0.0081412497296696,0.1254697073251009,1.7121329280684422e-08,3.0905646601607254e-08,5.717396568361535e-09,4,x4,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,-0.007730453868024512,-0.00040024571711128054,2.2002567624593294e-05,6.177499890329397e-05,0.00011766478419300563,6.104612839400586e-06,0.00014504939317711019
LIIF,bsd100,x8,10,24.9555644859584,0.6647556753195176,0.0590330405920486,0.0988340783864259,0.1077218852937221,0.011389726793277,0.131009978428483,1.4817853660337876e-07,3.921097420820929e-08,6.189894259497361e-09,8,x8-x30,24.96631074557208,0.6642750632251252,0.0590104460440275,0.0988209120929241,0.1076206345111131,0.0113359282666351,0.1308528516441583,-0.010746259613679143,0.0004806120943924297,2.25945480211015e-05,1.3166293501801207e-05,0.00010125078260900255,5.379852664190096e-05,0.00015712678432469596
LIIF,bsd100,x16,10,22.76062455219416,0.5098054069061121,0.0750594277193066,0.1183291763067245,0.1337574295699596,0.0204486573697067,0.1338777426630258,3.885479956308617e-07,4.537672617844316e-08,6.973669217966072e-09,16,x8-x30,22.767463576778503,0.5093332884416716,0.0750040754169017,0.1183887965977192,0.1338248185813427,0.0201950863352976,0.1338663127273321,-0.0068390245843446,0.0004721184644405074,5.53523024049013e-05,-5.96202909946969e-05,-6.73890113831177e-05,0.0002535710344091016,1.1429935693696436e-05
LIIF,bsd100,x30,10,20.726876717082504,0.4174875994176976,0.09373296103794,0.1364933304488658,0.1574739523231983,0.0386572046205401,0.1370385944843292,9.21216698359634e-07,6.210578182211153e-08,9.475290111301448e-09,30,x8-x30,20.6857710895601,0.4169935903134113,0.0941821512327992,0.1375180035829544,0.1587272860109806,0.0386381211690604,0.1370385240763426,0.04110562752240554,0.0004940091042862638,-0.0004491901948592003,-0.001024673134088605,-0.0012533336877822987,1.9083451479696978e-05,7.040798660762349e-08
LIIF,urban100,x4,10,26.45899855066491,0.8523924837895954,0.0514170948767002,0.0883393872529268,0.0924641333520412,0.0086478992598131,0.1615024827420711,3.357260934868851e-09,8.762946400603117e-09,2.035067101141941e-09,4,x4,26.56863991024377,0.8558878789824027,0.0508248766522505,0.0871856462210416,0.0909966640174388,0.0086093471152707,0.1601581059396267,-0.10964135957886256,-0.0034953951928072824,0.0005922182244497004,0.0011537410318852026,0.0014674693346024004,3.855214454239961e-05,0.001344376802444397
LIIF,urban100,x8,10,22.71695201028887,0.6781713932905288,0.0777789375549742,0.1314846336841583,0.1431256018579006,0.0135651591001078,0.1778781328350305,5.172098016719762e-08,1.4438283092198096e-08,2.289821035162297e-09,8,x8-x30,22.720312690132523,0.6812082009045406,0.0777025273473859,0.1313483990728855,0.1430824123322963,0.0136669747997075,0.1777480937540531,-0.0033606798436522922,-0.003036807614011816,7.641020758829276e-05,0.00013623461127279524,4.318952560430911e-05,-0.00010181569959969924,0.00013003908097741768
LIIF,urban100,x16,10,20.287582019598577,0.4790769385690175,0.1024715292256444,0.1588058166205883,0.1800261624157428,0.0311219136230647,0.1803519293665886,1.5165379720514965e-07,1.5912213103618284e-08,2.453776646762525e-09,16,x8-x30,20.240715072717244,0.4761711323785668,0.1028019741495415,0.1595784902572631,0.1810270249843597,0.0300448080291971,0.1803485095500946,0.04686694688133386,0.0029058061904507215,-0.0003304449238970969,-0.0007726736366747977,-0.0010008625686169226,0.0010771055938676027,3.419816493988037e-06
LIIF,urban100,x30,10,18.592852604365035,0.3596511381693524,0.1235707822040266,0.1761255018413066,0.2020109854638576,0.0579539731610566,0.1825350381433964,2.726331836084422e-07,1.7686193896749452e-08,2.749107217345478e-09,30,x8-x30,18.57450380200926,0.3575002593549228,0.1237741921284911,0.1760892890393734,0.2019734375178813,0.0586111700162291,0.1825314693152904,0.018348802355774296,0.002150878814429602,-0.00020340992446449269,3.6212801933194205e-05,3.754794597629618e-05,-0.000657196855172501,3.568828105982025e-06
LIIF-EQ,bsd100,x4,10,27.69604153555047,0.8205887584276759,0.0437237918157452,0.0747230187058448,0.0783812399953603,0.0081455664272652,0.1253592830151319,1.6940789821503856e-08,3.0754217612263993e-08,5.712087054839783e-09,4,x4,27.668294135499377,0.8194916117270985,0.0438254021911017,0.0748875677585601,0.0785708140581846,0.0081351451168302,0.1253246579319238,0.027747400051094218,0.0010971467005773672,-0.0001016103753565048,-0.0001645490527153043,-0.00018957406282429923,1.0421310435000664e-05,3.462508320811741e-05
LIIF-EQ,bsd100,x8,10,24.98917704677393,0.6667500541406899,0.058846183116439,0.0985616501420736,0.1072631318122148,0.0113666464632842,0.1308708738535642,1.4677207447547505e-07,3.9082161931887636e-08,6.1807757924919915e-09,8,x8-x30,24.96631074557208,0.6642750632251252,0.0590104460440275,0.0988209120929241,0.1076206345111131,0.0113359282666351,0.1308528516441583,0.02286630120184796,0.00247499091556469,-0.00016426292758849742,-0.0002592619508504923,-0.0003575026988983099,3.071819664910054e-05,1.8022209405887946e-05
