seed: 2
deterministic: False
CUDA_VISIBLE_DEVICES: 3
train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
model: #params=1.6M
epoch 1/1000, train: loss=0.0823, val: psnr=26.3942, 1.7m 1.7m/28.2h
epoch 2/1000, train: loss=0.0488, val: psnr=27.8291, 1.7m 3.3m/27.9h
epoch 3/1000, train: loss=0.0453, val: psnr=28.0175, 1.6m 5.0m/27.6h
epoch 4/1000, train: loss=0.0431, val: psnr=28.6385, 1.6m 6.6m/27.5h
epoch 5/1000, train: loss=0.0419, val: psnr=28.2908, 1.6m 8.3m/27.5h
epoch 6/1000, train: loss=0.0412, val: psnr=28.6413, 1.7m 9.9m/27.5h
epoch 7/1000, train: loss=0.0403, val: psnr=28.6847, 1.6m 11.5m/27.5h
epoch 8/1000, train: loss=0.0395, val: psnr=28.9658, 1.6m 13.2m/27.4h
epoch 9/1000, train: loss=0.0382, val: psnr=28.8285, 1.6m 14.8m/27.4h
epoch 10/1000, train: loss=0.0378, val: psnr=28.9651, 1.6m 16.4m/27.4h
epoch 11/1000, train: loss=0.0379, val: psnr=29.4088, 1.6m 18.0m/27.3h
epoch 12/1000, train: loss=0.0373, val: psnr=29.0608, 1.6m 19.7m/27.3h
epoch 13/1000, train: loss=0.0372, val: psnr=28.9281, 1.6m 21.3m/27.3h
epoch 14/1000, train: loss=0.0368, val: psnr=29.2722, 1.6m 23.0m/27.3h
epoch 15/1000, train: loss=0.0365, val: psnr=29.0761, 1.6m 24.6m/27.3h
epoch 16/1000, train: loss=0.0365, val: psnr=29.1329, 1.6m 26.2m/27.3h
epoch 17/1000, train: loss=0.0362, val: psnr=29.0432, 1.6m 27.9m/27.3h
epoch 18/1000, train: loss=0.0364, val: psnr=29.3889, 1.6m 29.5m/27.3h
epoch 19/1000, train: loss=0.0357, val: psnr=29.5547, 1.6m 31.2m/27.3h
epoch 20/1000, train: loss=0.0356, val: psnr=29.4524, 1.6m 32.8m/27.3h
epoch 21/1000, train: loss=0.0359, val: psnr=29.1153, 1.6m 34.5m/27.3h
epoch 22/1000, train: loss=0.0353, val: psnr=29.2672, 1.6m 36.1m/27.4h
epoch 23/1000, train: loss=0.0354, val: psnr=29.2262, 1.6m 37.8m/27.4h
epoch 24/1000, train: loss=0.0356, val: psnr=29.0719, 1.6m 39.4m/27.4h
epoch 25/1000, train: loss=0.0347, val: psnr=29.3763, 1.6m 41.0m/27.4h
epoch 26/1000, train: loss=0.0348, val: psnr=29.1540, 1.6m 42.7m/27.4h
epoch 27/1000, train: loss=0.0350, val: psnr=29.3019, 1.6m 44.3m/27.4h
epoch 28/1000, train: loss=0.0347, val: psnr=29.4800, 1.6m 46.0m/27.4h
epoch 29/1000, train: loss=0.0350, val: psnr=29.4099, 1.6m 47.6m/27.4h
epoch 30/1000, train: loss=0.0349, val: psnr=29.7958, 1.7m 49.3m/27.4h
epoch 31/1000, train: loss=0.0353, val: psnr=29.2211, 1.6m 50.9m/27.4h
epoch 32/1000, train: loss=0.0348, val: psnr=29.8544, 1.6m 52.6m/27.4h
epoch 33/1000, train: loss=0.0349, val: psnr=29.2437, 1.6m 54.2m/27.4h
epoch 34/1000, train: loss=0.0340, val: psnr=29.3546, 1.7m 55.9m/27.4h
epoch 35/1000, train: loss=0.0347, val: psnr=29.6975, 1.6m 57.5m/27.4h
epoch 36/1000, train: loss=0.0346, val: psnr=29.3331, 1.6m 59.2m/27.4h
epoch 37/1000, train: loss=0.0346, val: psnr=29.3845, 1.6m 1.0h/27.4h
epoch 38/1000, train: loss=0.0343, val: psnr=29.4941, 1.6m 1.0h/27.4h
epoch 39/1000, train: loss=0.0341, val: psnr=29.5212, 1.6m 1.1h/27.4h
epoch 40/1000, train: loss=0.0343, val: psnr=29.7601, 1.7m 1.1h/27.4h
epoch 41/1000, train: loss=0.0343, val: psnr=29.6081, 1.6m 1.1h/27.4h
epoch 42/1000, train: loss=0.0340, val: psnr=29.5203, 1.6m 1.2h/27.4h
epoch 43/1000, train: loss=0.0340, val: psnr=29.9979, 1.6m 1.2h/27.4h
epoch 44/1000, train: loss=0.0335, val: psnr=29.5500, 1.6m 1.2h/27.4h
epoch 45/1000, train: loss=0.0341, val: psnr=29.5807, 1.6m 1.2h/27.4h
epoch 46/1000, train: loss=0.0343, val: psnr=29.2674, 1.7m 1.3h/27.4h
epoch 47/1000, train: loss=0.0340, val: psnr=29.6695, 1.6m 1.3h/27.4h
epoch 48/1000, train: loss=0.0340, val: psnr=29.0402, 1.6m 1.3h/27.4h
epoch 49/1000, train: loss=0.0338, val: psnr=29.5686, 1.6m 1.3h/27.4h
epoch 50/1000, train: loss=0.0340, val: psnr=29.8366, 1.6m 1.4h/27.4h
epoch 51/1000, train: loss=0.0339, val: psnr=29.8949, 1.6m 1.4h/27.4h
epoch 52/1000, train: loss=0.0339, val: psnr=29.4300, 1.7m 1.4h/27.4h
epoch 53/1000, train: loss=0.0336, val: psnr=29.7085, 1.6m 1.5h/27.4h
epoch 54/1000, train: loss=0.0338, val: psnr=29.7428, 1.6m 1.5h/27.4h
epoch 55/1000, train: loss=0.0339, val: psnr=29.6499, 1.6m 1.5h/27.4h
epoch 56/1000, train: loss=0.0337, val: psnr=29.7449, 1.6m 1.5h/27.4h
epoch 57/1000, train: loss=0.0337, val: psnr=29.9948, 1.6m 1.6h/27.4h
epoch 58/1000, train: loss=0.0331, val: psnr=29.9351, 1.6m 1.6h/27.4h
epoch 59/1000, train: loss=0.0338, val: psnr=29.6533, 1.6m 1.6h/27.4h
