seed: 2
deterministic: False
CUDA_VISIBLE_DEVICES: 2
train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
model: #params=1.7M
epoch 1/1000, train: loss=0.0382, val: psnr=29.2818, 1.8m 1.8m/29.8h
epoch 2/1000, train: loss=0.0355, val: psnr=29.4568, 1.7m 3.5m/29.4h
epoch 3/1000, train: loss=0.0353, val: psnr=29.0664, 1.7m 5.3m/29.3h
epoch 4/1000, train: loss=0.0343, val: psnr=29.3884, 1.7m 7.0m/29.2h
epoch 5/1000, train: loss=0.0341, val: psnr=29.4117, 1.7m 8.7m/29.2h
epoch 6/1000, train: loss=0.0340, val: psnr=29.1618, 1.7m 10.5m/29.1h
epoch 7/1000, train: loss=0.0335, val: psnr=29.3884, 1.7m 12.2m/29.1h
epoch 8/1000, train: loss=0.0335, val: psnr=29.5261, 1.7m 14.0m/29.1h
epoch 9/1000, train: loss=0.0332, val: psnr=29.3251, 1.7m 15.7m/29.1h
epoch 10/1000, train: loss=0.0330, val: psnr=29.7626, 1.7m 17.4m/29.1h
epoch 11/1000, train: loss=0.0332, val: psnr=29.5635, 1.7m 19.2m/29.1h
epoch 12/1000, train: loss=0.0330, val: psnr=29.5073, 1.7m 20.9m/29.1h
epoch 13/1000, train: loss=0.0333, val: psnr=29.5297, 1.7m 22.7m/29.1h
epoch 14/1000, train: loss=0.0332, val: psnr=29.7012, 1.7m 24.4m/29.1h
epoch 15/1000, train: loss=0.0326, val: psnr=29.5186, 1.7m 26.1m/29.1h
epoch 16/1000, train: loss=0.0326, val: psnr=29.5769, 1.7m 27.9m/29.0h
epoch 17/1000, train: loss=0.0330, val: psnr=29.7118, 1.7m 29.6m/29.0h
epoch 18/1000, train: loss=0.0330, val: psnr=29.4110, 1.7m 31.4m/29.0h
