seed: 2
deterministic: False
CUDA_VISIBLE_DEVICES: 1
train dataset: size=16000
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
val dataset: size=1600
  inp: shape=(3, 48, 48)
  coord: shape=(2304, 2)
  cell: shape=(2304, 2)
  scale: shape=(2,)
  gt: shape=(2304, 3)
model: #params=1.7M
epoch 1/1000, train: loss=0.0384, val: psnr=29.2691, 42.7s 42.7s/11.9h
epoch 2/1000, train: loss=0.0356, val: psnr=29.0310, 41.0s 1.4m/11.6h
epoch 3/1000, train: loss=0.0346, val: psnr=29.2145, 40.5s 2.1m/11.5h
epoch 4/1000, train: loss=0.0351, val: psnr=29.5599, 41.5s 2.8m/11.5h
epoch 5/1000, train: loss=0.0343, val: psnr=29.3288, 40.2s 3.4m/11.4h
epoch 6/1000, train: loss=0.0342, val: psnr=29.5947, 40.7s 4.1m/11.4h
epoch 7/1000, train: loss=0.0341, val: psnr=29.3753, 40.3s 4.8m/11.4h
epoch 8/1000, train: loss=0.0338, val: psnr=29.5105, 40.5s 5.5m/11.4h
epoch 9/1000, train: loss=0.0336, val: psnr=29.5154, 40.8s 6.1m/11.4h
epoch 10/1000, train: loss=0.0334, val: psnr=29.5953, 39.4s 6.8m/11.3h
epoch 11/1000, train: loss=0.0339, val: psnr=29.5079, 41.1s 7.5m/11.3h
epoch 12/1000, train: loss=0.0335, val: psnr=29.3990, 40.5s 8.2m/11.3h
epoch 13/1000, train: loss=0.0331, val: psnr=29.3556, 39.5s 8.8m/11.3h
epoch 14/1000, train: loss=0.0336, val: psnr=29.5638, 40.0s 9.5m/11.3h
epoch 15/1000, train: loss=0.0328, val: psnr=29.5453, 39.8s 10.1m/11.3h
epoch 16/1000, train: loss=0.0330, val: psnr=29.8253, 39.9s 10.8m/11.3h
epoch 17/1000, train: loss=0.0329, val: psnr=29.8034, 40.8s 11.5m/11.3h
epoch 18/1000, train: loss=0.0333, val: psnr=30.0042, 39.8s 12.2m/11.3h
epoch 19/1000, train: loss=0.0328, val: psnr=29.6283, 40.1s 12.8m/11.2h
epoch 20/1000, train: loss=0.0325, val: psnr=29.9764, 40.6s 13.5m/11.2h
epoch 21/1000, train: loss=0.0331, val: psnr=29.5752, 39.4s 14.2m/11.2h
epoch 22/1000, train: loss=0.0332, val: psnr=30.1055, 39.9s 14.8m/11.2h
epoch 23/1000, train: loss=0.0326, val: psnr=29.4524, 40.6s 15.5m/11.2h
epoch 24/1000, train: loss=0.0330, val: psnr=29.6234, 39.8s 16.2m/11.2h
epoch 25/1000, train: loss=0.0326, val: psnr=29.4412, 40.5s 16.8m/11.2h
epoch 26/1000, train: loss=0.0326, val: psnr=29.4725, 40.8s 17.5m/11.2h
